"","Dissimilarity","IsMetric","IsEuclidean","FNI","pseudo_F","pseudo_R2","p_value","MiRKAT_Rsquared"
"1","GLaD_0.5_weighted","YES","YES",0,1.38806225099778,0.0676672372956049,0.0820820820820821,0.00695557881745284
"2","GLaD_0.5_unweighted","YES","YES",0,1.03280604262512,0.0512360343403036,0.281281281281281,0.00574041749387385
"3","GLaD_1_weighted","YES","YES",1.75704607802629e-16,1.34146332028008,0.0655444616535593,0.155155155155155,0.00629094493000667
"4","GLaD_1_unweighted","YES","YES",2.4240480135958e-16,1.27956952423746,0.0627099494903595,0.15015015015015,0.00613904085615933
"5","manhattan","YES","NO",0.134977008070418,1.20672884796732,0.05935200380601,0.209209209209209,0.00384470680117668
"6","euclidean","YES","YES",1.84142116497196e-17,1.78078568965633,0.0851814763669664,0.051051051051051,0.00501907428543525
"7","canberra","YES","YES",0,1.06939370932937,0.0529549797197097,0.172172172172172,0.00599802858609171
"8","clark","YES","YES",9.2550260550436e-18,1.0484549775182,0.0519720086959139,0.146146146146146,0.00607974230826515
"9","bray","YES","NO",0.0664643007895538,1.10408359633648,0.0545790218859162,0.292292292292292,0.00521662515616079
"10","kulczynski","YES","NO",0.150004242708979,1.03321842587706,0.0512554435143295,0.389389389389389,0.00329126502733288
"11","jaccard","YES","NO",0.00257412423153528,1.1794071640278,0.0580862644498821,0.105105105105105,0.00634726752778705
"12","gower","YES","NO",0.0242507623807759,1.05444724700688,0.0522535247918289,0.274274274274274,0.00462953319047252
"13","altGower","NO","NO",0.124688991857781,1.29895648695567,0.063599650135628,0.172172172172172,0.00362297934367911
"14","morisita","NO","NO",0.241079478051659,0.988921097781436,0.0491660026393618,0.464464464464464,0.00429684107138993
"15","horn","NO","NO",0.24081613997546,0.989190790539917,0.0491787515014102,0.468468468468468,0.00429912234768611
"16","binomial","YES","NO",0.00836456207656038,1.09964915197242,0.0543717294529769,0.225225225225225,0.00538088295308787
"17","chao","NO","NO",0.441956850840101,0.658939758425309,0.0333068017023601,0.553553553553554,-0.00010920540882787
"18","cao","YES","NO",0.00164594930386673,1.09364558084216,0.054090941772995,0.263263263263263,0.00580450124516702
"19","chisq","YES","YES",1.23933640904695e-17,1.08742013862401,0.0537996009961247,0.235235235235235,0.00539377794539854
"20","chord","YES","YES",3.79305946382759e-18,1.26975082570923,0.0622587074762691,0.0820820820820821,0.00734065910054537
"21","hellinger","YES","YES",0,1.47450158129533,0.0715794785362281,0.00700700700700701,0.00763143580138693
"22","aitchison","YES","YES",1.03543443148673e-17,1.18434231548726,0.0583151486192695,0.121121121121121,0.00598022563337079
"23","robust.aitchison","YES","YES",9.43922115750058e-18,1.1172250820964,0.055192800078315,0.132132132132132,0.00564760454513097
"24","unifrac_unweighted","YES","NO",1.11124176733508e-05,1.03748530959207,0.0514562214757571,0.293293293293293,0.00637445998060269
"25","unifrac_weighted_phyloseq","YES","NO",0.133606940660293,1.12127762922252,0.0553819151232087,0.275275275275275,0.00299883894712306
"26","unifrac_weighted_gunifrac","YES","NO",0.146374968928967,1.23659005533067,0.0607315073120694,0.181181181181181,0.00450718326730581
"27","GUniFrac","YES","NO",0.056537957266087,1.30572206550081,0.0639097365876092,0.038038038038038,0.00460396120401414
