"","Dissimilarity","IsMetric","IsEuclidean","FNI","pseudo_F","pseudo_R2","p_value","MiRKAT_Rsquared"
"1","GLaD_0.5_weighted","YES","YES",0,1.64484445268556,0.120546955180704,0.00600600600600601,0.025747531545248
"2","GLaD_0.5_unweighted","YES","YES",0,1.14173234393476,0.0868783744832314,0.04004004004004,0.0100373726433197
"3","GLaD_1_weighted","YES","YES",2.40465689119165e-16,1.66691854510688,0.121967401766924,0.03003003003003,0.037511130831282
"4","GLaD_1_unweighted","YES","YES",3.02063482295413e-16,1.52005376084204,0.112429564832394,0.021021021021021,0.0123537989285816
"5","manhattan","YES","NO",0.0861130018901854,1.28003195963358,0.0963877168010145,0.022022022022022,0.0122783511697406
"6","euclidean","YES","YES",5.49956504137431e-18,1.38656354887358,0.103578752217574,0.0630630630630631,0.022455198111469
"7","canberra","YES","YES",0,1.1348698583252,0.0864013020734953,0,0.00662766184912193
"8","clark","YES","YES",0,1.09341799495614,0.0835089810298083,0,0.00630416110169652
"9","bray","YES","NO",0.0426991356435863,1.38867336885877,0.103720012476272,0,0.0131367542471358
"10","kulczynski","NO","NO",0.0785218500712112,1.34608459532619,0.100859887835387,0,0.0116009716005644
"11","jaccard","YES","YES",0,1.32151267182929,0.0992013973476049,0,0.0110845224409639
"12","gower","NO","NO",0.105281204927875,0.768979235396675,0.0602224517105487,0.918918918918919,0.00336398169554166
"13","altGower","NO","NO",0.387869055544034,0.769141346995181,0.0602343827274004,0.684684684684685,-0.0127573564401836
"14","morisita","NO","NO",0.138063008701062,1.24426744522541,0.0939476230279519,0.00900900900900901,0.0156986877222313
"15","horn","NO","NO",0.135498684775126,1.24715215589169,0.0941449257331145,0.021021021021021,0.0158326091489131
"16","binomial","YES","NO",0.0366941979057732,0.97347806210013,0.0750360125049261,0.518518518518518,0.00545063224450876
"17","chao","NO","NO",0.250962520677871,1.09752098441149,0.0837960852070969,0.202202202202202,0.00995785279929302
"18","cao","NO","NO",0.0240406130331011,1.32688627742749,0.0995646132041292,0,0.0088861453497991
"19","chisq","YES","YES",1.40579788469033e-17,0.5801801050955,0.0461185849684697,0.63963963963964,0.00634317077216232
"20","chord","YES","YES",2.70580362049176e-18,1.37653892587374,0.102906957734123,0,0.0168201788556703
"21","hellinger","YES","YES",0,1.45618851277284,0.108217011926565,0,0.0134191374143425
"22","aitchison","YES","YES",0,1.21708962404184,0.092084540444362,0.003003003003003,0.0090556645589528
"23","robust.aitchison","YES","YES",2.5598467749233e-18,1.13335026216225,0.0862955940060076,0.015015015015015,0.0067626181675442
"24","unifrac_unweighted","YES","YES",1.75690549486253e-17,1.19700292224799,0.0907026337192091,0,0.00898916899594681
"25","unifrac_weighted_phyloseq","NO","NO",0.118088187490641,0.986425589504026,0.075958205951704,0.512512512512513,0.0103445230483557
"26","unifrac_weighted_gunifrac","NO","NO",0.118027863448014,1.4507030479628,0.107853325048501,0.01001001001001,0.019079449374557
"27","GUniFrac","YES","NO",0.0350271138426993,1.4980548777112,0.110983018759605,0,0.0159747977852666
