"","Dissimilarity","IsMetric","IsEuclidean","FNI","pseudo_F","pseudo_R2","p_value","MiRKAT_Rsquared"
"1","GLaD_0.5_weighted","YES","YES",0,1.49605999861106,0.118458579861233,0.012012012012012,0.0360354267229295
"2","GLaD_0.5_unweighted","YES","YES",2.99700615735841e-18,1.18426188719749,0.0961439198150931,0.00600600600600601,0.0113237443492472
"3","GLaD_1_weighted","YES","YES",2.85531209674761e-16,1.72702693589859,0.134290711904118,0.00900900900900901,0.0537616660822481
"4","GLaD_1_unweighted","YES","YES",2.34889021097158e-16,1.71228922408969,0.133297488419525,0.004004004004004,0.04369381931631
"5","manhattan","YES","NO",0.130718535003804,0.989708163781797,0.0816386023274204,0.457457457457457,0.00620634739950612
"6","euclidean","YES","YES",1.62086458233568e-17,1.23797827414522,0.10006847401668,0.165165165165165,0.0117672916527162
"7","canberra","YES","YES",6.46647661037419e-18,1.16280767085198,0.0945668783772233,0,0.00844769874903461
"8","clark","YES","YES",0,1.12062696219874,0.0914501871372416,0.001001001001001,0.00771382980379316
"9","bray","YES","NO",0.039565019860804,1.31193729858609,0.105416534311537,0,0.0129115467234165
"10","kulczynski","NO","NO",0.114041432850307,1.23950203991333,0.100179304300246,0.00700700700700701,0.0117271969252153
"11","jaccard","YES","YES",9.03606658057624e-19,1.269410304135,0.102349152835841,0,0.0106662551821342
"12","gower","YES","NO",0.0679597780596586,1.10698203009474,0.0904373782232938,0.257257257257257,0.00747897815193855
"13","altGower","NO","NO",0.134740367461541,0.967266896467405,0.0799354476718659,0.485485485485485,0.00721546061102891
"14","morisita","NO","NO",0.147674086324012,1.16913657507948,0.0950326709825957,0.057057057057057,0.0112750617859266
"15","horn","NO","NO",0.14702939451714,1.16920859955892,0.0950379690584842,0.037037037037037,0.0112834949780642
"16","binomial","YES","NO",0.00859035033298545,1.29102540941542,0.103910828409467,0.00700700700700701,0.0116514855870018
"17","chao","NO","NO",0.417110980779106,0.757318831552993,0.0636902687128796,0.717717717717718,0.00959635687096621
"18","cao","YES","NO",0.0019770338687119,1.27088663068197,0.102455989523631,0.0580580580580581,0.0142228721976684
"19","chisq","YES","YES",2.24291654726802e-17,1.49001058789471,0.118036123961499,0.13013013013013,0.0047103243661309
"20","chord","YES","YES",3.41470529694037e-18,1.33429826438957,0.107020989025155,0,0.0123201312724618
"21","hellinger","YES","YES",8.05223446073827e-18,1.44980246322224,0.115217898516131,0,0.01673531342421
"22","aitchison","YES","YES",3.01601049222577e-18,1.30598214644855,0.104988264713699,0.003003003003003,0.0140083985538077
"23","robust.aitchison","YES","YES",1.34475992755043e-18,1.23021567056994,0.0995034411382645,0,0.0101927999243362
"24","unifrac_unweighted","YES","YES",1.40746768968547e-17,1.17581041136008,0.0955233309276272,0.0990990990990991,0.0113179576340612
"25","unifrac_weighted_phyloseq","YES","NO",0.0954247275083189,1.02117213142003,0.0840159342049173,0.349349349349349,0.00728493567361542
"26","unifrac_weighted_gunifrac","YES","NO",0.109133311242249,1.30497509575625,0.104915801308182,0.034034034034034,0.0238087828002012
"27","GUniFrac","YES","NO",0.0160219498360528,1.38883768897162,0.110910295546816,0.001001001001001,0.01842387311279
