"","Dissimilarity","IsMetric","IsEuclidean","FNI","pseudo_F","pseudo_R2","p_value","MiRKAT_Rsquared"
"1","GLaD_0.5_weighted","YES","YES",0,8.01663123438407,0.330356165095758,0,0.00980650563710544
"2","GLaD_0.5_unweighted","YES","YES",0,3.14242659901134,0.162044011509707,0,0.0132289422885312
"3","GLaD_1_weighted","YES","YES",0,11.034150531232,0.40441612864587,0,0.0122608097547478
"4","GLaD_1_unweighted","YES","YES",0,3.7778657313705,0.188630470267886,0,0.0102826557704316
"5","manhattan","YES","NO",0.0344818536000158,6.52188733976611,0.286400825827777,0,0.0117041000088542
"6","euclidean","YES","YES",0,6.32454173336837,0.280162574641318,0,0.0121278009559215
"7","canberra","YES","YES",0,2.61187019895442,0.138473553863137,0,0.0140900345790505
"8","clark","YES","YES",0,1.95418364838142,0.107348051751564,0,0.0142858240603787
"9","bray","YES","NO",0.0274152890150601,6.83773321696911,0.296163038298774,0,0.010252973058293
"10","kulczynski","YES","NO",0.0294614857940999,6.95303186159648,0.299660488468513,0,0.0096236151668275
"11","jaccard","YES","YES",0,4.89526201075888,0.231506330272386,0,0.0128757389355106
"12","gower","YES","NO",0.00347657021837847,3.14227811867901,0.162037595554712,0,0.0127191364651705
"13","altGower","NO","NO",0.0527008193645728,5.01663915007722,0.235892428261708,0,0.0124530269813131
"14","morisita","NO","NO",0.151557455217732,7.26547045859629,0.308965558285921,0,0.00352231893621105
"15","horn","NO","NO",0.150886077314963,7.26938592229357,0.309080600416657,0,0.00354464237550225
"16","binomial","YES","NO",0.00149161733243791,4.19362573992319,0.20513121269549,0,0.0128972793531294
"17","chao","NO","NO",0.0584690684286967,8.73129894264548,0.349513408517774,0,0.00397784969825034
"18","cao","YES","YES",0,3.86680847231146,0.192217790293808,0,0.0132823589903647
"19","chisq","YES","YES",0,3.05630061733182,0.158305864904439,0,0.0129202373026337
"20","chord","YES","YES",0,7.39302718140875,0.312693764833215,0,0.0108632338768947
"21","hellinger","YES","YES",0,5.89453688856503,0.266184699107835,0,0.0107532878500085
"22","aitchison","YES","NO",1.45065501421674e-17,3.44535122251475,0.174932205249338,0,0.0133925398461992
"23","unifrac_unweighted","YES","NO",0.0180101344618511,4.50185942040498,0.216937640584553,0,0.0118281773411585
"24","unifrac_weighted_phyloseq","YES","NO",0.111447670006578,5.65515922280719,0.258165629625698,0,0.00431396797871243
"25","unifrac_weighted_gunifrac","YES","NO",0.111447670006578,5.6551592228072,0.258165629625699,0,0.00431396797871246
"26","GUniFrac","YES","NO",0.0253732599738238,5.6901944470365,0.259350228676076,0,0.00717582642691746
