"","Dissimilarity","IsMetric","IsEuclidean","FNI","pseudo_F","pseudo_R2","p_value","MiRKAT_Rsquared"
"1","GLaD_0.5_weighted","YES","YES",0,9.30840482318906,0.176267487237213,0,0.139692985349216
"2","GLaD_0.5_unweighted","YES","YES",7.20253793229161e-18,3.57663359481683,0.0759747102055025,0,0.0579711055880467
"3","GLaD_1_weighted","YES","YES",0,11.5651310588567,0.210026396677332,0,0.165476321214148
"4","GLaD_1_unweighted","YES","YES",0,6.9933325761544,0.138500119111905,0,0.115963853028217
"5","manhattan","YES","NO",0.033768770372306,4.05870628778646,0.0853409733903711,0,0.0650994109002718
"6","euclidean","YES","YES",0,3.49775769600906,0.0744239271718719,0,0.0530619843215109
"7","canberra","YES","YES",0,2.45592902379449,0.0534409612853847,0,0.0372294291884954
"8","clark","YES","YES",0,1.95490916886256,0.0430076575799585,0,0.0284522379277475
"9","bray","YES","NO",0.000200480004741112,5.46593178996334,0.111627239391852,0,0.09122671660429
"10","kulczynski","YES","NO",0.00520996679824184,5.76706761919095,0.117057253412511,0,0.0971711747815268
"11","jaccard","YES","YES",0,3.54906259364164,0.0754332264660524,0,0.0589204237737543
"12","gower","YES","NO",0.0267947562897963,2.76856000467325,0.0598367445278958,0,0.041587572952462
"13","altGower","NO","NO",0.0929924583348201,1.94848030215013,0.042872287240327,0,0.00118448754297646
"14","morisita","NO","NO",0.0948420978885479,7.39691143589725,0.145331243629849,0,0.124977140508037
"15","horn","NO","NO",0.0940713241664704,7.38988049619246,0.145213162698336,0,0.124842646745686
"16","binomial","YES","YES",0,4.65825904775831,0.0967281446602697,0,0.0745734075883212
"17","chao","NO","NO",0.115400734676057,4.89073199557154,0.101067534915965,0,0.0807431083801215
"18","cao","YES","YES",2.93645996458317e-17,4.19175070844358,0.0878925735829918,0,0.0669372199785371
"19","chisq","YES","YES",9.57839531048327e-18,2.34626832511304,0.0511768658786965,0,0.0357699783434451
"20","chord","YES","YES",0,5.65340429421789,0.11501551877014,0,0.0949759059640558
"21","hellinger","YES","YES",0,5.10107617155943,0.104958090918664,0,0.0859977589394915
"22","aitchison","YES","YES",1.85478070635208e-18,4.15343880630297,0.087159267208091,0,0.06719410076253
"23","robust.aitchison","YES","YES",0,3.32876384076034,0.0710837435743487,0,0.0558415280039725
"24","unifrac_unweighted","YES","YES",6.10921558143121e-18,3.37326318214254,0.0719656143638761,0,0.0532625986991954
"25","unifrac_weighted_phyloseq","YES","NO",0.0526726053322624,10.9242352892119,0.200723725949666,0,0.189482078593255
"26","unifrac_weighted_gunifrac","YES","NO",0.0434454516657551,8.93685150283726,0.170430741867744,0,0.146911964359177
"27","GUniFrac","YES","YES",2.28624423970549e-17,7.81932207699324,0.152366043831641,0,0.132296878491438
