"","Dissimilarity","IsMetric","IsEuclidean","FNI","pseudo_F","pseudo_R2","p_value","MiRKAT_Rsquared"
"1","GLaD_0.5_weighted","YES","YES",0,2.44721212218347,0.0700259612591545,0,0.0343154190134803
"2","GLaD_0.5_unweighted","YES","YES",0,3.34675816681125,0.0933629242353594,0,0.061130519822061
"3","GLaD_1_weighted","YES","YES",0,2.35569862188792,0.0675843180606526,0.025025025025025,0.0347009599561388
"4","GLaD_1_unweighted","YES","YES",0,4.54595867598978,0.122711325026017,0,0.112550282767924
"5","manhattan","YES","NO",0.1270354160669,2.16181062746932,0.0623686584265191,0.002002002002002,0.0387622681633086
"6","euclidean","YES","YES",0,1.61628209638525,0.0473756809671971,0.002002002002002,0.0279406024015525
"7","canberra","YES","YES",0,1.49798355895564,0.0440609530961741,0,0.0238544751208709
"8","clark","YES","YES",0,1.33195131556603,0.0393696273425767,0,0.0208328264600232
"9","bray","YES","YES",0,2.42110298647101,0.0693306562341111,0,0.0409074732682864
"10","kulczynski","YES","NO",0.0252229546402455,2.33701305939051,0.0670841973565972,0,0.0418353034551359
"11","jaccard","YES","YES",0,1.80241950632954,0.0525449671559453,0,0.0297119820156241
"12","gower","YES","NO",0.12719044006138,1.04695187127196,0.0312085543655167,0.48948948948949,0.00753305724559797
"13","altGower","NO","NO",0.257086140442256,1.80749640159204,0.0526851735385787,0.118118118118118,-0.0325495620204235
"14","morisita","NO","NO",0.0500605816038191,3.8868306401568,0.106819708443287,0,0.072232367891595
"15","horn","NO","NO",0.0498115520303629,3.886427215518,0.106809805549156,0,0.0722211540687098
"16","binomial","YES","NO",0.0667614925059979,1.90300295398373,0.0553150245787882,0,0.0367853595527742
"17","chao","NO","NO",0.139320930774527,2.58795752472049,0.0737562886895654,0,0.0452125689975191
"18","cao","YES","NO",0.0128578909089699,2.26704357451815,0.0652066825773974,0,0.0381647254450938
"19","chisq","YES","YES",0,1.33655574235288,0.0395003484553815,0,0.0186560150016454
"20","chord","YES","YES",0,3.03283244312888,0.0853529604762862,0,0.0551337718768492
"21","hellinger","YES","YES",0,2.44154170534761,0.0698750423188668,0,0.0429932154009004
"22","aitchison","YES","YES",0,2.02304182341854,0.0585997558895931,0,0.0370724929562801
"23","unifrac_unweighted","YES","YES",0,3.72036181658992,0.102714650820685,0,0.0643078406831618
"24","unifrac_weighted_phyloseq","YES","NO",0.0342210550759628,3.77094066088668,0.103965890935747,0,0.0706600045552764
"25","unifrac_weighted_gunifrac","YES","NO",0.0313890639583937,3.60766107808143,0.0999140063456341,0,0.0681956444489571
"26","GUniFrac","YES","YES",0,3.4411318607987,0.0957435584979997,0,0.0656616757924676
