"Method","COVID-Gut Microbiome","HIV-Gut Microbiome","IBD Dataset (16S)","IBD Dataset (WGS)","ORIGINS Oral Microbiome (16S)","ORIGINS Oral Microbiome (WGS)","Pig Gut Microbiome"
"Unweighted GLaD (rho = 0.5)",0.0149878412073793,0.0153275649028121,0.0100373726433197,0.0113237443492472,0.00699304335447239,0.00574041749387385,0.0579711055880467
"Weighted GLaD (rho = 0.5)",0.0133799365085271,0.0127070227665794,0.025747531545248,0.0360354267229295,0.0036472540721007,0.00695557881745284,0.139692985349216
"Unweighted GLaD (rho = 1)",0.0097684339859425,0.0253318249855601,0.0123537989285816,0.04369381931631,0.00316583104924543,0.00613904085615933,0.115963853028217
"Weighted GLaD (rho = 1)",0.0170891026480591,0.0122370716080884,0.037511130831282,0.0537616660822481,0.0021306857585626,0.00629094493000667,0.165476321214148
"Unweighted UniFrac",0.0150704852400799,0.0140057531778553,0.00898916899594681,0.0113179576340612,0.00659147937513217,0.00637445998060269,0.0532625986991954
"Weighted UniFrac",0.00881558500350201,0.00786297296103289,0.0103445230483557,0.00728493567361542,0.00282531310682368,0.00299883894712306,0.189482078593255
"GUniFrac",0.0150474952020763,0.0135194952865358,0.0159747977852666,0.01842387311279,0.00524288189689665,0.00460396120401414,0.132296878491438
"Aitchison",0.0134836176674398,0.0152451307500487,0.0090556645589528,0.0140083985538077,0.00660521329213851,0.00598022563337079,0.06719410076253
"Bray-Curtis",0.0145163376426617,0.0146327988191488,0.0131367542471358,0.0129115467234165,0.00470476272305625,0.00521662515616079,0.09122671660429
"Euclidean",0.0173954110556892,0.0133813815847787,0.022455198111469,0.0117672916527162,0.00276090360111132,0.00501907428543525,0.0530619843215109
"Jaccard",0.0152932806938861,0.0139748097984163,0.0110845224409639,0.0106662551821342,0.00594530779998098,0.00634726752778705,0.0589204237737543
