"Method","COVID-Gut Microbiome","HIV-Gut Microbiome","IBD Dataset (16S)","IBD Dataset (WGS)","ORIGINS Oral Microbiome (16S)","ORIGINS Oral Microbiome (WGS)","Pig Gut Microbiome"
"Unweighted GLaD (rho = 0.5)",1.40768441731925,1.21959761449346,1.14173234393476,1.18426188719749,1.11262905101439,1.03280604262512,3.57663359481683
"Weighted GLaD (rho = 0.5)",1.07848477649634,1.14349662149673,1.64484445268556,1.49605999861106,0.825223526393869,1.38806225099778,9.30840482318906
"Unweighted GLaD (rho = 1)",1.99402087272534,1.5871060096317,1.52005376084204,1.71228922408969,1.33743398388988,1.27956952423746,6.9933325761544
"Weighted GLaD (rho = 1)",0.935052637190575,1.09726422193855,1.66691854510688,1.72702693589859,0.797849265366946,1.34146332028008,11.5651310588567
"Unweighted UniFrac",1.30057706684597,1.16121501190494,1.19700292224799,1.17581041136008,1.22786319216055,1.03748530959207,3.37326318214254
"Weighted UniFrac",1.85404468559508,0.938813630908394,0.986425589504026,1.02117213142003,0.869753892330772,1.12127762922252,10.9242352892119
"GUniFrac",1.40479442992655,1.20288244056672,1.4980548777112,1.38883768897162,1.02407519613891,1.30572206550081,7.81932207699324
"Aitchison",1.57557758104972,1.13900082669769,1.21708962404184,1.30598214644855,1.0936097684846,1.18434231548726,4.15343880630297
"Bray-Curtis",1.45360322026887,1.25060320754921,1.38867336885877,1.31193729858609,0.938483383241681,1.10408359633648,5.46593178996334
"Euclidean",1.21405305379243,0.936583533277882,1.38656354887358,1.23797827414522,0.718003802323172,1.78078568965633,3.49775769600906
"Jaccard",1.29266140669147,1.17050553592439,1.32151267182929,1.269410304135,1.0056075945645,1.1794071640278,3.54906259364164
