"rep_id","setting_id","k","signal_cluster","cluster_ordered","cluster_abund_sum_template","cluster_n_otus_template","beta","is_null","n_samples","y_mean","signal_mean_abs","signal_sd_abs","seed_sim","seed_test","runtime_sec","p_GLaD_0.5_weighted","p_GLaD_0.5_unweighted","p_GLaD_1_weighted","p_GLaD_1_unweighted","p_euclidean","p_bray","p_jaccard","p_aitchison","p_unifrac_unweighted","p_unifrac_weighted_phyloseq","p_GUniFrac"
1,1,12,1,8,38.4045053101521,68,0,1,100,0.48,44.3345127209708,49.750573454858,12346,2012346,58.927,0.6,0.626,0.504,0.225,0.315,0.25,0.221,0.238,0.86,0.277,0.274
1,2,12,2,5,77.0330827660337,39,0,1,100,0.52,62.8764818595601,130.964641459927,12347,2012347,4.97399999999999,0.821,0.305,0.562,0.463,0.811,0.821,0.818,0.365,0.427,0.834,0.708
1,3,12,3,7,43.6751187922883,34,0,1,100,0.55,55.2333909959808,120.729576441777,12348,2012348,5.411,0.868,0.452,0.835,0.862,0.817,0.742,0.757,0.235,0.475,0.974,0.978
1,4,12,4,4,79.6953582744224,67,0,1,100,0.51,74.050554206855,59.1784083501223,12349,2012349,5.273,0.154,0.826,0.359,0.841,0.137,0.195,0.179,0.8,0.891,0.152,0.273
1,5,12,5,2,133.044236791808,66,0,1,100,0.52,154.06094592183,294.298157095541,12350,2012350,5.40000000000001,0.006,0.118,0.003,0.695,0.043,0.07,0.082,0.254,0.399,0.001,0.004
1,6,12,6,11,5.27504110111664,23,0,1,100,0.41,6.45485663816258,13.5397501951596,12351,2012351,4.849,0.719,0.597,0.617,0.669,0.908,0.771,0.757,0.299,0.477,0.435,0.433
1,7,12,7,10,11.0732266185605,26,0,1,100,0.54,11.7570268284462,19.1231578407133,12352,2012352,4.873,0.299,0.832,0.254,0.502,0.171,0.569,0.508,0.774,0.907,0.466,0.634
1,8,12,8,1,293.178789576476,145,0,1,100,0.54,277.558842439399,226.427071002438,12353,2012353,4.86199999999999,0.986,0.835,0.987,0.622,0.886,0.806,0.797,0.789,0.968,0.934,0.802
1,9,12,9,3,106.715084324911,54,0,1,100,0.5,112.904690990403,193.382316367856,12354,2012354,4.434,0.732,0.373,0.614,0.599,0.352,0.167,0.228,0.199,0.497,0.61,0.462
1,10,12,10,6,68.7845374439054,53,0,1,100,0.55,59.9959474858131,67.9233220211819,12355,2012355,5.31100000000001,0.052,0.122,0.044,0.029,0.407,0.092,0.085,0.252,0.095,0.03,0.021
1,11,12,11,12,5.09634064688554,21,0,1,100,0.48,4.15720330495652,6.61429904513827,12356,2012356,4.49699999999999,0.527,0.599,0.612,0.832,0.207,0.333,0.288,0.62,0.404,0.396,0.459
1,12,12,12,9,12.7421518209905,20,0,1,100,0.5,14.5567850890389,18.0200478049412,12357,2012357,4.964,0.877,0.348,0.831,0.649,0.682,0.676,0.692,0.394,0.377,0.97,0.876
1,13,12,1,8,38.4045053101521,68,0.6,0,100,0.45,43.5506578614312,63.7778503541814,12358,2012358,4.81599999999997,0.201,0.901,0.159,0.735,0.205,0.524,0.497,0.766,0.803,0.335,0.686
1,14,12,2,5,77.0330827660337,39,0.6,0,100,0.5,77.8384395181124,274.457493219418,12359,2012359,5.37700000000001,0.23,0.143,0.122,0.131,0.473,0.644,0.677,0.117,0.094,0.242,0.189
1,15,12,3,7,43.6751187922883,34,0.6,0,100,0.53,46.0238993187218,38.8933257982697,12360,2012360,4.459,0.697,0.32,0.763,0.615,0.532,0.439,0.478,0.438,0.403,0.575,0.551
1,16,12,4,4,79.6953582744224,67,0.6,0,100,0.48,71.3234426048956,46.5071999776446,12361,2012361,5.35400000000001,0.041,0.478,0.172,0.633,0.015,0.013,0.002,0.502,0.718,0.03,0.066
1,17,12,5,2,133.044236791808,66,0.6,0,100,0.5,135.003565709372,234.537044431137,12362,2012362,4.571,0.057,0.717,0.279,0.921,0.02,0.022,0.017,0.301,0.796,0.029,0.061
1,18,12,6,11,5.27504110111664,23,0.6,0,100,0.51,4.94553216321842,11.7613868264599,12363,2012363,5.274,0.331,0.416,0.2,0.593,0.637,0.443,0.505,0.287,0.321,0.411,0.505
1,19,12,7,10,11.0732266185605,26,0.6,0,100,0.44,10.2907447095383,20.4050077064601,12364,2012364,4.845,0.64,0.031,0.416,0.07,0.876,0.806,0.853,0.095,0.085,0.76,0.631
1,20,12,8,1,293.178789576476,145,0.6,0,100,0.5,304.61449799168,277.518349229392,12365,2012365,4.48000000000002,0.608,0.002,0.409,0.004,0.302,0.308,0.304,0.119,0.002,0.613,0.241
1,21,12,9,3,106.715084324911,54,0.6,0,100,0.53,104.85239456256,127.255899585937,12366,2012366,5.07599999999999,0.015,0.005,0.008,0.228,0.01,0.056,0.074,0.072,0.006,0.014,0.024
1,22,12,10,6,68.7845374439054,53,0.6,0,100,0.53,68.9697253630448,55.6897675789758,12367,2012367,4.52000000000001,0.486,0.479,0.657,0.947,0.09,0.067,0.064,0.263,0.864,0.186,0.177
1,23,12,11,12,5.09634064688554,21,0.6,0,100,0.55,4.91216350976976,6.47594618947711,12368,2012368,4.94300000000001,0.581,0.281,0.715,0.489,0.242,0.172,0.148,0.312,0.225,0.305,0.054
1,24,12,12,9,12.7421518209905,20,0.6,0,100,0.48,16.5695506910929,23.0860874573264,12369,2012369,4.887,0.11,0.106,0.132,0.046,0.019,0.151,0.147,0.561,0.181,0.116,0.112
1,25,12,1,8,38.4045053101521,68,0.8,0,100,0.53,38.6304266487519,39.6591021775755,12370,2012370,4.5,0.725,0.81,0.534,0.073,0.953,0.925,0.823,0.973,0.465,0.581,0.468
1,26,12,2,5,77.0330827660337,39,0.8,0,100,0.42,70.7350635097354,140.695368235739,12371,2012371,5.26500000000001,0.03,0.232,0.087,0.345,0.106,0.011,0.014,0.055,0.275,0.034,0.056
1,27,12,3,7,43.6751187922883,34,0.8,0,100,0.48,37.8143344928815,37.0870766426653,12372,2012372,4.81900000000002,0.124,0.018,0.159,0.014,0.409,0.093,0.123,0.015,0.058,0.07,0.041
1,28,12,4,4,79.6953582744224,67,0.8,0,100,0.47,80.5316928144346,100.932169392237,12373,2012373,4.38299999999998,0.794,0.645,0.763,0.137,0.724,0.64,0.647,0.738,0.776,0.732,0.739
1,29,12,5,2,133.044236791808,66,0.8,0,100,0.49,117.597671825278,175.191451106377,12374,2012374,4.89500000000001,0.205,0.612,0.259,0.203,0.294,0.462,0.382,0.753,0.605,0.079,0.069
1,30,12,6,11,5.27504110111664,23,0.8,0,100,0.51,6.18358153414085,11.2862619560676,12375,2012375,4.42399999999998,0.279,0.937,0.217,0.255,0.439,0.108,0.108,0.666,0.982,0.243,0.296
1,31,12,7,10,11.0732266185605,26,0.8,0,100,0.54,11.4816060710635,16.3810994155865,12376,2012376,4.61199999999999,0.981,0.164,0.987,0.186,0.902,0.862,0.858,0.311,0.405,0.958,0.968
1,32,12,8,1,293.178789576476,145,0.8,0,100,0.46,271.95915720511,169.179069609083,12377,2012377,4.99699999999999,0.207,0.958,0.25,0.265,0.666,0.66,0.622,0.916,0.983,0.65,0.889
1,33,12,9,3,106.715084324911,54,0.8,0,100,0.43,99.2745699520011,216.002844359902,12378,2012378,4.36100000000002,0.715,0.487,0.837,0.107,0.68,0.681,0.707,0.884,0.63,0.717,0.67
1,34,12,10,6,68.7845374439054,53,0.8,0,100,0.47,68.3151175776188,63.0690422294437,12379,2012379,4.46900000000002,0.729,0.062,0.541,0.638,0.675,0.475,0.52,0.155,0.182,0.401,0.223
