method,beta,n,n_reject,estimate,conf.low,conf.high
"GLaD(0.5), weighted",0.6,1200,152,0.12666666666666668,0.10903206614603636,0.1466838809706724
"GLaD(0.5), weighted",0.8,1200,180,0.15,0.13091536681882937,0.17131833360308507
"GLaD(0.5), weighted",1.2,1200,290,0.24166666666666667,0.21829442361959797,0.26668759335848174
"GLaD(0.5), weighted",1.6,1200,359,0.2991666666666667,0.27393369855369126,0.3256813533550739
"GLaD(0.5), weighted",2,1200,445,0.37083333333333335,0.3439566550044214,0.3985343534846184
"GLaD(0.5), unweighted",0.6,1200,118,0.09833333333333333,0.08274586919614174,0.11648423462138863
"GLaD(0.5), unweighted",0.8,1200,132,0.11,0.09352592045777011,0.1289630600123631
"GLaD(0.5), unweighted",1.2,1200,235,0.19583333333333333,0.17436580883507358,0.21924204986492352
"GLaD(0.5), unweighted",1.6,1200,320,0.26666666666666666,0.2424197894305297,0.2924026775174132
"GLaD(0.5), unweighted",2,1200,422,0.3516666666666667,0.325162909690181,0.3791170871552969
"GLaD(1), weighted",0.6,1200,126,0.105,0.0888977552437213,0.12362313523243927
"GLaD(1), weighted",0.8,1200,143,0.11916666666666667,0.10204006080625294,0.13872375131949682
"GLaD(1), weighted",1.2,1200,212,0.17666666666666667,0.15612961995290825,0.199267227103527
"GLaD(1), weighted",1.6,1200,257,0.21416666666666667,0.1918866265296599,0.23827089548157024
"GLaD(1), weighted",2,1200,302,0.25166666666666665,0.22793174916689724,0.2769864477991277
"GLaD(1), unweighted",0.6,1200,78,0.065,0.05239309178858195,0.08038307873579742
"GLaD(1), unweighted",0.8,1200,96,0.08,0.06595666296985946,0.09672377753643786
"GLaD(1), unweighted",1.2,1200,157,0.13083333333333333,0.11292586703204983,0.15109682174630276
"GLaD(1), unweighted",1.6,1200,195,0.1625,0.14270988128452258,0.18444404412232349
"GLaD(1), unweighted",2,1200,240,0.2,0.1783414535224752,0.22357314683916574
Euclidean,0.6,1200,120,0.1,0.08428171719545856,0.11827108328672938
Euclidean,0.8,1200,152,0.12666666666666668,0.10903206614603636,0.1466838809706724
Euclidean,1.2,1200,228,0.19,0.1688064797517849,0.21317194062191078
Euclidean,1.6,1200,308,0.25666666666666665,0.23275690489083312,0.2821293820691645
Euclidean,2,1200,418,0.34833333333333333,0.3218992316495759,0.3757353718665869
Bray-Curtis,0.6,1200,146,0.12166666666666667,0.10436824794331348,0.1413796091794226
Bray-Curtis,0.8,1200,176,0.14666666666666667,0.12777809299790138,0.16781021409469798
Bray-Curtis,1.2,1200,342,0.285,0.2601769131800553,0.31119521707912057
Bray-Curtis,1.6,1200,454,0.37833333333333335,0.35132330159509606,0.4061198418849027
Bray-Curtis,2,1200,574,0.47833333333333333,0.4501844467082737,0.506620496651178
Jaccard,0.6,1200,144,0.12,0.10281584099458076,0.13960931946349775
Jaccard,0.8,1200,181,0.15083333333333335,0.1317002233328742,0.17219482542136902
Jaccard,1.2,1200,328,0.2733333333333333,0.24887078188453626,0.2992424717220368
Jaccard,1.6,1200,453,0.3775,0.35050444108888296,0.405277354058787
Jaccard,2,1200,567,0.4725,0.4443858969573734,0.5007896080757769
Aitchison,0.6,1200,139,0.11583333333333333,0.09893982195776421,0.13517859683867042
Aitchison,0.8,1200,142,0.11833333333333333,0.10126456619264831,0.13783789760077264
Aitchison,1.2,1200,251,0.20916666666666667,0.18710115728788673,0.23308827472937071
Aitchison,1.6,1200,358,0.29833333333333334,0.27312364995652255,0.32483005361991385
Aitchison,2,1200,445,0.37083333333333335,0.3439566550044214,0.3985343534846184
"UniFrac, unweighted",0.6,1200,109,0.09083333333333334,0.07585322452274128,0.10842474430383013
"UniFrac, unweighted",0.8,1200,110,0.09166666666666666,0.07661750558495797,0.10932181157394219
"UniFrac, unweighted",1.2,1200,192,0.16,0.14034735171793733,0.18182252869192245
"UniFrac, unweighted",1.6,1200,272,0.22666666666666666,0.2038722790059714,0.2512054679901903
"UniFrac, unweighted",2,1200,341,0.2841666666666667,0.2593686330071051,0.3103421489197421
"UniFrac, weighted",0.6,1200,165,0.1375,0.11916902954436343,0.15814444589261945
"UniFrac, weighted",0.8,1200,211,0.17583333333333334,0.1553387695620836,0.1983967291620229
"UniFrac, weighted",1.2,1200,361,0.30083333333333334,0.27555410070536024,0.3273836478680624
"UniFrac, weighted",1.6,1200,485,0.4041666666666667,0.37674996327123916,0.4321949785109516
"UniFrac, weighted",2,1200,620,0.5166666666666667,0.4883846578058238,0.5448423088407519
GUniFrac(0.5),0.6,1200,163,0.13583333333333333,0.11760677299109779,0.15638400578122746
GUniFrac(0.5),0.8,1200,223,0.18583333333333332,0.1648403581485895,0.20883132056346226
GUniFrac(0.5),1.2,1200,438,0.365,0.3382318928155945,0.3926296773471438
GUniFrac(0.5),1.6,1200,604,0.5033333333333333,0.47507885117116644,0.5315665421581487
GUniFrac(0.5),2,1200,755,0.6291666666666667,0.6014656465153816,0.6560433449955785
