method,cluster_ordered,beta,n,n_reject,power
"GLaD(0.5), weighted",1,0.6,100,38,0.38
"GLaD(0.5), weighted",1,0.8,100,49,0.49
"GLaD(0.5), weighted",1,1.2,100,71,0.71
"GLaD(0.5), weighted",1,1.6,100,84,0.84
"GLaD(0.5), weighted",1,2,100,98,0.98
"GLaD(0.5), weighted",2,0.6,100,28,0.28
"GLaD(0.5), weighted",2,0.8,100,26,0.26
"GLaD(0.5), weighted",2,1.2,100,50,0.5
"GLaD(0.5), weighted",2,1.6,100,47,0.47
"GLaD(0.5), weighted",2,2,100,76,0.76
"GLaD(0.5), weighted",3,0.6,100,11,0.11
"GLaD(0.5), weighted",3,0.8,100,20,0.2
"GLaD(0.5), weighted",3,1.2,100,41,0.41
"GLaD(0.5), weighted",3,1.6,100,50,0.5
"GLaD(0.5), weighted",3,2,100,61,0.61
"GLaD(0.5), weighted",4,0.6,100,14,0.14
"GLaD(0.5), weighted",4,0.8,100,7,0.07
"GLaD(0.5), weighted",4,1.2,100,13,0.13
"GLaD(0.5), weighted",4,1.6,100,28,0.28
"GLaD(0.5), weighted",4,2,100,28,0.28
"GLaD(0.5), weighted",5,0.6,100,12,0.12
"GLaD(0.5), weighted",5,0.8,100,23,0.23
"GLaD(0.5), weighted",5,1.2,100,45,0.45
"GLaD(0.5), weighted",5,1.6,100,60,0.6
"GLaD(0.5), weighted",5,2,100,67,0.67
"GLaD(0.5), weighted",6,0.6,100,12,0.12
"GLaD(0.5), weighted",6,0.8,100,8,0.08
"GLaD(0.5), weighted",6,1.2,100,12,0.12
"GLaD(0.5), weighted",6,1.6,100,20,0.2
"GLaD(0.5), weighted",6,2,100,23,0.23
"GLaD(0.5), weighted",7,0.6,100,8,0.08
"GLaD(0.5), weighted",7,0.8,100,14,0.14
"GLaD(0.5), weighted",7,1.2,100,16,0.16
"GLaD(0.5), weighted",7,1.6,100,22,0.22
"GLaD(0.5), weighted",7,2,100,26,0.26
"GLaD(0.5), weighted",8,0.6,100,6,0.06
"GLaD(0.5), weighted",8,0.8,100,6,0.06
"GLaD(0.5), weighted",8,1.2,100,14,0.14
"GLaD(0.5), weighted",8,1.6,100,9,0.09
"GLaD(0.5), weighted",8,2,100,22,0.22
"GLaD(0.5), weighted",9,0.6,100,9,0.09
"GLaD(0.5), weighted",9,0.8,100,5,0.05
"GLaD(0.5), weighted",9,1.2,100,8,0.08
"GLaD(0.5), weighted",9,1.6,100,11,0.11
"GLaD(0.5), weighted",9,2,100,8,0.08
"GLaD(0.5), weighted",10,0.6,100,8,0.08
"GLaD(0.5), weighted",10,0.8,100,8,0.08
"GLaD(0.5), weighted",10,1.2,100,6,0.06
"GLaD(0.5), weighted",10,1.6,100,15,0.15
"GLaD(0.5), weighted",10,2,100,21,0.21
"GLaD(0.5), weighted",11,0.6,100,5,0.05
"GLaD(0.5), weighted",11,0.8,100,8,0.08
"GLaD(0.5), weighted",11,1.2,100,9,0.09
"GLaD(0.5), weighted",11,1.6,100,8,0.08
"GLaD(0.5), weighted",11,2,100,12,0.12
"GLaD(0.5), weighted",12,0.6,100,1,0.01
"GLaD(0.5), weighted",12,0.8,100,6,0.06
"GLaD(0.5), weighted",12,1.2,100,5,0.05
"GLaD(0.5), weighted",12,1.6,100,5,0.05
"GLaD(0.5), weighted",12,2,100,3,0.03
"GLaD(0.5), unweighted",1,0.6,100,23,0.23
"GLaD(0.5), unweighted",1,0.8,100,16,0.16
"GLaD(0.5), unweighted",1,1.2,100,23,0.23
"GLaD(0.5), unweighted",1,1.6,100,36,0.36
"GLaD(0.5), unweighted",1,2,100,40,0.4
"GLaD(0.5), unweighted",2,0.6,100,12,0.12
"GLaD(0.5), unweighted",2,0.8,100,6,0.06
"GLaD(0.5), unweighted",2,1.2,100,13,0.13
"GLaD(0.5), unweighted",2,1.6,100,14,0.14
"GLaD(0.5), unweighted",2,2,100,23,0.23
"GLaD(0.5), unweighted",3,0.6,100,6,0.06
"GLaD(0.5), unweighted",3,0.8,100,20,0.2
"GLaD(0.5), unweighted",3,1.2,100,13,0.13
"GLaD(0.5), unweighted",3,1.6,100,23,0.23
"GLaD(0.5), unweighted",3,2,100,30,0.3
"GLaD(0.5), unweighted",4,0.6,100,11,0.11
"GLaD(0.5), unweighted",4,0.8,100,11,0.11
"GLaD(0.5), unweighted",4,1.2,100,16,0.16
"GLaD(0.5), unweighted",4,1.6,100,25,0.25
"GLaD(0.5), unweighted",4,2,100,34,0.34
"GLaD(0.5), unweighted",5,0.6,100,6,0.06
"GLaD(0.5), unweighted",5,0.8,100,6,0.06
"GLaD(0.5), unweighted",5,1.2,100,17,0.17
"GLaD(0.5), unweighted",5,1.6,100,15,0.15
"GLaD(0.5), unweighted",5,2,100,21,0.21
"GLaD(0.5), unweighted",6,0.6,100,4,0.04
"GLaD(0.5), unweighted",6,0.8,100,2,0.02
"GLaD(0.5), unweighted",6,1.2,100,10,0.1
"GLaD(0.5), unweighted",6,1.6,100,12,0.12
"GLaD(0.5), unweighted",6,2,100,12,0.12
"GLaD(0.5), unweighted",7,0.6,100,5,0.05
"GLaD(0.5), unweighted",7,0.8,100,17,0.17
"GLaD(0.5), unweighted",7,1.2,100,24,0.24
"GLaD(0.5), unweighted",7,1.6,100,38,0.38
"GLaD(0.5), unweighted",7,2,100,43,0.43
"GLaD(0.5), unweighted",8,0.6,100,14,0.14
"GLaD(0.5), unweighted",8,0.8,100,20,0.2
"GLaD(0.5), unweighted",8,1.2,100,30,0.3
"GLaD(0.5), unweighted",8,1.6,100,40,0.4
"GLaD(0.5), unweighted",8,2,100,58,0.58
"GLaD(0.5), unweighted",9,0.6,100,8,0.08
"GLaD(0.5), unweighted",9,0.8,100,4,0.04
"GLaD(0.5), unweighted",9,1.2,100,23,0.23
"GLaD(0.5), unweighted",9,1.6,100,25,0.25
"GLaD(0.5), unweighted",9,2,100,29,0.29
"GLaD(0.5), unweighted",10,0.6,100,7,0.07
"GLaD(0.5), unweighted",10,0.8,100,9,0.09
"GLaD(0.5), unweighted",10,1.2,100,18,0.18
"GLaD(0.5), unweighted",10,1.6,100,27,0.27
"GLaD(0.5), unweighted",10,2,100,43,0.43
"GLaD(0.5), unweighted",11,0.6,100,10,0.1
"GLaD(0.5), unweighted",11,0.8,100,10,0.1
"GLaD(0.5), unweighted",11,1.2,100,16,0.16
"GLaD(0.5), unweighted",11,1.6,100,22,0.22
"GLaD(0.5), unweighted",11,2,100,25,0.25
"GLaD(0.5), unweighted",12,0.6,100,12,0.12
"GLaD(0.5), unweighted",12,0.8,100,11,0.11
"GLaD(0.5), unweighted",12,1.2,100,32,0.32
"GLaD(0.5), unweighted",12,1.6,100,43,0.43
"GLaD(0.5), unweighted",12,2,100,64,0.64
"GLaD(1), weighted",1,0.6,100,42,0.42
"GLaD(1), weighted",1,0.8,100,54,0.54
"GLaD(1), weighted",1,1.2,100,74,0.74
"GLaD(1), weighted",1,1.6,100,85,0.85
"GLaD(1), weighted",1,2,100,98,0.98
"GLaD(1), weighted",2,0.6,100,21,0.21
"GLaD(1), weighted",2,0.8,100,10,0.1
"GLaD(1), weighted",2,1.2,100,26,0.26
"GLaD(1), weighted",2,1.6,100,26,0.26
"GLaD(1), weighted",2,2,100,41,0.41
"GLaD(1), weighted",3,0.6,100,6,0.06
"GLaD(1), weighted",3,0.8,100,11,0.11
"GLaD(1), weighted",3,1.2,100,15,0.15
"GLaD(1), weighted",3,1.6,100,24,0.24
"GLaD(1), weighted",3,2,100,27,0.27
"GLaD(1), weighted",4,0.6,100,7,0.07
"GLaD(1), weighted",4,0.8,100,2,0.02
"GLaD(1), weighted",4,1.2,100,7,0.07
"GLaD(1), weighted",4,1.6,100,14,0.14
"GLaD(1), weighted",4,2,100,12,0.12
"GLaD(1), weighted",5,0.6,100,9,0.09
"GLaD(1), weighted",5,0.8,100,17,0.17
"GLaD(1), weighted",5,1.2,100,35,0.35
"GLaD(1), weighted",5,1.6,100,47,0.47
"GLaD(1), weighted",5,2,100,51,0.51
"GLaD(1), weighted",6,0.6,100,10,0.1
"GLaD(1), weighted",6,0.8,100,6,0.06
"GLaD(1), weighted",6,1.2,100,6,0.06
"GLaD(1), weighted",6,1.6,100,12,0.12
"GLaD(1), weighted",6,2,100,9,0.09
"GLaD(1), weighted",7,0.6,100,3,0.03
"GLaD(1), weighted",7,0.8,100,9,0.09
"GLaD(1), weighted",7,1.2,100,14,0.14
"GLaD(1), weighted",7,1.6,100,19,0.19
"GLaD(1), weighted",7,2,100,16,0.16
"GLaD(1), weighted",8,0.6,100,4,0.04
"GLaD(1), weighted",8,0.8,100,4,0.04
"GLaD(1), weighted",8,1.2,100,8,0.08
"GLaD(1), weighted",8,1.6,100,3,0.03
"GLaD(1), weighted",8,2,100,12,0.12
"GLaD(1), weighted",9,0.6,100,7,0.07
"GLaD(1), weighted",9,0.8,100,9,0.09
"GLaD(1), weighted",9,1.2,100,5,0.05
"GLaD(1), weighted",9,1.6,100,7,0.07
"GLaD(1), weighted",9,2,100,7,0.07
"GLaD(1), weighted",10,0.6,100,9,0.09
"GLaD(1), weighted",10,0.8,100,7,0.07
"GLaD(1), weighted",10,1.2,100,6,0.06
"GLaD(1), weighted",10,1.6,100,8,0.08
"GLaD(1), weighted",10,2,100,17,0.17
"GLaD(1), weighted",11,0.6,100,5,0.05
"GLaD(1), weighted",11,0.8,100,9,0.09
"GLaD(1), weighted",11,1.2,100,8,0.08
"GLaD(1), weighted",11,1.6,100,6,0.06
"GLaD(1), weighted",11,2,100,9,0.09
"GLaD(1), weighted",12,0.6,100,3,0.03
"GLaD(1), weighted",12,0.8,100,5,0.05
"GLaD(1), weighted",12,1.2,100,8,0.08
"GLaD(1), weighted",12,1.6,100,6,0.06
"GLaD(1), weighted",12,2,100,3,0.03
"GLaD(1), unweighted",1,0.6,100,9,0.09
"GLaD(1), unweighted",1,0.8,100,10,0.1
"GLaD(1), unweighted",1,1.2,100,20,0.2
"GLaD(1), unweighted",1,1.6,100,20,0.2
"GLaD(1), unweighted",1,2,100,24,0.24
"GLaD(1), unweighted",2,0.6,100,3,0.03
"GLaD(1), unweighted",2,0.8,100,6,0.06
"GLaD(1), unweighted",2,1.2,100,7,0.07
"GLaD(1), unweighted",2,1.6,100,7,0.07
"GLaD(1), unweighted",2,2,100,7,0.07
"GLaD(1), unweighted",3,0.6,100,5,0.05
"GLaD(1), unweighted",3,0.8,100,9,0.09
"GLaD(1), unweighted",3,1.2,100,11,0.11
"GLaD(1), unweighted",3,1.6,100,18,0.18
"GLaD(1), unweighted",3,2,100,21,0.21
"GLaD(1), unweighted",4,0.6,100,10,0.1
"GLaD(1), unweighted",4,0.8,100,1,0.01
"GLaD(1), unweighted",4,1.2,100,8,0.08
"GLaD(1), unweighted",4,1.6,100,3,0.03
"GLaD(1), unweighted",4,2,100,5,0.05
"GLaD(1), unweighted",5,0.6,100,3,0.03
"GLaD(1), unweighted",5,0.8,100,6,0.06
"GLaD(1), unweighted",5,1.2,100,10,0.1
"GLaD(1), unweighted",5,1.6,100,6,0.06
"GLaD(1), unweighted",5,2,100,15,0.15
"GLaD(1), unweighted",6,0.6,100,3,0.03
"GLaD(1), unweighted",6,0.8,100,2,0.02
"GLaD(1), unweighted",6,1.2,100,7,0.07
"GLaD(1), unweighted",6,1.6,100,7,0.07
"GLaD(1), unweighted",6,2,100,7,0.07
"GLaD(1), unweighted",7,0.6,100,10,0.1
"GLaD(1), unweighted",7,0.8,100,19,0.19
"GLaD(1), unweighted",7,1.2,100,19,0.19
"GLaD(1), unweighted",7,1.6,100,28,0.28
"GLaD(1), unweighted",7,2,100,33,0.33
"GLaD(1), unweighted",8,0.6,100,10,0.1
"GLaD(1), unweighted",8,0.8,100,8,0.08
"GLaD(1), unweighted",8,1.2,100,15,0.15
"GLaD(1), unweighted",8,1.6,100,24,0.24
"GLaD(1), unweighted",8,2,100,31,0.31
"GLaD(1), unweighted",9,0.6,100,8,0.08
"GLaD(1), unweighted",9,0.8,100,3,0.03
"GLaD(1), unweighted",9,1.2,100,14,0.14
"GLaD(1), unweighted",9,1.6,100,19,0.19
"GLaD(1), unweighted",9,2,100,13,0.13
"GLaD(1), unweighted",10,0.6,100,6,0.06
"GLaD(1), unweighted",10,0.8,100,11,0.11
"GLaD(1), unweighted",10,1.2,100,9,0.09
"GLaD(1), unweighted",10,1.6,100,29,0.29
"GLaD(1), unweighted",10,2,100,31,0.31
"GLaD(1), unweighted",11,0.6,100,5,0.05
"GLaD(1), unweighted",11,0.8,100,7,0.07
"GLaD(1), unweighted",11,1.2,100,15,0.15
"GLaD(1), unweighted",11,1.6,100,10,0.1
"GLaD(1), unweighted",11,2,100,15,0.15
"GLaD(1), unweighted",12,0.6,100,6,0.06
"GLaD(1), unweighted",12,0.8,100,14,0.14
"GLaD(1), unweighted",12,1.2,100,22,0.22
"GLaD(1), unweighted",12,1.6,100,24,0.24
"GLaD(1), unweighted",12,2,100,38,0.38
Euclidean,1,0.6,100,13,0.13
Euclidean,1,0.8,100,20,0.2
Euclidean,1,1.2,100,28,0.28
Euclidean,1,1.6,100,41,0.41
Euclidean,1,2,100,63,0.63
Euclidean,2,0.6,100,34,0.34
Euclidean,2,0.8,100,31,0.31
Euclidean,2,1.2,100,50,0.5
Euclidean,2,1.6,100,55,0.55
Euclidean,2,2,100,82,0.82
Euclidean,3,0.6,100,7,0.07
Euclidean,3,0.8,100,18,0.18
Euclidean,3,1.2,100,32,0.32
Euclidean,3,1.6,100,39,0.39
Euclidean,3,2,100,51,0.51
Euclidean,4,0.6,100,15,0.15
Euclidean,4,0.8,100,11,0.11
Euclidean,4,1.2,100,19,0.19
Euclidean,4,1.6,100,37,0.37
Euclidean,4,2,100,45,0.45
Euclidean,5,0.6,100,9,0.09
Euclidean,5,0.8,100,21,0.21
Euclidean,5,1.2,100,36,0.36
Euclidean,5,1.6,100,51,0.51
Euclidean,5,2,100,62,0.62
Euclidean,6,0.6,100,7,0.07
Euclidean,6,0.8,100,6,0.06
Euclidean,6,1.2,100,14,0.14
