method,cluster_ordered,n,n_reject,estimate,conf.low,conf.high
"GLaD(0.5), weighted",1,100,5,0.05,0.02154367915436798,0.11175046923191911
"GLaD(0.5), weighted",2,100,8,0.08,0.04109346148438063,0.14998107700948732
"GLaD(0.5), weighted",3,100,4,0.04,0.015663303991547618,0.09837071435887917
"GLaD(0.5), weighted",4,100,2,0.02,0.005501967550162357,0.07001179072854387
"GLaD(0.5), weighted",5,100,5,0.05,0.02154367915436798,0.11175046923191911
"GLaD(0.5), weighted",6,100,4,0.04,0.015663303991547618,0.09837071435887917
"GLaD(0.5), weighted",7,100,2,0.02,0.005501967550162357,0.07001179072854387
"GLaD(0.5), weighted",8,100,3,0.03,0.010254524024038925,0.08451936429052759
"GLaD(0.5), weighted",9,100,5,0.05,0.02154367915436798,0.11175046923191911
"GLaD(0.5), weighted",10,100,4,0.04,0.015663303991547618,0.09837071435887917
"GLaD(0.5), weighted",11,100,6,0.06,0.027786123963188185,0.12476815445895917
"GLaD(0.5), weighted",12,100,4,0.04,0.015663303991547618,0.09837071435887917
"GLaD(0.5), unweighted",1,100,5,0.05,0.02154367915436798,0.11175046923191911
"GLaD(0.5), unweighted",2,100,5,0.05,0.02154367915436798,0.11175046923191911
"GLaD(0.5), unweighted",3,100,4,0.04,0.015663303991547618,0.09837071435887917
"GLaD(0.5), unweighted",4,100,9,0.09,0.04807254000256516,0.16226212852716307
"GLaD(0.5), unweighted",5,100,5,0.05,0.02154367915436798,0.11175046923191911
"GLaD(0.5), unweighted",6,100,4,0.04,0.015663303991547618,0.09837071435887917
"GLaD(0.5), unweighted",7,100,5,0.05,0.02154367915436798,0.11175046923191911
"GLaD(0.5), unweighted",8,100,7,0.07,0.034319261067272684,0.13749514739073498
"GLaD(0.5), unweighted",9,100,6,0.06,0.027786123963188185,0.12476815445895917
"GLaD(0.5), unweighted",10,100,3,0.03,0.010254524024038925,0.08451936429052759
"GLaD(0.5), unweighted",11,100,6,0.06,0.027786123963188185,0.12476815445895917
"GLaD(0.5), unweighted",12,100,6,0.06,0.027786123963188185,0.12476815445895917
"GLaD(1), weighted",1,100,4,0.04,0.015663303991547618,0.09837071435887917
"GLaD(1), weighted",2,100,9,0.09,0.04807254000256516,0.16226212852716307
"GLaD(1), weighted",3,100,5,0.05,0.02154367915436798,0.11175046923191911
"GLaD(1), weighted",4,100,2,0.02,0.005501967550162357,0.07001179072854387
"GLaD(1), weighted",5,100,7,0.07,0.034319261067272684,0.13749514739073498
"GLaD(1), weighted",6,100,3,0.03,0.010254524024038925,0.08451936429052759
"GLaD(1), weighted",7,100,2,0.02,0.005501967550162357,0.07001179072854387
"GLaD(1), weighted",8,100,3,0.03,0.010254524024038925,0.08451936429052759
"GLaD(1), weighted",9,100,4,0.04,0.015663303991547618,0.09837071435887917
"GLaD(1), weighted",10,100,2,0.02,0.005501967550162357,0.07001179072854387
"GLaD(1), weighted",11,100,5,0.05,0.02154367915436798,0.11175046923191911
"GLaD(1), weighted",12,100,5,0.05,0.02154367915436798,0.11175046923191911
"GLaD(1), unweighted",1,100,4,0.04,0.015663303991547618,0.09837071435887917
"GLaD(1), unweighted",2,100,4,0.04,0.015663303991547618,0.09837071435887917
"GLaD(1), unweighted",3,100,5,0.05,0.02154367915436798,0.11175046923191911
"GLaD(1), unweighted",4,100,10,0.1,0.0552291370606751,0.17436566150491345
"GLaD(1), unweighted",5,100,2,0.02,0.005501967550162357,0.07001179072854387
"GLaD(1), unweighted",6,100,6,0.06,0.027786123963188185,0.12476815445895917
"GLaD(1), unweighted",7,100,5,0.05,0.02154367915436798,0.11175046923191911
"GLaD(1), unweighted",8,100,8,0.08,0.04109346148438063,0.14998107700948732
"GLaD(1), unweighted",9,100,2,0.02,0.005501967550162357,0.07001179072854387
"GLaD(1), unweighted",10,100,7,0.07,0.034319261067272684,0.13749514739073498
"GLaD(1), unweighted",11,100,7,0.07,0.034319261067272684,0.13749514739073498
"GLaD(1), unweighted",12,100,2,0.02,0.005501967550162357,0.07001179072854387
Euclidean,1,100,8,0.08,0.04109346148438063,0.14998107700948732
Euclidean,2,100,6,0.06,0.027786123963188185,0.12476815445895917
Euclidean,3,100,6,0.06,0.027786123963188185,0.12476815445895917
Euclidean,4,100,4,0.04,0.015663303991547618,0.09837071435887917
Euclidean,5,100,3,0.03,0.010254524024038925,0.08451936429052759
Euclidean,6,100,3,0.03,0.010254524024038925,0.08451936429052759
Euclidean,7,100,1,0.01,0.0017674320641406435,0.054486196178705294
Euclidean,8,100,6,0.06,0.027786123963188185,0.12476815445895917
Euclidean,9,100,6,0.06,0.027786123963188185,0.12476815445895917
Euclidean,10,100,2,0.02,0.005501967550162357,0.07001179072854387
Euclidean,11,100,6,0.06,0.027786123963188185,0.12476815445895917
Euclidean,12,100,4,0.04,0.015663303991547618,0.09837071435887917
Bray-Curtis,1,100,9,0.09,0.04807254000256516,0.16226212852716307
Bray-Curtis,2,100,5,0.05,0.02154367915436798,0.11175046923191911
Bray-Curtis,3,100,6,0.06,0.027786123963188185,0.12476815445895917
Bray-Curtis,4,100,4,0.04,0.015663303991547618,0.09837071435887917
Bray-Curtis,5,100,6,0.06,0.027786123963188185,0.12476815445895917
Bray-Curtis,6,100,1,0.01,0.0017674320641406435,0.054486196178705294
Bray-Curtis,7,100,2,0.02,0.005501967550162357,0.07001179072854387
Bray-Curtis,8,100,6,0.06,0.027786123963188185,0.12476815445895917
Bray-Curtis,9,100,7,0.07,0.034319261067272684,0.13749514739073498
Bray-Curtis,10,100,3,0.03,0.010254524024038925,0.08451936429052759
Bray-Curtis,11,100,9,0.09,0.04807254000256516,0.16226212852716307
Bray-Curtis,12,100,2,0.02,0.005501967550162357,0.07001179072854387
Jaccard,1,100,9,0.09,0.04807254000256516,0.16226212852716307
Jaccard,2,100,4,0.04,0.015663303991547618,0.09837071435887917
Jaccard,3,100,7,0.07,0.034319261067272684,0.13749514739073498
Jaccard,4,100,3,0.03,0.010254524024038925,0.08451936429052759
