method,n,n_reject,estimate,conf.low,conf.high
"GLaD(0.5), unweighted",1200,65,0.05416666666666667,0.04272435599457301,0.06845428620953228
"UniFrac, unweighted",1200,65,0.05416666666666667,0.04272435599457301,0.06845428620953228
"GLaD(1), unweighted",1200,62,0.051666666666666666,0.04051171663917239,0.06568288056794658
Bray-Curtis,1200,60,0.05,0.03904101252183655,0.06383088802062488
Aitchison,1200,59,0.049166666666666664,0.03830703804746354,0.0629035141626691
Euclidean,1200,55,0.04583333333333333,0.03538084883799189,0.05918431004282565
Jaccard,1200,55,0.04583333333333333,0.03538084883799189,0.05918431004282565
"GLaD(0.5), weighted",1200,52,0.043333333333333335,0.03319710174469773,0.056384012139133494
"GLaD(1), weighted",1200,51,0.0425,0.032471408616991965,0.05544835693451049
GUniFrac(0.5),1200,48,0.04,0.03030143574034504,0.05263428481417108
"UniFrac, weighted",1200,44,0.03666666666666667,0.027426059843153,0.048864267382048014
