"K","k","Signal Mode","Number of OTU in cluster","Overall abundance","Within cluster COP"
2,1,"abundance",308,0.001631,0.34
2,2,"abundance",308,0.001616,0.4045
2,1,"both",308,0.001631,0.34
2,2,"both",308,0.001616,0.4045
2,1,"prevalence",308,0.001631,0.34
2,2,"prevalence",308,0.001616,0.4045
4,1,"abundance",154,0.002259,0.2585
4,2,"abundance",154,0.001982,0.3354
4,3,"abundance",154,0.001256,0.3536
4,4,"abundance",154,0.000996,0.4543
4,1,"both",154,0.002259,0.2585
4,2,"both",154,0.001982,0.3354
4,3,"both",154,0.001256,0.3536
4,4,"both",154,0.000996,0.4543
4,1,"prevalence",154,0.002259,0.2585
4,2,"prevalence",154,0.001982,0.3354
4,3,"prevalence",154,0.001256,0.3536
4,4,"prevalence",154,0.000996,0.4543
6,1,"abundance",103,0.002818,0.2444
6,2,"abundance",103,0.001958,0.3047
6,3,"abundance",103,0.001656,0.3484
6,4,"abundance",102,0.001502,0.3402
6,5,"abundance",102,0.00114,0.3183
6,6,"abundance",103,0.000661,0.4696
6,1,"both",103,0.002818,0.2444
6,2,"both",103,0.001958,0.3047
6,3,"both",103,0.001656,0.3484
6,4,"both",102,0.001502,0.3402
6,5,"both",102,0.00114,0.3183
6,6,"both",103,0.000661,0.4696
6,1,"prevalence",103,0.002818,0.2444
6,2,"prevalence",103,0.001958,0.3047
6,3,"prevalence",103,0.001656,0.3484
6,4,"prevalence",102,0.001502,0.3402
6,5,"prevalence",102,0.00114,0.3183
6,6,"prevalence",103,0.000661,0.4696
8,1,"abundance",77,0.003403,0.2392
8,2,"abundance",77,0.00263,0.3285
8,3,"abundance",77,0.001925,0.3175
8,4,"abundance",77,0.001603,0.2668
8,5,"abundance",77,0.001389,0.3187
8,6,"abundance",77,0.001059,0.266
8,7,"abundance",77,0.00055,0.3373
8,8,"abundance",77,0.000428,0.5232
8,1,"both",77,0.003403,0.2392
8,2,"both",77,0.00263,0.3285
8,3,"both",77,0.001925,0.3175
8,4,"both",77,0.001603,0.2668
8,5,"both",77,0.001389,0.3187
8,6,"both",77,0.001059,0.266
8,7,"both",77,0.00055,0.3373
8,8,"both",77,0.000428,0.5232
8,1,"prevalence",77,0.003403,0.2392
8,2,"prevalence",77,0.00263,0.3285
8,3,"prevalence",77,0.001925,0.3175
8,4,"prevalence",77,0.001603,0.2668
8,5,"prevalence",77,0.001389,0.3187
8,6,"prevalence",77,0.001059,0.266
8,7,"prevalence",77,0.00055,0.3373
8,8,"prevalence",77,0.000428,0.5232
