"K","k","Signal Mode","Overall abundance","Within cluster COP"
2,1,"abundance",0.001631,0.34
2,2,"abundance",0.001616,0.4045
2,1,"prevalence",0.001631,0.34
2,2,"prevalence",0.001616,0.4045
2,1,"both",0.001631,0.34
2,2,"both",0.001616,0.4045
4,1,"abundance",0.001982,0.3354
4,2,"abundance",0.002259,0.2585
4,3,"abundance",0.000996,0.4543
4,4,"abundance",0.001256,0.3536
4,1,"prevalence",0.001982,0.3354
4,2,"prevalence",0.002259,0.2585
4,3,"prevalence",0.000996,0.4543
4,4,"prevalence",0.001256,0.3536
4,1,"both",0.001982,0.3354
4,2,"both",0.002259,0.2585
4,3,"both",0.000996,0.4543
4,4,"both",0.001256,0.3536
6,1,"abundance",0.001958,0.3047
6,2,"abundance",0.002818,0.2444
6,3,"abundance",0.000661,0.4696
6,4,"abundance",0.001656,0.3484
6,5,"abundance",0.001502,0.3402
6,6,"abundance",0.00114,0.3183
6,1,"prevalence",0.001958,0.3047
6,2,"prevalence",0.002818,0.2444
6,3,"prevalence",0.000661,0.4696
6,4,"prevalence",0.001656,0.3484
6,5,"prevalence",0.001502,0.3402
6,6,"prevalence",0.00114,0.3183
6,1,"both",0.001958,0.3047
6,2,"both",0.002818,0.2444
6,3,"both",0.000661,0.4696
6,4,"both",0.001656,0.3484
6,5,"both",0.001502,0.3402
6,6,"both",0.00114,0.3183
8,1,"abundance",0.001603,0.2668
8,2,"abundance",0.003403,0.2392
8,3,"abundance",0.000428,0.5232
8,4,"abundance",0.001925,0.3175
8,5,"abundance",0.00055,0.3373
8,6,"abundance",0.001389,0.3187
8,7,"abundance",0.00263,0.3285
8,8,"abundance",0.001059,0.266
8,1,"prevalence",0.001603,0.2668
8,2,"prevalence",0.003403,0.2392
8,3,"prevalence",0.000428,0.5232
8,4,"prevalence",0.001925,0.3175
8,5,"prevalence",0.00055,0.3373
8,6,"prevalence",0.001389,0.3187
8,7,"prevalence",0.00263,0.3285
8,8,"prevalence",0.001059,0.266
8,1,"both",0.001603,0.2668
8,2,"both",0.003403,0.2392
8,3,"both",0.000428,0.5232
8,4,"both",0.001925,0.3175
8,5,"both",0.00055,0.3373
8,6,"both",0.001389,0.3187
8,7,"both",0.00263,0.3285
8,8,"both",0.001059,0.266
