"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","n_otu","avg_silhouette","mean_relative_abundance","mean_prevalence","within_cop_n_pair","within_cop_mean","within_cop_sd","within_cop_min","within_cop_q1","within_cop_median","within_cop_q3","within_cop_max","within_cop_iqr","lower_whisker","upper_whisker","n_outlier","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
2,1,1,"abundance",0,"type1_error",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.06,0.07,0.03,0.08,0.03,0.1,0.05,0.01,0.04,0.02,0.07
2,1,1,"abundance",0.05,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.04,0.05,0.04,0.05,0.01,0.04,0.01,0,0.02,0.02,0.04
2,1,1,"abundance",0.1,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.08,0.11,0.03,0.11,0.06,0.09,0.06,0.09,0.06,0.08,0.1
2,1,1,"abundance",0.15,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.04,0.12,0.03,0.14,0.11,0.03,0.05,0.05,0.06,0.04,0.1
2,1,1,"abundance",0.2,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.02,0.17,0.03,0.19,0.21,0.07,0.14,0.08,0.11,0.05,0.19
2,1,1,"abundance",0.25,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.04,0.22,0,0.27,0.25,0.07,0.09,0.08,0.08,0.05,0.28
2,1,1,"abundance",0.3,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.02,0.41,0.08,0.44,0.4,0.08,0.19,0.11,0.19,0.03,0.43
2,1,1,"abundance",0.35,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.03,0.44,0.05,0.47,0.42,0.03,0.22,0.13,0.21,0.04,0.51
2,1,1,"abundance",0.4,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.02,0.6,0.04,0.59,0.62,0.12,0.31,0.15,0.31,0.06,0.65
2,1,1,"abundance",0.45,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.06,0.65,0.05,0.67,0.75,0.13,0.38,0.23,0.36,0.05,0.74
2,1,1,"abundance",0.5,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.12,0.78,0.01,0.79,0.86,0.19,0.53,0.25,0.51,0.09,0.88
2,1,1,"abundance",0.55,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.03,0.83,0.04,0.84,0.91,0.12,0.58,0.23,0.56,0.03,0.88
2,1,1,"abundance",0.6,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.06,0.98,0.06,0.98,0.98,0.19,0.7,0.34,0.67,0.07,0.98
2,1,1,"both",0,"type1_error",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.08,0.06,0.04,0.06,0.06,0.08,0.02,0.06,0.01,0.08,0.05
2,1,1,"both",0.05,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.03,0.04,0.11,0.04,0.03,0.03,0.09,0.03,0.07,0.02,0.03
2,1,1,"both",0.1,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.06,0.08,0.2,0.07,0.08,0.07,0.03,0.07,0.03,0.05,0.07
2,1,1,"both",0.15,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.15,0.16,0.24,0.15,0.19,0.09,0.09,0.06,0.09,0.06,0.17
2,1,1,"both",0.2,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.24,0.19,0.52,0.22,0.28,0.14,0.12,0.05,0.14,0.16,0.22
2,1,1,"both",0.25,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.4,0.31,0.65,0.32,0.38,0.27,0.17,0.12,0.16,0.35,0.32
2,1,1,"both",0.3,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.72,0.44,0.76,0.48,0.69,0.53,0.22,0.1,0.21,0.49,0.53
2,1,1,"both",0.35,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.89,0.67,0.91,0.65,0.83,0.59,0.3,0.17,0.28,0.77,0.73
2,1,1,"both",0.4,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.96,0.74,0.98,0.75,0.93,0.79,0.44,0.17,0.42,0.83,0.8
