"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
2,1,1,"abundance",0.05,"power",0.04,0.05,0.04,0.05,0.01,0.04,0.01,0,0.02,0.02,0.04
2,1,1,"abundance",0.1,"power",0.08,0.11,0.03,0.11,0.06,0.09,0.06,0.09,0.06,0.08,0.1
2,1,1,"abundance",0.15,"power",0.04,0.12,0.03,0.14,0.11,0.03,0.05,0.05,0.06,0.04,0.1
2,1,1,"abundance",0.2,"power",0.02,0.17,0.03,0.19,0.21,0.07,0.14,0.08,0.11,0.05,0.19
2,1,1,"abundance",0.25,"power",0.04,0.22,0,0.27,0.25,0.07,0.09,0.08,0.08,0.05,0.28
2,1,1,"abundance",0.3,"power",0.02,0.41,0.08,0.44,0.4,0.08,0.19,0.11,0.19,0.03,0.43
2,1,1,"abundance",0.35,"power",0.03,0.44,0.05,0.47,0.42,0.03,0.22,0.13,0.21,0.04,0.51
2,1,1,"abundance",0.4,"power",0.02,0.6,0.04,0.59,0.62,0.12,0.31,0.15,0.31,0.06,0.65
2,1,1,"abundance",0.45,"power",0.06,0.65,0.05,0.67,0.75,0.13,0.38,0.23,0.36,0.05,0.74
2,1,1,"abundance",0.5,"power",0.12,0.78,0.01,0.79,0.86,0.19,0.53,0.25,0.51,0.09,0.88
2,1,1,"abundance",0.55,"power",0.03,0.83,0.04,0.84,0.91,0.12,0.58,0.23,0.56,0.03,0.88
2,1,1,"abundance",0.6,"power",0.06,0.98,0.06,0.98,0.98,0.19,0.7,0.34,0.67,0.07,0.98
2,1,1,"both",0.05,"power",0.03,0.04,0.11,0.04,0.03,0.03,0.09,0.03,0.07,0.02,0.03
2,1,1,"both",0.1,"power",0.06,0.08,0.2,0.07,0.08,0.07,0.03,0.07,0.03,0.05,0.07
2,1,1,"both",0.15,"power",0.15,0.16,0.24,0.15,0.19,0.09,0.09,0.06,0.09,0.06,0.17
2,1,1,"both",0.2,"power",0.24,0.19,0.52,0.22,0.28,0.14,0.12,0.05,0.14,0.16,0.22
2,1,1,"both",0.25,"power",0.4,0.31,0.65,0.32,0.38,0.27,0.17,0.12,0.16,0.35,0.32
2,1,1,"both",0.3,"power",0.72,0.44,0.76,0.48,0.69,0.53,0.22,0.1,0.21,0.49,0.53
2,1,1,"both",0.35,"power",0.89,0.67,0.91,0.65,0.83,0.59,0.3,0.17,0.28,0.77,0.73
2,1,1,"both",0.4,"power",0.96,0.74,0.98,0.75,0.93,0.79,0.44,0.17,0.42,0.83,0.8
2,1,1,"both",0.45,"power",1,0.85,0.98,0.86,0.99,0.93,0.59,0.22,0.59,0.98,0.91
2,1,1,"both",0.5,"power",1,0.93,1,0.93,1,0.99,0.8,0.35,0.76,1,0.99
2,1,1,"both",0.55,"power",1,0.96,1,0.95,1,1,0.8,0.37,0.78,1,1
2,1,1,"both",0.6,"power",1,0.97,1,0.98,1,1,0.96,0.37,0.95,1,0.98
2,1,1,"prevalence",0.05,"power",0.09,0.06,0.05,0.05,0.07,0.04,0.05,0.03,0.03,0.06,0.05
2,1,1,"prevalence",0.1,"power",0.13,0.02,0.2,0.05,0.04,0.11,0.04,0.04,0.05,0.08,0.03
2,1,1,"prevalence",0.15,"power",0.17,0.06,0.32,0.06,0.05,0.1,0.1,0.04,0.09,0.11,0.05
2,1,1,"prevalence",0.2,"power",0.25,0.01,0.48,0.03,0.05,0.1,0.05,0.03,0.06,0.14,0.05
2,1,1,"prevalence",0.25,"power",0.45,0.06,0.66,0.06,0.11,0.19,0.06,0.06,0.06,0.37,0.07
2,1,1,"prevalence",0.3,"power",0.64,0.08,0.78,0.08,0.13,0.32,0.07,0.02,0.07,0.53,0.09
2,1,1,"prevalence",0.35,"power",0.91,0.11,0.95,0.12,0.14,0.32,0.09,0.04,0.07,0.8,0.11
2,1,1,"prevalence",0.4,"power",0.99,0.08,0.96,0.05,0.21,0.52,0.06,0.05,0.05,0.95,0.07
2,1,1,"prevalence",0.45,"power",1,0.08,0.99,0.08,0.29,0.76,0.12,0.03,0.12,1,0.11
2,1,1,"prevalence",0.5,"power",1,0.1,1,0.1,0.38,0.84,0.12,0.09,0.11,1,0.14
2,1,1,"prevalence",0.55,"power",1,0.14,1,0.11,0.54,0.92,0.11,0.07,0.11,1,0.15
2,1,1,"prevalence",0.6,"power",1,0.17,0.99,0.14,0.64,0.98,0.15,0.07,0.16,1,0.21
2,2,2,"abundance",0.05,"power",0.03,0.08,0.05,0.06,0.06,0.05,0.07,0.09,0.07,0.02,0.06
2,2,2,"abundance",0.1,"power",0.07,0.09,0.05,0.07,0.08,0.03,0.07,0.05,0.08,0.06,0.12
2,2,2,"abundance",0.15,"power",0.01,0.1,0.04,0.1,0.08,0.03,0.07,0.11,0.06,0.05,0.1
2,2,2,"abundance",0.2,"power",0.03,0.13,0.05,0.16,0.08,0.04,0.04,0.05,0.04,0.02,0.15
2,2,2,"abundance",0.25,"power",0.07,0.24,0.04,0.27,0.25,0.09,0.12,0.08,0.1,0.09,0.26
2,2,2,"abundance",0.3,"power",0.05,0.34,0.05,0.36,0.32,0.09,0.17,0.09,0.15,0.06,0.34
2,2,2,"abundance",0.35,"power",0.05,0.47,0.05,0.49,0.54,0.04,0.24,0.19,0.23,0.02,0.55
2,2,2,"abundance",0.4,"power",0.03,0.52,0.02,0.53,0.6,0.07,0.23,0.11,0.23,0.06,0.57
2,2,2,"abundance",0.45,"power",0.03,0.63,0.08,0.63,0.79,0.16,0.37,0.15,0.37,0.03,0.74
2,2,2,"abundance",0.5,"power",0.04,0.77,0,0.81,0.81,0.08,0.41,0.17,0.4,0.02,0.83
2,2,2,"abundance",0.55,"power",0.06,0.87,0.04,0.9,0.95,0.12,0.58,0.23,0.57,0.05,0.93
2,2,2,"abundance",0.6,"power",0.08,0.89,0.05,0.94,0.99,0.18,0.66,0.29,0.64,0.07,0.95
2,2,2,"both",0.05,"power",0.06,0.02,0.1,0.02,0.04,0.04,0.06,0.05,0.08,0.08,0.02
2,2,2,"both",0.1,"power",0.06,0.09,0.21,0.12,0.07,0.08,0.09,0.02,0.08,0.06,0.07
2,2,2,"both",0.15,"power",0.19,0.16,0.36,0.23,0.21,0.15,0.12,0.09,0.12,0.17,0.21
2,2,2,"both",0.2,"power",0.25,0.23,0.57,0.24,0.35,0.2,0.19,0.04,0.16,0.18,0.28
2,2,2,"both",0.25,"power",0.46,0.35,0.84,0.39,0.57,0.32,0.21,0.13,0.2,0.36,0.44
2,2,2,"both",0.3,"power",0.74,0.61,0.92,0.65,0.83,0.52,0.32,0.12,0.3,0.65,0.7
2,2,2,"both",0.35,"power",0.93,0.62,0.96,0.64,0.89,0.73,0.26,0.12,0.27,0.82,0.75
2,2,2,"both",0.4,"power",0.99,0.79,1,0.77,0.98,0.9,0.56,0.14,0.56,0.97,0.9
2,2,2,"both",0.45,"power",1,0.89,1,0.88,1,0.99,0.8,0.22,0.8,0.99,0.96
2,2,2,"both",0.5,"power",1,0.93,1,0.94,1,0.99,0.87,0.33,0.85,1,0.98
2,2,2,"both",0.55,"power",1,0.95,1,0.96,1,1,0.91,0.33,0.9,1,1
2,2,2,"both",0.6,"power",1,0.99,1,0.99,1,1,0.99,0.42,0.99,1,1
2,2,2,"prevalence",0.05,"power",0.1,0.07,0.08,0.06,0.05,0.07,0.05,0.07,0.05,0.05,0.07
2,2,2,"prevalence",0.1,"power",0.09,0.01,0.19,0.03,0.05,0.05,0.06,0.08,0.03,0.09,0.04
2,2,2,"prevalence",0.15,"power",0.19,0.05,0.39,0.02,0.05,0.17,0.04,0.05,0.04,0.21,0.05
2,2,2,"prevalence",0.2,"power",0.38,0.16,0.5,0.11,0.09,0.15,0.07,0.08,0.07,0.31,0.09
2,2,2,"prevalence",0.25,"power",0.64,0.1,0.84,0.09,0.16,0.16,0.09,0.09,0.09,0.54,0.11
2,2,2,"prevalence",0.3,"power",0.69,0.06,0.93,0.08,0.15,0.24,0.03,0.07,0.03,0.56,0.09
2,2,2,"prevalence",0.35,"power",0.9,0.08,0.98,0.06,0.17,0.43,0.07,0.05,0.09,0.83,0.08
2,2,2,"prevalence",0.4,"power",1,0.02,1,0.03,0.37,0.55,0.11,0.04,0.11,0.91,0.09
2,2,2,"prevalence",0.45,"power",1,0.09,1,0.12,0.5,0.67,0.12,0.05,0.13,0.99,0.15
2,2,2,"prevalence",0.5,"power",1,0.04,1,0.05,0.48,0.82,0.11,0.02,0.1,0.99,0.09
2,2,2,"prevalence",0.55,"power",1,0.12,1,0.09,0.73,0.94,0.18,0.08,0.18,1,0.19
2,2,2,"prevalence",0.6,"power",1,0.12,1,0.13,0.81,0.98,0.12,0.06,0.13,1,0.17
4,1,2,"abundance",0.05,"power",0.05,0.08,0.06,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.07
4,1,2,"abundance",0.1,"power",0.04,0.07,0.03,0.09,0.07,0.07,0.09,0.05,0.09,0.06,0.06
4,1,2,"abundance",0.15,"power",0.04,0.06,0.09,0.07,0.12,0.05,0.05,0.05,0.07,0.06,0.11
4,1,2,"abundance",0.2,"power",0.03,0.09,0.04,0.1,0.17,0.05,0.11,0.08,0.09,0.03,0.15
4,1,2,"abundance",0.25,"power",0.04,0.09,0.05,0.09,0.15,0.03,0.15,0.07,0.17,0.05,0.14
4,1,2,"abundance",0.3,"power",0.02,0.19,0.04,0.21,0.22,0.08,0.19,0.12,0.18,0.06,0.24
4,1,2,"abundance",0.35,"power",0.06,0.29,0.04,0.3,0.41,0.07,0.31,0.15,0.29,0.04,0.4
4,1,2,"abundance",0.4,"power",0.04,0.29,0.1,0.31,0.43,0.07,0.22,0.13,0.21,0.06,0.4
4,1,2,"abundance",0.45,"power",0.08,0.4,0.06,0.34,0.52,0.11,0.33,0.13,0.31,0.05,0.48
4,1,2,"abundance",0.5,"power",0.05,0.48,0.03,0.45,0.68,0.04,0.5,0.2,0.46,0.01,0.64
4,1,2,"abundance",0.55,"power",0.06,0.49,0.06,0.44,0.78,0.13,0.54,0.25,0.53,0.05,0.68
4,1,2,"abundance",0.6,"power",0.05,0.6,0.06,0.53,0.87,0.1,0.64,0.27,0.61,0.05,0.81
4,1,2,"both",0.05,"power",0.04,0.08,0.04,0.1,0.1,0.08,0.05,0.05,0.05,0.07,0.1
4,1,2,"both",0.1,"power",0.1,0.05,0.08,0.05,0.12,0.09,0.04,0.04,0.04,0.09,0.07
4,1,2,"both",0.15,"power",0.09,0.09,0.07,0.07,0.06,0.09,0.07,0.06,0.08,0.08,0.07
4,1,2,"both",0.2,"power",0.13,0.14,0.09,0.1,0.18,0.14,0.13,0.06,0.14,0.12,0.18
4,1,2,"both",0.25,"power",0.19,0.18,0.11,0.16,0.23,0.18,0.09,0.08,0.1,0.14,0.22
4,1,2,"both",0.3,"power",0.24,0.19,0.24,0.22,0.48,0.32,0.15,0.1,0.14,0.21,0.32
4,1,2,"both",0.35,"power",0.43,0.29,0.33,0.28,0.6,0.4,0.3,0.17,0.32,0.32,0.4
4,1,2,"both",0.4,"power",0.59,0.38,0.36,0.35,0.79,0.64,0.41,0.13,0.38,0.53,0.6
4,1,2,"both",0.45,"power",0.76,0.58,0.44,0.56,0.93,0.76,0.59,0.2,0.56,0.62,0.76
4,1,2,"both",0.5,"power",0.92,0.63,0.59,0.6,0.98,0.89,0.72,0.35,0.74,0.88,0.88
4,1,2,"both",0.55,"power",0.95,0.71,0.59,0.74,1,0.97,0.76,0.41,0.76,0.89,0.95
4,1,2,"both",0.6,"power",1,0.8,0.73,0.75,0.99,0.99,0.86,0.33,0.86,0.99,0.97
4,1,2,"prevalence",0.05,"power",0.06,0.03,0.09,0.04,0.05,0.06,0.04,0.04,0.04,0.03,0.05
4,1,2,"prevalence",0.1,"power",0.02,0.06,0.08,0.06,0.06,0.08,0.07,0.07,0.07,0.05,0.05
