"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
2,1,1,"abundance",0,"type1_error",0.06,0.07,0.03,0.08,0.03,0.1,0.05,0.01,0.04,0.02,0.07
2,1,1,"both",0,"type1_error",0.08,0.06,0.04,0.06,0.06,0.08,0.02,0.06,0.01,0.08,0.05
2,1,1,"prevalence",0,"type1_error",0.04,0.02,0.08,0.01,0.03,0.04,0.02,0.03,0.01,0.02,0.03
2,2,2,"abundance",0,"type1_error",0.06,0.05,0.03,0.08,0.04,0.03,0.07,0.05,0.06,0.05,0.04
2,2,2,"both",0,"type1_error",0.05,0.04,0.04,0.07,0.03,0.03,0.02,0.06,0.02,0.05,0.02
2,2,2,"prevalence",0,"type1_error",0.06,0.08,0.06,0.1,0.08,0.09,0.08,0.09,0.04,0.09,0.1
4,1,2,"abundance",0,"type1_error",0.01,0.06,0.03,0.05,0.08,0.05,0.08,0.07,0.08,0.04,0.08
4,1,2,"both",0,"type1_error",0.06,0.03,0.03,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.04
4,1,2,"prevalence",0,"type1_error",0.06,0.01,0.06,0.03,0.03,0.05,0.03,0.03,0.03,0.02,0.01
4,2,1,"abundance",0,"type1_error",0.05,0.05,0.07,0.03,0.07,0.02,0.07,0.08,0.06,0.05,0.05
4,2,1,"both",0,"type1_error",0.04,0.06,0.04,0.04,0.1,0.04,0.07,0.1,0.08,0.04,0.06
4,2,1,"prevalence",0,"type1_error",0.05,0.02,0.08,0.03,0.04,0.03,0.02,0.02,0.02,0.08,0.01
4,3,4,"abundance",0,"type1_error",0.03,0.02,0.02,0.02,0.04,0.01,0.04,0.04,0.04,0.04,0.01
4,3,4,"both",0,"type1_error",0.04,0.02,0.07,0.03,0.06,0.03,0.05,0.05,0.03,0.05,0.05
4,3,4,"prevalence",0,"type1_error",0.06,0.08,0.06,0.04,0.05,0.05,0.06,0.06,0.07,0.05,0.06
4,4,3,"abundance",0,"type1_error",0.01,0.08,0.03,0.07,0.04,0.08,0.04,0.08,0.05,0.05,0.04
4,4,3,"both",0,"type1_error",0.07,0.02,0.06,0.02,0.02,0.04,0.02,0.03,0.01,0.04,0.02
4,4,3,"prevalence",0,"type1_error",0.04,0.05,0.03,0.06,0.05,0.04,0.03,0.04,0.03,0.03,0.05
6,1,2,"abundance",0,"type1_error",0.04,0.09,0.07,0.1,0.08,0.04,0.08,0.07,0.08,0.04,0.07
6,1,2,"both",0,"type1_error",0.05,0.03,0.03,0.02,0.01,0.05,0.02,0.04,0.01,0.03,0.02
6,1,2,"prevalence",0,"type1_error",0.03,0.08,0.03,0.08,0.05,0.05,0.03,0.03,0.02,0.02,0.04
6,2,1,"abundance",0,"type1_error",0.04,0.04,0.06,0.01,0.05,0.04,0.01,0.02,0.02,0.07,0.03
6,2,1,"both",0,"type1_error",0.05,0.06,0.05,0.08,0.04,0.08,0.03,0.03,0.04,0.04,0.05
6,2,1,"prevalence",0,"type1_error",0.04,0.09,0.02,0.09,0.08,0.03,0.09,0.07,0.1,0.04,0.1
6,3,6,"abundance",0,"type1_error",0.03,0.06,0.07,0.04,0.04,0.08,0.07,0.09,0.07,0.01,0.04
6,3,6,"both",0,"type1_error",0.01,0.04,0.03,0.04,0.02,0.03,0.04,0.05,0.04,0.02,0.04
6,3,6,"prevalence",0,"type1_error",0.06,0.08,0.05,0.1,0.09,0.06,0.09,0.04,0.09,0.06,0.07
6,4,3,"abundance",0,"type1_error",0.03,0.05,0.05,0.03,0.03,0.05,0.04,0.03,0.05,0.04,0.02
6,4,3,"both",0,"type1_error",0.05,0.05,0.06,0.09,0.02,0.02,0.04,0.02,0.05,0.05,0.04
6,4,3,"prevalence",0,"type1_error",0.03,0.07,0.04,0.08,0.05,0.01,0.06,0.02,0.05,0.03,0.07
6,5,4,"abundance",0,"type1_error",0.03,0.04,0.09,0.04,0.07,0.01,0.06,0.06,0.05,0.03,0.05
6,5,4,"both",0,"type1_error",0.03,0.04,0.04,0.07,0.06,0.03,0.05,0.04,0.05,0.03,0.06
6,5,4,"prevalence",0,"type1_error",0.04,0.01,0.05,0.02,0.05,0.05,0.09,0.04,0.09,0.04,0.06
6,6,5,"abundance",0,"type1_error",0.05,0.05,0.07,0.04,0.11,0.06,0.06,0.06,0.07,0.05,0.08
6,6,5,"both",0,"type1_error",0.04,0.04,0.05,0.04,0.03,0.04,0.06,0.07,0.07,0.06,0.02
6,6,5,"prevalence",0,"type1_error",0.05,0.05,0.06,0.06,0.03,0.03,0.08,0.05,0.08,0.01,0.06
8,1,4,"abundance",0,"type1_error",0.03,0.03,0.05,0.04,0.04,0.03,0.04,0.02,0.04,0.04,0.03
8,1,4,"both",0,"type1_error",0.06,0.08,0.06,0.09,0.05,0.07,0.07,0.07,0.05,0.07,0.06
8,1,4,"prevalence",0,"type1_error",0.02,0.1,0.05,0.1,0.04,0.01,0.07,0.09,0.06,0.02,0.07
8,2,1,"abundance",0,"type1_error",0.03,0.03,0.07,0.03,0.03,0.01,0.05,0.04,0.06,0.05,0.04
8,2,1,"both",0,"type1_error",0.04,0.06,0.04,0.06,0.03,0.06,0.04,0.05,0.04,0.04,0.04
8,2,1,"prevalence",0,"type1_error",0.03,0.04,0.04,0.05,0.04,0.03,0.03,0.04,0.04,0.06,0.04
8,3,8,"abundance",0,"type1_error",0.07,0.04,0.06,0.02,0.03,0.07,0.03,0.03,0.04,0.06,0.04
8,3,8,"both",0,"type1_error",0.04,0.05,0.04,0.02,0.05,0.02,0.07,0.07,0.09,0.06,0.04
8,3,8,"prevalence",0,"type1_error",0.04,0.03,0.04,0.05,0.08,0.07,0.05,0.05,0.05,0.01,0.05
8,4,3,"abundance",0,"type1_error",0.05,0.03,0.03,0.04,0.02,0.06,0.06,0.08,0.06,0.02,0.03
8,4,3,"both",0,"type1_error",0.03,0.09,0.03,0.07,0.05,0.03,0.04,0.05,0.04,0.05,0.07
8,4,3,"prevalence",0,"type1_error",0.03,0.08,0.07,0.07,0.05,0.09,0.02,0.03,0.03,0.03,0.07
8,5,7,"abundance",0,"type1_error",0.02,0.04,0.08,0.04,0.04,0.04,0.03,0.02,0.03,0.05,0.03
8,5,7,"both",0,"type1_error",0.05,0.09,0.04,0.07,0.05,0.06,0.06,0.05,0.05,0.04,0.06
8,5,7,"prevalence",0,"type1_error",0.03,0.02,0.05,0.02,0.05,0.05,0.05,0.01,0.06,0.05,0.03
8,6,5,"abundance",0,"type1_error",0.03,0.02,0.05,0.02,0.04,0.06,0.06,0.06,0.05,0.03,0.03
8,6,5,"both",0,"type1_error",0.02,0.03,0.05,0.01,0.06,0.01,0.05,0.07,0.05,0.06,0.03
8,6,5,"prevalence",0,"type1_error",0.03,0.03,0.04,0.04,0.05,0.04,0.04,0.02,0.05,0.03,0.04
8,7,2,"abundance",0,"type1_error",0.05,0.09,0.05,0.09,0.08,0.06,0.08,0.06,0.08,0.04,0.09
