"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","method","power","n_nonmissing"
2,"abundance",0.05,1,308,"GLaD_0.5_unweighted",0.04,100
2,"abundance",0.05,1,308,"GLaD_0.5_weighted",0.05,100
2,"abundance",0.05,1,308,"GLaD_1_unweighted",0.04,100
2,"abundance",0.05,1,308,"GLaD_1_weighted",0.05,100
2,"abundance",0.05,1,308,"GUniFrac",0.01,100
2,"abundance",0.05,1,308,"aitchison",0.05,100
2,"abundance",0.05,1,308,"bray",0.02,100
2,"abundance",0.05,1,308,"euclidean",0,100
2,"abundance",0.05,1,308,"jaccard",0.02,100
2,"abundance",0.05,1,308,"unifrac_unweighted",0.02,100
2,"abundance",0.05,1,308,"unifrac_weighted_phyloseq",0.04,100
2,"abundance",0.1,1,308,"GLaD_0.5_unweighted",0.08,100
2,"abundance",0.1,1,308,"GLaD_0.5_weighted",0.11,100
2,"abundance",0.1,1,308,"GLaD_1_unweighted",0.03,100
2,"abundance",0.1,1,308,"GLaD_1_weighted",0.11,100
2,"abundance",0.1,1,308,"GUniFrac",0.07,100
2,"abundance",0.1,1,308,"aitchison",0.07,100
2,"abundance",0.1,1,308,"bray",0.06,100
2,"abundance",0.1,1,308,"euclidean",0.1,100
2,"abundance",0.1,1,308,"jaccard",0.06,100
2,"abundance",0.1,1,308,"unifrac_unweighted",0.06,100
2,"abundance",0.1,1,308,"unifrac_weighted_phyloseq",0.09,100
2,"abundance",0.15,1,308,"GLaD_0.5_unweighted",0.04,100
2,"abundance",0.15,1,308,"GLaD_0.5_weighted",0.12,100
2,"abundance",0.15,1,308,"GLaD_1_unweighted",0.03,100
2,"abundance",0.15,1,308,"GLaD_1_weighted",0.14,100
2,"abundance",0.15,1,308,"GUniFrac",0.1,100
2,"abundance",0.15,1,308,"aitchison",0.04,100
2,"abundance",0.15,1,308,"bray",0.06,100
2,"abundance",0.15,1,308,"euclidean",0.04,100
2,"abundance",0.15,1,308,"jaccard",0.07,100
2,"abundance",0.15,1,308,"unifrac_unweighted",0.04,100
2,"abundance",0.15,1,308,"unifrac_weighted_phyloseq",0.09,100
2,"abundance",0.2,1,308,"GLaD_0.5_unweighted",0.02,100
2,"abundance",0.2,1,308,"GLaD_0.5_weighted",0.17,100
2,"abundance",0.2,1,308,"GLaD_1_unweighted",0.03,100
2,"abundance",0.2,1,308,"GLaD_1_weighted",0.19,100
