"k","signal_mode","method","beta","power_smooth"
2,"abundance","GLaD_0.5_unweighted",0.05,0.057044345854705
2,"abundance","GLaD_0.5_unweighted",0.0547738693467337,0.0560115539697343
2,"abundance","GLaD_0.5_unweighted",0.0595477386934673,0.055002727928287
2,"abundance","GLaD_0.5_unweighted",0.064321608040201,0.0540180405216317
2,"abundance","GLaD_0.5_unweighted",0.0690954773869347,0.0530576549938619
2,"abundance","GLaD_0.5_unweighted",0.0738693467336684,0.0521217246660979
2,"abundance","GLaD_0.5_unweighted",0.078643216080402,0.0512103925521784
2,"abundance","GLaD_0.5_unweighted",0.0834170854271357,0.0503237909650652
2,"abundance","GLaD_0.5_unweighted",0.0881909547738693,0.049462041113053
2,"abundance","GLaD_0.5_unweighted",0.092964824120603,0.0486252526847028
2,"abundance","GLaD_0.5_unweighted",0.0977386934673367,0.0478135234212355
2,"abundance","GLaD_0.5_unweighted",0.10251256281407,0.0470269355437969
2,"abundance","GLaD_0.5_unweighted",0.107286432160804,0.0462654952447757
2,"abundance","GLaD_0.5_unweighted",0.112060301507538,0.0455291392124731
2,"abundance","GLaD_0.5_unweighted",0.116834170854271,0.0448177928256121
2,"abundance","GLaD_0.5_unweighted",0.121608040201005,0.0441313722845315
2,"abundance","GLaD_0.5_unweighted",0.126381909547739,0.0434697844341488
2,"abundance","GLaD_0.5_unweighted",0.131155778894472,0.0428329265808153
2,"abundance","GLaD_0.5_unweighted",0.135929648241206,0.0422206863037362
2,"abundance","GLaD_0.5_unweighted",0.14070351758794,0.041632941261881
2,"abundance","GLaD_0.5_unweighted",0.145477386934673,0.041069558997611
2,"abundance","GLaD_0.5_unweighted",0.150251256281407,0.0405303967386676
2,"abundance","GLaD_0.5_unweighted",0.155025125628141,0.0400153015581958
2,"abundance","GLaD_0.5_unweighted",0.159798994974874,0.0395241111423738
2,"abundance","GLaD_0.5_unweighted",0.164572864321608,0.0390566528084418
2,"abundance","GLaD_0.5_unweighted",0.169346733668342,0.038612743112591
2,"abundance","GLaD_0.5_unweighted",0.174120603015075,0.0381921877142045
2,"abundance","GLaD_0.5_unweighted",0.178894472361809,0.0377947812583052
2,"abundance","GLaD_0.5_unweighted",0.183668341708543,0.0374203072821797
2,"abundance","GLaD_0.5_unweighted",0.188442211055276,0.037068538153451
2,"abundance","GLaD_0.5_unweighted",0.19321608040201,0.0367392350484407
2,"abundance","GLaD_0.5_unweighted",0.197989949748744,0.0364321479815601
2,"abundance","GLaD_0.5_unweighted",0.202763819095477,0.0361470179469583
2,"abundance","GLaD_0.5_unweighted",0.207537688442211,0.0358836096297788
2,"abundance","GLaD_0.5_unweighted",0.212311557788945,0.0356417100928956
2,"abundance","GLaD_0.5_unweighted",0.217085427135678,0.0354211046854077
2,"abundance","GLaD_0.5_unweighted",0.221859296482412,0.035221577029299
2,"abundance","GLaD_0.5_unweighted",0.226633165829146,0.0350429099369533
2,"abundance","GLaD_0.5_unweighted",0.231407035175879,0.0348848865254521
2,"abundance","GLaD_0.5_unweighted",0.236180904522613,0.0347472915645269
2,"abundance","GLaD_0.5_unweighted",0.240954773869347,0.0346299131025393
2,"abundance","GLaD_0.5_unweighted",0.24572864321608,0.0345325444241447
2,"abundance","GLaD_0.5_unweighted",0.250502512562814,0.0344549863988299
2,"abundance","GLaD_0.5_unweighted",0.255276381909548,0.0343970432541938
2,"abundance","GLaD_0.5_unweighted",0.260050251256281,0.034358511322507
2,"abundance","GLaD_0.5_unweighted",0.264824120603015,0.0343391985765431
2,"abundance","GLaD_0.5_unweighted",0.269597989949749,0.0343389332251386
2,"abundance","GLaD_0.5_unweighted",0.274371859296482,0.0343575697408311
2,"abundance","GLaD_0.5_unweighted",0.279145728643216,0.0343949961488714
2,"abundance","GLaD_0.5_unweighted",0.28391959798995,0.0344511428724355
2,"abundance","GLaD_0.5_unweighted",0.288693467336683,0.0345259935080028
2,"abundance","GLaD_0.5_unweighted",0.293467336683417,0.0346195980071982
2,"abundance","GLaD_0.5_unweighted",0.298241206030151,0.0347320888736938
2,"abundance","GLaD_0.5_unweighted",0.303015075376884,0.0348637063810747
2,"abundance","GLaD_0.5_unweighted",0.307788944723618,0.0350148908461338
2,"abundance","GLaD_0.5_unweighted",0.312562814070352,0.0351863057486189
2,"abundance","GLaD_0.5_unweighted",0.317336683417085,0.0353788338957189
2,"abundance","GLaD_0.5_unweighted",0.322110552763819,0.0355936267725786
2,"abundance","GLaD_0.5_unweighted",0.326884422110553,0.0358321672972467
2,"abundance","GLaD_0.5_unweighted",0.331658291457286,0.0360963477885805
2,"abundance","GLaD_0.5_unweighted",0.33643216080402,0.0363885660216977
2,"abundance","GLaD_0.5_unweighted",0.341206030150754,0.0367118415752633
2,"abundance","GLaD_0.5_unweighted",0.345979899497487,0.0370699523475793
2,"abundance","GLaD_0.5_unweighted",0.350753768844221,0.0374675854279556
2,"abundance","GLaD_0.5_unweighted",0.355527638190955,0.037910509178715
2,"abundance","GLaD_0.5_unweighted",0.360301507537688,0.0384057237082427
2,"abundance","GLaD_0.5_unweighted",0.365075376884422,0.0389613939681762
2,"abundance","GLaD_0.5_unweighted",0.369849246231156,0.0395865259416498
2,"abundance","GLaD_0.5_unweighted",0.374623115577889,0.0402901058889539
2,"abundance","GLaD_0.5_unweighted",0.379396984924623,0.0410793658759308
2,"abundance","GLaD_0.5_unweighted",0.384170854271357,0.0419569636724165
2,"abundance","GLaD_0.5_unweighted",0.38894472361809,0.0429175365865583
2,"abundance","GLaD_0.5_unweighted",0.393718592964824,0.0439458145163955
2,"abundance","GLaD_0.5_unweighted",0.398492462311558,0.0450213587727109
2,"abundance","GLaD_0.5_unweighted",0.403266331658291,0.0458464338866637
2,"abundance","GLaD_0.5_unweighted",0.408040201005025,0.0464326310936641
2,"abundance","GLaD_0.5_unweighted",0.412814070351759,0.0468793500403772
2,"abundance","GLaD_0.5_unweighted",0.417587939698492,0.0472034313455655
2,"abundance","GLaD_0.5_unweighted",0.422361809045226,0.047434866371058
2,"abundance","GLaD_0.5_unweighted",0.42713567839196,0.0479537536752465
2,"abundance","GLaD_0.5_unweighted",0.431909547738693,0.0488945456882214
2,"abundance","GLaD_0.5_unweighted",0.436683417085427,0.0498194046856506
2,"abundance","GLaD_0.5_unweighted",0.441457286432161,0.0506997025671761
2,"abundance","GLaD_0.5_unweighted",0.446231155778894,0.0515177205033157
2,"abundance","GLaD_0.5_unweighted",0.451005025125628,0.0521254502709049
2,"abundance","GLaD_0.5_unweighted",0.455778894472362,0.0521081656581922
2,"abundance","GLaD_0.5_unweighted",0.460552763819095,0.0521456291356898
2,"abundance","GLaD_0.5_unweighted",0.465326633165829,0.0522706201701429
2,"abundance","GLaD_0.5_unweighted",0.470100502512563,0.0524927409260334
2,"abundance","GLaD_0.5_unweighted",0.474874371859296,0.0528060145405581
2,"abundance","GLaD_0.5_unweighted",0.47964824120603,0.0534774231874817
2,"abundance","GLaD_0.5_unweighted",0.484422110552764,0.0541593697866459
2,"abundance","GLaD_0.5_unweighted",0.489195979899497,0.0548318778842034
2,"abundance","GLaD_0.5_unweighted",0.493969849246231,0.0554849308224446
2,"abundance","GLaD_0.5_unweighted",0.498743718592965,0.0561193921283205
2,"abundance","GLaD_0.5_unweighted",0.503517587939698,0.0565735628735909
2,"abundance","GLaD_0.5_unweighted",0.508291457286432,0.0570703868797008
2,"abundance","GLaD_0.5_unweighted",0.513065326633166,0.0576857434584614
2,"abundance","GLaD_0.5_unweighted",0.5178391959799,0.0583938092955627
2,"abundance","GLaD_0.5_unweighted",0.522613065326633,0.0591604834832268
2,"abundance","GLaD_0.5_unweighted",0.527386934673367,0.059889008876283
2,"abundance","GLaD_0.5_unweighted",0.5321608040201,0.0605606552344397
2,"abundance","GLaD_0.5_unweighted",0.536934673366834,0.0612289418457441
2,"abundance","GLaD_0.5_unweighted",0.541708542713568,0.061879081540765
2,"abundance","GLaD_0.5_unweighted",0.546482412060301,0.0624957343411872
2,"abundance","GLaD_0.5_unweighted",0.551256281407035,0.0631301190300429
2,"abundance","GLaD_0.5_unweighted",0.556030150753769,0.0639129593358447
2,"abundance","GLaD_0.5_unweighted",0.560804020100502,0.0646797277443803
2,"abundance","GLaD_0.5_unweighted",0.565577889447236,0.0654099269827263
2,"abundance","GLaD_0.5_unweighted",0.57035175879397,0.0660851331230301
2,"abundance","GLaD_0.5_unweighted",0.575125628140704,0.0666912911257211
2,"abundance","GLaD_0.5_unweighted",0.579899497487437,0.0671463460469548
2,"abundance","GLaD_0.5_unweighted",0.584673366834171,0.0675416792957123
2,"abundance","GLaD_0.5_unweighted",0.589447236180905,0.0678585164185255
2,"abundance","GLaD_0.5_unweighted",0.594221105527638,0.0680826732457384
2,"abundance","GLaD_0.5_unweighted",0.598994974874372,0.0682141519816151
2,"abundance","GLaD_0.5_unweighted",0.603768844221106,0.0685472373847304
2,"abundance","GLaD_0.5_unweighted",0.608542713567839,0.0688593220514782
2,"abundance","GLaD_0.5_unweighted",0.613316582914573,0.0690705742089327
2,"abundance","GLaD_0.5_unweighted",0.618090452261307,0.0691854516607665
2,"abundance","GLaD_0.5_unweighted",0.62286432160804,0.0692144709470156
2,"abundance","GLaD_0.5_unweighted",0.627638190954774,0.0691441372717167
2,"abundance","GLaD_0.5_unweighted",0.632412060301508,0.0689921758359268
2,"abundance","GLaD_0.5_unweighted",0.637185929648241,0.0687793028972275
2,"abundance","GLaD_0.5_unweighted",0.641959798994975,0.0685050229177028
2,"abundance","GLaD_0.5_unweighted",0.646733668341709,0.0681722575934855
2,"abundance","GLaD_0.5_unweighted",0.651507537688442,0.0678429016981087
2,"abundance","GLaD_0.5_unweighted",0.656281407035176,0.0675634207458665
2,"abundance","GLaD_0.5_unweighted",0.66105527638191,0.0671910208665432
2,"abundance","GLaD_0.5_unweighted",0.665829145728643,0.0667351251362055
2,"abundance","GLaD_0.5_unweighted",0.670603015075377,0.0662164357745324
2,"abundance","GLaD_0.5_unweighted",0.67537688442211,0.0656570511405673
2,"abundance","GLaD_0.5_unweighted",0.680150753768844,0.0650755240865985
2,"abundance","GLaD_0.5_unweighted",0.684924623115578,0.0644854945451257
2,"abundance","GLaD_0.5_unweighted",0.689698492462312,0.0638961307963633
2,"abundance","GLaD_0.5_unweighted",0.694472361809045,0.0633131584541027
2,"abundance","GLaD_0.5_unweighted",0.699246231155779,0.0627398803689165
2,"abundance","GLaD_0.5_unweighted",0.704020100502513,0.0621779639440763
2,"abundance","GLaD_0.5_unweighted",0.708793969849246,0.0616279102265568
2,"abundance","GLaD_0.5_unweighted",0.71356783919598,0.0610895377420441
2,"abundance","GLaD_0.5_unweighted",0.718341708542714,0.0605622912871155
2,"abundance","GLaD_0.5_unweighted",0.723115577889447,0.0600454022416637
2,"abundance","GLaD_0.5_unweighted",0.727889447236181,0.0595379884329864
2,"abundance","GLaD_0.5_unweighted",0.732663316582915,0.0590391153684723
2,"abundance","GLaD_0.5_unweighted",0.737437185929648,0.0585478330706207
2,"abundance","GLaD_0.5_unweighted",0.742211055276382,0.0580631976635655
2,"abundance","GLaD_0.5_unweighted",0.746984924623115,0.057584283517661
2,"abundance","GLaD_0.5_unweighted",0.751758793969849,0.0571101853626007
2,"abundance","GLaD_0.5_unweighted",0.756532663316583,0.0566398319350569
2,"abundance","GLaD_0.5_unweighted",0.761306532663317,0.056171941544285
2,"abundance","GLaD_0.5_unweighted",0.76608040201005,0.0557053013158474
2,"abundance","GLaD_0.5_unweighted",0.770854271356784,0.0552387850054042
2,"abundance","GLaD_0.5_unweighted",0.775628140703518,0.0547713486489995
2,"abundance","GLaD_0.5_unweighted",0.780402010050251,0.0543020263351708
2,"abundance","GLaD_0.5_unweighted",0.785175879396985,0.0538299261951078
2,"abundance","GLaD_0.5_unweighted",0.789949748743719,0.0533542266551823
2,"abundance","GLaD_0.5_unweighted",0.794723618090452,0.052874172965177
2,"abundance","GLaD_0.5_unweighted",0.799497487437186,0.0523890739975881
2,"abundance","GLaD_0.5_unweighted",0.80427135678392,0.0518983136840634
2,"abundance","GLaD_0.5_unweighted",0.809045226130653,0.051401408557713
2,"abundance","GLaD_0.5_unweighted",0.813819095477387,0.0508979440498886
2,"abundance","GLaD_0.5_unweighted",0.818592964824121,0.0503875439458288
2,"abundance","GLaD_0.5_unweighted",0.823366834170854,0.0498698687243967
2,"abundance","GLaD_0.5_unweighted",0.828140703517588,0.0493446140391607
2,"abundance","GLaD_0.5_unweighted",0.832914572864322,0.0488115093046028
2,"abundance","GLaD_0.5_unweighted",0.837688442211055,0.0482703163770553
2,"abundance","GLaD_0.5_unweighted",0.842462311557789,0.0477208283213487
2,"abundance","GLaD_0.5_unweighted",0.847236180904523,0.0471628682553018
2,"abundance","GLaD_0.5_unweighted",0.852010050251256,0.0465962895248609
2,"abundance","GLaD_0.5_unweighted",0.85678391959799,0.046021015478409
2,"abundance","GLaD_0.5_unweighted",0.861557788944724,0.0454370419569393
2,"abundance","GLaD_0.5_unweighted",0.866331658291457,0.0448443832497319
2,"abundance","GLaD_0.5_unweighted",0.871105527638191,0.0442430680358325
2,"abundance","GLaD_0.5_unweighted",0.875879396984925,0.043633138740926
2,"abundance","GLaD_0.5_unweighted",0.880653266331658,0.0430146509372786
2,"abundance","GLaD_0.5_unweighted",0.885427135678392,0.0423876727811115
2,"abundance","GLaD_0.5_unweighted",0.890201005025126,0.0417522844827378
2,"abundance","GLaD_0.5_unweighted",0.894974874371859,0.0411085778055746
2,"abundance","GLaD_0.5_unweighted",0.899748743718593,0.0404566555907841
2,"abundance","GLaD_0.5_unweighted",0.904522613065327,0.0397966359439852
2,"abundance","GLaD_0.5_unweighted",0.90929648241206,0.0391286684084295
2,"abundance","GLaD_0.5_unweighted",0.914070351758794,0.0384529172070917
2,"abundance","GLaD_0.5_unweighted",0.918844221105528,0.0377695542963384
2,"abundance","GLaD_0.5_unweighted",0.923618090452261,0.0370787589531669
2,"abundance","GLaD_0.5_unweighted",0.928391959798995,0.0363807173823303
2,"abundance","GLaD_0.5_unweighted",0.933165829145729,0.0356756223401072
2,"abundance","GLaD_0.5_unweighted",0.937939698492462,0.0349636727726985
2,"abundance","GLaD_0.5_unweighted",0.942713567839196,0.0342450734675912
2,"abundance","GLaD_0.5_unweighted",0.94748743718593,0.0335200347165205
2,"abundance","GLaD_0.5_unweighted",0.952261306532663,0.0327887722106546
2,"abundance","GLaD_0.5_unweighted",0.957035175879397,0.0320515123501522
2,"abundance","GLaD_0.5_unweighted",0.961809045226131,0.031308492600461
2,"abundance","GLaD_0.5_unweighted",0.966582914572864,0.030559955390585
2,"abundance","GLaD_0.5_unweighted",0.971356783919598,0.0298061474993938
2,"abundance","GLaD_0.5_unweighted",0.976130653266332,0.0290473197558562
2,"abundance","GLaD_0.5_unweighted",0.980904522613065,0.0282837267508435
2,"abundance","GLaD_0.5_unweighted",0.985678391959799,0.0275156265596932
2,"abundance","GLaD_0.5_unweighted",0.990452261306533,0.0267432804748232
2,"abundance","GLaD_0.5_unweighted",0.995226130653266,0.0259669527477702
2,"abundance","GLaD_0.5_unweighted",1,0.0251869103400971
2,"abundance","GLaD_0.5_weighted",0.05,0.0317897907684603
2,"abundance","GLaD_0.5_weighted",0.0547738693467337,0.0362649261482614
2,"abundance","GLaD_0.5_weighted",0.0595477386934673,0.0408284307599749
2,"abundance","GLaD_0.5_weighted",0.064321608040201,0.0454798079475755
2,"abundance","GLaD_0.5_weighted",0.0690954773869347,0.0502185500817124
2,"abundance","GLaD_0.5_weighted",0.0738693467336684,0.0550441384803546
2,"abundance","GLaD_0.5_weighted",0.078643216080402,0.0599560433355584
2,"abundance","GLaD_0.5_weighted",0.0834170854271357,0.0649537236469094
2,"abundance","GLaD_0.5_weighted",0.0881909547738693,0.070036627162225
2,"abundance","GLaD_0.5_weighted",0.092964824120603,0.0752041903261529
2,"abundance","GLaD_0.5_weighted",0.0977386934673367,0.0804558382373745
2,"abundance","GLaD_0.5_weighted",0.10251256281407,0.0857909820142019
2,"abundance","GLaD_0.5_weighted",0.107286432160804,0.0912089687902312
2,"abundance","GLaD_0.5_weighted",0.112060301507538,0.0967090871191492
2,"abundance","GLaD_0.5_weighted",0.116834170854271,0.102290615555851
2,"abundance","GLaD_0.5_weighted",0.121608040201005,0.107952824843556
2,"abundance","GLaD_0.5_weighted",0.126381909547739,0.113694978208627
2,"abundance","GLaD_0.5_weighted",0.131155778894472,0.119516331675703
2,"abundance","GLaD_0.5_weighted",0.135929648241206,0.125416134407577
2,"abundance","GLaD_0.5_weighted",0.14070351758794,0.131393629075338
2,"abundance","GLaD_0.5_weighted",0.145477386934673,0.137448052265583
2,"abundance","GLaD_0.5_weighted",0.150251256281407,0.143578634934834
2,"abundance","GLaD_0.5_weighted",0.155025125628141,0.149784617473407
2,"abundance","GLaD_0.5_weighted",0.159798994974874,0.15606528689342
2,"abundance","GLaD_0.5_weighted",0.164572864321608,0.16241994056412
2,"abundance","GLaD_0.5_weighted",0.169346733668342,0.168847876534047
2,"abundance","GLaD_0.5_weighted",0.174120603015075,0.175348394266402
2,"abundance","GLaD_0.5_weighted",0.178894472361809,0.181920795466059
2,"abundance","GLaD_0.5_weighted",0.183668341708543,0.188564385014796
