"k","signal_cluster","cluster_ordered","signal_mode","beta","method","power","n_nonmissing"
2,1,1,"abundance",0.05,"GLaD_0.5_unweighted",0.04,100
2,1,1,"abundance",0.05,"GLaD_0.5_weighted",0.05,100
2,1,1,"abundance",0.05,"GLaD_1_unweighted",0.04,100
2,1,1,"abundance",0.05,"GLaD_1_weighted",0.05,100
2,1,1,"abundance",0.05,"GUniFrac",0.01,100
2,1,1,"abundance",0.05,"aitchison",0.05,100
2,1,1,"abundance",0.05,"bray",0.02,100
2,1,1,"abundance",0.05,"euclidean",0,100
2,1,1,"abundance",0.05,"jaccard",0.02,100
2,1,1,"abundance",0.05,"unifrac_unweighted",0.02,100
2,1,1,"abundance",0.05,"unifrac_weighted_phyloseq",0.04,100
2,1,1,"abundance",0.1,"GLaD_0.5_unweighted",0.08,100
2,1,1,"abundance",0.1,"GLaD_0.5_weighted",0.11,100
2,1,1,"abundance",0.1,"GLaD_1_unweighted",0.03,100
2,1,1,"abundance",0.1,"GLaD_1_weighted",0.11,100
2,1,1,"abundance",0.1,"GUniFrac",0.07,100
2,1,1,"abundance",0.1,"aitchison",0.07,100
2,1,1,"abundance",0.1,"bray",0.06,100
2,1,1,"abundance",0.1,"euclidean",0.1,100
2,1,1,"abundance",0.1,"jaccard",0.06,100
2,1,1,"abundance",0.1,"unifrac_unweighted",0.06,100
2,1,1,"abundance",0.1,"unifrac_weighted_phyloseq",0.09,100
2,1,1,"abundance",0.15,"GLaD_0.5_unweighted",0.04,100
2,1,1,"abundance",0.15,"GLaD_0.5_weighted",0.12,100
2,1,1,"abundance",0.15,"GLaD_1_unweighted",0.03,100
2,1,1,"abundance",0.15,"GLaD_1_weighted",0.14,100
2,1,1,"abundance",0.15,"GUniFrac",0.1,100
2,1,1,"abundance",0.15,"aitchison",0.04,100
2,1,1,"abundance",0.15,"bray",0.06,100
2,1,1,"abundance",0.15,"euclidean",0.04,100
2,1,1,"abundance",0.15,"jaccard",0.07,100
2,1,1,"abundance",0.15,"unifrac_unweighted",0.04,100
2,1,1,"abundance",0.15,"unifrac_weighted_phyloseq",0.09,100
2,1,1,"abundance",0.2,"GLaD_0.5_unweighted",0.02,100
2,1,1,"abundance",0.2,"GLaD_0.5_weighted",0.17,100
2,1,1,"abundance",0.2,"GLaD_1_unweighted",0.03,100
2,1,1,"abundance",0.2,"GLaD_1_weighted",0.19,100
2,1,1,"abundance",0.2,"GUniFrac",0.22,100
2,1,1,"abundance",0.2,"aitchison",0.08,100
2,1,1,"abundance",0.2,"bray",0.13,100
2,1,1,"abundance",0.2,"euclidean",0.09,100
2,1,1,"abundance",0.2,"jaccard",0.12,100
2,1,1,"abundance",0.2,"unifrac_unweighted",0.06,100
2,1,1,"abundance",0.2,"unifrac_weighted_phyloseq",0.18,100
2,1,1,"abundance",0.25,"GLaD_0.5_unweighted",0.04,100
2,1,1,"abundance",0.25,"GLaD_0.5_weighted",0.22,100
2,1,1,"abundance",0.25,"GLaD_1_unweighted",0,100
2,1,1,"abundance",0.25,"GLaD_1_weighted",0.27,100
2,1,1,"abundance",0.25,"GUniFrac",0.25,100
2,1,1,"abundance",0.25,"aitchison",0.06,100
2,1,1,"abundance",0.25,"bray",0.08,100
2,1,1,"abundance",0.25,"euclidean",0.07,100
2,1,1,"abundance",0.25,"jaccard",0.09,100
2,1,1,"abundance",0.25,"unifrac_unweighted",0.06,100
2,1,1,"abundance",0.25,"unifrac_weighted_phyloseq",0.25,100
2,1,1,"abundance",0.3,"GLaD_0.5_unweighted",0.02,100
2,1,1,"abundance",0.3,"GLaD_0.5_weighted",0.41,100
2,1,1,"abundance",0.3,"GLaD_1_unweighted",0.08,100
2,1,1,"abundance",0.3,"GLaD_1_weighted",0.44,100
2,1,1,"abundance",0.3,"GUniFrac",0.39,100
2,1,1,"abundance",0.3,"aitchison",0.08,100
2,1,1,"abundance",0.3,"bray",0.2,100
2,1,1,"abundance",0.3,"euclidean",0.1,100
2,1,1,"abundance",0.3,"jaccard",0.19,100
2,1,1,"abundance",0.3,"unifrac_unweighted",0.04,100
2,1,1,"abundance",0.3,"unifrac_weighted_phyloseq",0.42,100
2,1,1,"abundance",0.35,"GLaD_0.5_unweighted",0.03,100
2,1,1,"abundance",0.35,"GLaD_0.5_weighted",0.44,100
2,1,1,"abundance",0.35,"GLaD_1_unweighted",0.05,100
2,1,1,"abundance",0.35,"GLaD_1_weighted",0.47,100
2,1,1,"abundance",0.35,"GUniFrac",0.43,100
2,1,1,"abundance",0.35,"aitchison",0.03,100
2,1,1,"abundance",0.35,"bray",0.21,100
2,1,1,"abundance",0.35,"euclidean",0.12,100
2,1,1,"abundance",0.35,"jaccard",0.21,100
2,1,1,"abundance",0.35,"unifrac_unweighted",0.03,100
2,1,1,"abundance",0.35,"unifrac_weighted_phyloseq",0.5,100
2,1,1,"abundance",0.4,"GLaD_0.5_unweighted",0.02,100
2,1,1,"abundance",0.4,"GLaD_0.5_weighted",0.6,100
2,1,1,"abundance",0.4,"GLaD_1_unweighted",0.04,100
2,1,1,"abundance",0.4,"GLaD_1_weighted",0.59,100
2,1,1,"abundance",0.4,"GUniFrac",0.63,100
2,1,1,"abundance",0.4,"aitchison",0.11,100
2,1,1,"abundance",0.4,"bray",0.32,100
2,1,1,"abundance",0.4,"euclidean",0.16,100
2,1,1,"abundance",0.4,"jaccard",0.3,100
2,1,1,"abundance",0.4,"unifrac_unweighted",0.06,100
2,1,1,"abundance",0.4,"unifrac_weighted_phyloseq",0.66,100
2,1,1,"abundance",0.45,"GLaD_0.5_unweighted",0.06,100
2,1,1,"abundance",0.45,"GLaD_0.5_weighted",0.65,100
2,1,1,"abundance",0.45,"GLaD_1_unweighted",0.05,100
2,1,1,"abundance",0.45,"GLaD_1_weighted",0.67,100
2,1,1,"abundance",0.45,"GUniFrac",0.78,100
2,1,1,"abundance",0.45,"aitchison",0.12,100
2,1,1,"abundance",0.45,"bray",0.38,100
2,1,1,"abundance",0.45,"euclidean",0.21,100
2,1,1,"abundance",0.45,"jaccard",0.36,100
2,1,1,"abundance",0.45,"unifrac_unweighted",0.05,100
2,1,1,"abundance",0.45,"unifrac_weighted_phyloseq",0.75,100
2,1,1,"abundance",0.5,"GLaD_0.5_unweighted",0.12,100
2,1,1,"abundance",0.5,"GLaD_0.5_weighted",0.78,100
2,1,1,"abundance",0.5,"GLaD_1_unweighted",0.01,100
2,1,1,"abundance",0.5,"GLaD_1_weighted",0.79,100
2,1,1,"abundance",0.5,"GUniFrac",0.85,100
2,1,1,"abundance",0.5,"aitchison",0.21,100
2,1,1,"abundance",0.5,"bray",0.53,100
2,1,1,"abundance",0.5,"euclidean",0.26,100
