"k","signal_mode","Unweighted GLaD (rho = 0.5)","Weighted GLaD (rho = 0.5)","Unweighted GLaD (rho = 1)","Weighted GLaD (rho = 1)","Unweighted UniFrac","Weighted UniFrac","GUniFrac","Aitchison","Bray-Curtis","Euclidean","Jaccard"
2,"abundance",0.06,0.0601,0.03,0.08,0.0399,0.0603,0.0501,0.0604,0.0549,0.0297,0.0499
2,"both",0.0397,0.0345,0.06,0.0297,0.0497,0.0445,0.0545,0.0449,0.0649,0.0447,0.0499
2,"prevalence",0.0501,0.0352,0.0452,0.0303,0.0699,0.0251,0.0399,0.0399,0.0249,0.0301,0.02
4,"abundance",0.0572,0.0379,0.0588,0.0311,0.0615,0.0393,0.0452,0.0391,0.0403,0.0289,0.0356
4,"both",0.0424,0.0709,0.0385,0.0763,0.0497,0.0619,0.0621,0.0652,0.0524,0.0469,0.0459
4,"prevalence",0.0508,0.0679,0.0389,0.0587,0.0293,0.0658,0.0541,0.059,0.0749,0.0561,0.0747
6,"abundance",0.0429,0.0627,0.0377,0.0627,0.05,0.0715,0.0589,0.0567,0.0461,0.0436,0.0461
6,"both",0.0422,0.0715,0.0544,0.0618,0.0423,0.0565,0.0536,0.0341,0.0474,0.051,0.0498
6,"prevalence",0.0649,0.0568,0.0474,0.0481,0.073,0.0597,0.0564,0.0603,0.0602,0.0516,0.0596
8,"abundance",0.0416,0.0501,0.0508,0.0397,0.0398,0.0427,0.0404,0.0436,0.0484,0.0527,0.048
8,"both",0.056,0.0366,0.058,0.0516,0.0532,0.0362,0.0384,0.057,0.0249,0.0468,0.0278
8,"prevalence",0.0481,0.0532,0.0447,0.048,0.0509,0.0462,0.0442,0.0443,0.0442,0.0429,0.0448
