"k","signal_mode","Unweighted GLaD (rho = 0.5)","Weighted GLaD (rho = 0.5)","Unweighted GLaD (rho = 1)","Weighted GLaD (rho = 1)","Unweighted UniFrac","Weighted UniFrac","GUniFrac","Aitchison","Bray-Curtis","Euclidean","Jaccard"
2,"abundance",0.06,0.0602,0.03,0.08,0.0398,0.0604,0.0502,0.0605,0.0549,0.0296,0.0498
2,"both",0.0396,0.0344,0.06,0.0296,0.0496,0.0444,0.0544,0.0449,0.0649,0.0446,0.0498
2,"prevalence",0.0502,0.0353,0.0453,0.0304,0.0698,0.0251,0.0398,0.0398,0.0249,0.0302,0.02
4,"abundance",0.0549,0.034,0.0566,0.0254,0.0593,0.0348,0.0413,0.0341,0.0414,0.0321,0.0349
4,"both",0.0435,0.0683,0.0382,0.0765,0.0486,0.0592,0.0621,0.0686,0.0513,0.0431,0.0426
4,"prevalence",0.0538,0.0676,0.0345,0.0614,0.0287,0.0619,0.0556,0.0664,0.0808,0.0572,0.0801
6,"abundance",0.0461,0.0709,0.0342,0.0679,0.0523,0.0814,0.0698,0.0584,0.0513,0.0456,0.0513
6,"both",0.0421,0.0743,0.0564,0.0668,0.0433,0.0605,0.0596,0.0332,0.0493,0.0515,0.0489
6,"prevalence",0.0653,0.0558,0.0482,0.0465,0.077,0.0607,0.0579,0.0613,0.0607,0.0495,0.0612
8,"abundance",0.0378,0.0496,0.0536,0.0343,0.0393,0.0427,0.0413,0.0446,0.0507,0.0559,0.0498
8,"both",0.0629,0.0375,0.0604,0.0549,0.0549,0.0348,0.0388,0.0591,0.0235,0.0446,0.0259
8,"prevalence",0.0429,0.0545,0.0472,0.0494,0.0493,0.0476,0.044,0.0451,0.0396,0.0424,0.0391
