"k","signal_mode","method","way","type1_error","n_nonmissing","total_weight","signal_cluster","cluster_n_otus_template","method_label"
2,"abundance","GLaD_0.5_unweighted","abund_sum",0.06,200,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
2,"abundance","GLaD_0.5_weighted","abund_sum",0.0601,200,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
2,"abundance","GLaD_1_unweighted","abund_sum",0.03,200,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
2,"abundance","GLaD_1_weighted","abund_sum",0.08,200,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
2,"abundance","unifrac_unweighted","abund_sum",0.0399,200,87471.7473,NA,NA,"Unweighted UniFrac"
2,"abundance","unifrac_weighted_phyloseq","abund_sum",0.0603,200,87471.7473,NA,NA,"Weighted UniFrac"
2,"abundance","GUniFrac","abund_sum",0.0501,200,87471.7473,NA,NA,"GUniFrac"
2,"abundance","aitchison","abund_sum",0.0604,200,87471.7473,NA,NA,"Aitchison"
2,"abundance","bray","abund_sum",0.0549,200,87471.7473,NA,NA,"Bray-Curtis"
2,"abundance","euclidean","abund_sum",0.0297,200,87471.7473,NA,NA,"Euclidean"
2,"abundance","jaccard","abund_sum",0.0499,200,87471.7473,NA,NA,"Jaccard"
2,"both","GLaD_0.5_unweighted","abund_sum",0.0397,200,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
2,"both","GLaD_0.5_weighted","abund_sum",0.0345,200,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
2,"both","GLaD_1_unweighted","abund_sum",0.06,200,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
2,"both","GLaD_1_weighted","abund_sum",0.0297,200,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
2,"both","unifrac_unweighted","abund_sum",0.0497,200,87471.7473,NA,NA,"Unweighted UniFrac"
2,"both","unifrac_weighted_phyloseq","abund_sum",0.0445,200,87471.7473,NA,NA,"Weighted UniFrac"
2,"both","GUniFrac","abund_sum",0.0545,200,87471.7473,NA,NA,"GUniFrac"
2,"both","aitchison","abund_sum",0.0449,200,87471.7473,NA,NA,"Aitchison"
2,"both","bray","abund_sum",0.0649,200,87471.7473,NA,NA,"Bray-Curtis"
2,"both","euclidean","abund_sum",0.0447,200,87471.7473,NA,NA,"Euclidean"
2,"both","jaccard","abund_sum",0.0499,200,87471.7473,NA,NA,"Jaccard"
2,"prevalence","GLaD_0.5_unweighted","abund_sum",0.0501,200,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
2,"prevalence","GLaD_0.5_weighted","abund_sum",0.0352,200,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
2,"prevalence","GLaD_1_unweighted","abund_sum",0.0452,200,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
2,"prevalence","GLaD_1_weighted","abund_sum",0.0303,200,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
2,"prevalence","unifrac_unweighted","abund_sum",0.0699,200,87471.7473,NA,NA,"Unweighted UniFrac"
2,"prevalence","unifrac_weighted_phyloseq","abund_sum",0.0251,200,87471.7473,NA,NA,"Weighted UniFrac"
2,"prevalence","GUniFrac","abund_sum",0.0399,200,87471.7473,NA,NA,"GUniFrac"
2,"prevalence","aitchison","abund_sum",0.0399,200,87471.7473,NA,NA,"Aitchison"
2,"prevalence","bray","abund_sum",0.0249,200,87471.7473,NA,NA,"Bray-Curtis"
2,"prevalence","euclidean","abund_sum",0.0301,200,87471.7473,NA,NA,"Euclidean"
2,"prevalence","jaccard","abund_sum",0.02,200,87471.7473,NA,NA,"Jaccard"
4,"abundance","GLaD_0.5_unweighted","abund_sum",0.0572,400,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
4,"abundance","GLaD_0.5_weighted","abund_sum",0.0379,400,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
4,"abundance","GLaD_1_unweighted","abund_sum",0.0588,400,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
4,"abundance","GLaD_1_weighted","abund_sum",0.0311,400,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
4,"abundance","unifrac_unweighted","abund_sum",0.0615,400,87471.7473,NA,NA,"Unweighted UniFrac"
4,"abundance","unifrac_weighted_phyloseq","abund_sum",0.0393,400,87471.7473,NA,NA,"Weighted UniFrac"
4,"abundance","GUniFrac","abund_sum",0.0452,400,87471.7473,NA,NA,"GUniFrac"
4,"abundance","aitchison","abund_sum",0.0391,400,87471.7473,NA,NA,"Aitchison"
4,"abundance","bray","abund_sum",0.0403,400,87471.7473,NA,NA,"Bray-Curtis"
4,"abundance","euclidean","abund_sum",0.0289,400,87471.7473,NA,NA,"Euclidean"
4,"abundance","jaccard","abund_sum",0.0356,400,87471.7473,NA,NA,"Jaccard"
4,"both","GLaD_0.5_unweighted","abund_sum",0.0424,400,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
4,"both","GLaD_0.5_weighted","abund_sum",0.0709,400,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
4,"both","GLaD_1_unweighted","abund_sum",0.0385,400,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
4,"both","GLaD_1_weighted","abund_sum",0.0763,400,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
4,"both","unifrac_unweighted","abund_sum",0.0497,400,87471.7473,NA,NA,"Unweighted UniFrac"
4,"both","unifrac_weighted_phyloseq","abund_sum",0.0619,400,87471.7473,NA,NA,"Weighted UniFrac"
4,"both","GUniFrac","abund_sum",0.0621,400,87471.7473,NA,NA,"GUniFrac"
4,"both","aitchison","abund_sum",0.0652,400,87471.7473,NA,NA,"Aitchison"
4,"both","bray","abund_sum",0.0524,400,87471.7473,NA,NA,"Bray-Curtis"
4,"both","euclidean","abund_sum",0.0469,400,87471.7473,NA,NA,"Euclidean"
4,"both","jaccard","abund_sum",0.0459,400,87471.7473,NA,NA,"Jaccard"
4,"prevalence","GLaD_0.5_unweighted","abund_sum",0.0508,400,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
4,"prevalence","GLaD_0.5_weighted","abund_sum",0.0679,400,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
4,"prevalence","GLaD_1_unweighted","abund_sum",0.0389,400,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
4,"prevalence","GLaD_1_weighted","abund_sum",0.0587,400,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
4,"prevalence","unifrac_unweighted","abund_sum",0.0293,400,87471.7473,NA,NA,"Unweighted UniFrac"
4,"prevalence","unifrac_weighted_phyloseq","abund_sum",0.0658,400,87471.7473,NA,NA,"Weighted UniFrac"
4,"prevalence","GUniFrac","abund_sum",0.0541,400,87471.7473,NA,NA,"GUniFrac"
4,"prevalence","aitchison","abund_sum",0.059,400,87471.7473,NA,NA,"Aitchison"
4,"prevalence","bray","abund_sum",0.0749,400,87471.7473,NA,NA,"Bray-Curtis"
4,"prevalence","euclidean","abund_sum",0.0561,400,87471.7473,NA,NA,"Euclidean"
4,"prevalence","jaccard","abund_sum",0.0747,400,87471.7473,NA,NA,"Jaccard"
6,"abundance","GLaD_0.5_unweighted","abund_sum",0.0429,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
6,"abundance","GLaD_0.5_weighted","abund_sum",0.0627,600,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
6,"abundance","GLaD_1_unweighted","abund_sum",0.0377,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
6,"abundance","GLaD_1_weighted","abund_sum",0.0627,600,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
6,"abundance","unifrac_unweighted","abund_sum",0.05,600,87471.7473,NA,NA,"Unweighted UniFrac"
6,"abundance","unifrac_weighted_phyloseq","abund_sum",0.0715,600,87471.7473,NA,NA,"Weighted UniFrac"
6,"abundance","GUniFrac","abund_sum",0.0589,600,87471.7473,NA,NA,"GUniFrac"
6,"abundance","aitchison","abund_sum",0.0567,600,87471.7473,NA,NA,"Aitchison"
6,"abundance","bray","abund_sum",0.0461,600,87471.7473,NA,NA,"Bray-Curtis"
6,"abundance","euclidean","abund_sum",0.0436,600,87471.7473,NA,NA,"Euclidean"
6,"abundance","jaccard","abund_sum",0.0461,600,87471.7473,NA,NA,"Jaccard"
6,"both","GLaD_0.5_unweighted","abund_sum",0.0422,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
6,"both","GLaD_0.5_weighted","abund_sum",0.0715,600,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
6,"both","GLaD_1_unweighted","abund_sum",0.0544,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
6,"both","GLaD_1_weighted","abund_sum",0.0618,600,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
6,"both","unifrac_unweighted","abund_sum",0.0423,600,87471.7473,NA,NA,"Unweighted UniFrac"
6,"both","unifrac_weighted_phyloseq","abund_sum",0.0565,600,87471.7473,NA,NA,"Weighted UniFrac"
6,"both","GUniFrac","abund_sum",0.0536,600,87471.7473,NA,NA,"GUniFrac"
6,"both","aitchison","abund_sum",0.0341,600,87471.7473,NA,NA,"Aitchison"
6,"both","bray","abund_sum",0.0474,600,87471.7473,NA,NA,"Bray-Curtis"
6,"both","euclidean","abund_sum",0.051,600,87471.7473,NA,NA,"Euclidean"
