"k","signal_mode","Unweighted GLaD (rho = 0.5)","Weighted GLaD (rho = 0.5)","Unweighted GLaD (rho = 1)","Weighted GLaD (rho = 1)","Unweighted UniFrac","Weighted UniFrac","GUniFrac","Aitchison","Bray-Curtis","Euclidean","Jaccard"
2,"abundance",0.06,0.07,0.03,0.08,0.03,0.08,0.06,0.09,0.05,0.01,0.04
2,"both",0.02,0,0.06,0.01,0.03,0.01,0.02,0.04,0.06,0.02,0.04
2,"prevalence",0.06,0.05,0.06,0.05,0.06,0.03,0.03,0.03,0.02,0.04,0.02
4,"abundance",0.05,0.03,0.05,0.01,0.06,0.03,0.03,0.02,0.06,0.05,0.05
4,"both",0.07,0.05,0.04,0.06,0.06,0.05,0.07,0.1,0.04,0.03,0.04
4,"prevalence",0.06,0.07,0.02,0.07,0.02,0.05,0.07,0.1,0.1,0.03,0.09
6,"abundance",0.07,0.1,0.02,0.09,0.07,0.11,0.11,0.05,0.07,0.05,0.07
6,"both",0.04,0.09,0.06,0.09,0.05,0.08,0.08,0.03,0.06,0.05,0.05
6,"prevalence",0.06,0.06,0.06,0.05,0.09,0.07,0.06,0.06,0.06,0.03,0.06
8,"abundance",0.03,0.04,0.07,0.02,0.03,0.04,0.05,0.04,0.06,0.07,0.06
8,"both",0.09,0.03,0.07,0.05,0.05,0.02,0.03,0.07,0.02,0.02,0.02
8,"prevalence",0.04,0.05,0.07,0.05,0.05,0.05,0.03,0.05,0.02,0.04,0.02
