"k","signal_mode","way","Unweighted GLaD (rho = 0.5)","Weighted GLaD (rho = 0.5)","Unweighted GLaD (rho = 1)","Weighted GLaD (rho = 1)","Unweighted UniFrac","Weighted UniFrac","GUniFrac","Aitchison","Bray-Curtis","Euclidean","Jaccard"
2,"abundance","abund_sum",0.06,0.0601,0.03,0.08,0.0399,0.0603,0.0501,0.0604,0.0549,0.0297,0.0499
2,"both","abund_sum",0.0397,0.0345,0.06,0.0297,0.0497,0.0445,0.0545,0.0449,0.0649,0.0447,0.0499
2,"prevalence","abund_sum",0.0501,0.0352,0.0452,0.0303,0.0699,0.0251,0.0399,0.0399,0.0249,0.0301,0.02
4,"abundance","abund_sum",0.0572,0.0379,0.0588,0.0311,0.0615,0.0393,0.0452,0.0391,0.0403,0.0289,0.0356
4,"both","abund_sum",0.0424,0.0709,0.0385,0.0763,0.0497,0.0619,0.0621,0.0652,0.0524,0.0469,0.0459
4,"prevalence","abund_sum",0.0508,0.0679,0.0389,0.0587,0.0293,0.0658,0.0541,0.059,0.0749,0.0561,0.0747
6,"abundance","abund_sum",0.0429,0.0627,0.0377,0.0627,0.05,0.0715,0.0589,0.0567,0.0461,0.0436,0.0461
6,"both","abund_sum",0.0422,0.0715,0.0544,0.0618,0.0423,0.0565,0.0536,0.0341,0.0474,0.051,0.0498
6,"prevalence","abund_sum",0.0649,0.0568,0.0474,0.0481,0.073,0.0597,0.0564,0.0603,0.0602,0.0516,0.0596
8,"abundance","abund_sum",0.0416,0.0501,0.0508,0.0397,0.0398,0.0427,0.0404,0.0436,0.0484,0.0527,0.048
8,"both","abund_sum",0.056,0.0366,0.058,0.0516,0.0532,0.0362,0.0384,0.057,0.0249,0.0468,0.0278
8,"prevalence","abund_sum",0.0481,0.0532,0.0447,0.048,0.0509,0.0462,0.0442,0.0443,0.0442,0.0429,0.0448
2,"abundance","abund_sum_x_mean_abund",0.06,0.0602,0.03,0.08,0.0398,0.0604,0.0502,0.0605,0.0549,0.0296,0.0498
2,"both","abund_sum_x_mean_abund",0.0396,0.0344,0.06,0.0296,0.0496,0.0444,0.0544,0.0449,0.0649,0.0446,0.0498
2,"prevalence","abund_sum_x_mean_abund",0.0502,0.0353,0.0453,0.0304,0.0698,0.0251,0.0398,0.0398,0.0249,0.0302,0.02
4,"abundance","abund_sum_x_mean_abund",0.0549,0.034,0.0566,0.0254,0.0593,0.0348,0.0413,0.0341,0.0414,0.0321,0.0349
4,"both","abund_sum_x_mean_abund",0.0435,0.0683,0.0382,0.0765,0.0486,0.0592,0.0621,0.0686,0.0513,0.0431,0.0426
4,"prevalence","abund_sum_x_mean_abund",0.0538,0.0676,0.0345,0.0614,0.0287,0.0619,0.0556,0.0664,0.0808,0.0572,0.0801
6,"abundance","abund_sum_x_mean_abund",0.0461,0.0709,0.0342,0.0679,0.0523,0.0814,0.0698,0.0584,0.0513,0.0456,0.0513
6,"both","abund_sum_x_mean_abund",0.0421,0.0743,0.0564,0.0668,0.0433,0.0605,0.0596,0.0332,0.0493,0.0515,0.0489
6,"prevalence","abund_sum_x_mean_abund",0.0653,0.0558,0.0482,0.0465,0.077,0.0607,0.0579,0.0613,0.0607,0.0495,0.0612
8,"abundance","abund_sum_x_mean_abund",0.0378,0.0496,0.0536,0.0343,0.0393,0.0427,0.0413,0.0446,0.0507,0.0559,0.0498
8,"both","abund_sum_x_mean_abund",0.0629,0.0375,0.0604,0.0549,0.0549,0.0348,0.0388,0.0591,0.0235,0.0446,0.0259
8,"prevalence","abund_sum_x_mean_abund",0.0429,0.0545,0.0472,0.0494,0.0493,0.0476,0.044,0.0451,0.0396,0.0424,0.0391
2,"abundance","max_n_otu_cluster",0.06,0.07,0.03,0.08,0.03,0.08,0.06,0.09,0.05,0.01,0.04
2,"both","max_n_otu_cluster",0.02,0,0.06,0.01,0.03,0.01,0.02,0.04,0.06,0.02,0.04
2,"prevalence","max_n_otu_cluster",0.06,0.05,0.06,0.05,0.06,0.03,0.03,0.03,0.02,0.04,0.02
4,"abundance","max_n_otu_cluster",0.05,0.03,0.05,0.01,0.06,0.03,0.03,0.02,0.06,0.05,0.05
4,"both","max_n_otu_cluster",0.07,0.05,0.04,0.06,0.06,0.05,0.07,0.1,0.04,0.03,0.04
4,"prevalence","max_n_otu_cluster",0.06,0.07,0.02,0.07,0.02,0.05,0.07,0.1,0.1,0.03,0.09
6,"abundance","max_n_otu_cluster",0.07,0.1,0.02,0.09,0.07,0.11,0.11,0.05,0.07,0.05,0.07
6,"both","max_n_otu_cluster",0.04,0.09,0.06,0.09,0.05,0.08,0.08,0.03,0.06,0.05,0.05
6,"prevalence","max_n_otu_cluster",0.06,0.06,0.06,0.05,0.09,0.07,0.06,0.06,0.06,0.03,0.06
8,"abundance","max_n_otu_cluster",0.03,0.04,0.07,0.02,0.03,0.04,0.05,0.04,0.06,0.07,0.06
8,"both","max_n_otu_cluster",0.09,0.03,0.07,0.05,0.05,0.02,0.03,0.07,0.02,0.02,0.02
8,"prevalence","max_n_otu_cluster",0.04,0.05,0.07,0.05,0.05,0.05,0.03,0.05,0.02,0.04,0.02
