"k","signal_mode","beta","method","weighted_power","n_nonmissing","total_weight"
2,"abundance",0.05,"GLaD_0.5_unweighted",0.0350672790377998,200,87471.747346755
2,"abundance",0.05,"GLaD_0.5_weighted",0.0647981628866009,200,87471.747346755
2,"abundance",0.05,"GLaD_1_unweighted",0.0449327209622003,200,87471.747346755
2,"abundance",0.05,"GLaD_1_weighted",0.0549327209622003,200,87471.747346755
2,"abundance",0.05,"GUniFrac",0.0297308838488011,200,87471.747346755
2,"abundance",0.05,"aitchison",0.05,200,87471.747346755
2,"abundance",0.05,"bray",0.0446636048110014,200,87471.747346755
2,"abundance",0.05,"euclidean",0.0345290467354019,200,87471.747346755
2,"abundance",0.05,"jaccard",0.0495963257732017,200,87471.747346755
2,"abundance",0.05,"unifrac_unweighted",0.02,200,87471.747346755
2,"abundance",0.05,"unifrac_weighted_phyloseq",0.0498654419244006,200,87471.747346755
2,"abundance",0.1,"GLaD_0.5_unweighted",0.0750672790377998,200,87471.747346755
2,"abundance",0.1,"GLaD_0.5_weighted",0.1001345580756,200,87471.747346755
2,"abundance",0.1,"GLaD_1_unweighted",0.0398654419244006,200,87471.747346755
2,"abundance",0.1,"GLaD_1_weighted",0.090269116151199,200,87471.747346755
2,"abundance",0.1,"GUniFrac",0.0700000000000001,200,87471.747346755
2,"abundance",0.1,"aitchison",0.0453363951889987,200,87471.747346755
2,"abundance",0.1,"bray",0.0698654419244006,200,87471.747346755
2,"abundance",0.1,"euclidean",0.0753363951889987,200,87471.747346755
2,"abundance",0.1,"jaccard",0.0649327209622003,200,87471.747346755
2,"abundance",0.1,"unifrac_unweighted",0.06,200,87471.747346755
2,"abundance",0.1,"unifrac_weighted_phyloseq",0.104798162886601,200,87471.747346755
2,"abundance",0.15,"GLaD_0.5_unweighted",0.0252018371133992,200,87471.747346755
2,"abundance",0.15,"GLaD_0.5_weighted",0.1101345580756,200,87471.747346755
2,"abundance",0.15,"GLaD_1_unweighted",0.0349327209622003,200,87471.747346755
2,"abundance",0.15,"GLaD_1_weighted",0.120269116151199,200,87471.747346755
2,"abundance",0.15,"GUniFrac",0.0852018371133993,200,87471.747346755
2,"abundance",0.15,"aitchison",0.04,200,87471.747346755
2,"abundance",0.15,"bray",0.06,200,87471.747346755
2,"abundance",0.15,"euclidean",0.0794617676976023,200,87471.747346755
2,"abundance",0.15,"jaccard",0.0700000000000001,200,87471.747346755
2,"abundance",0.15,"unifrac_unweighted",0.0449327209622003,200,87471.747346755
2,"abundance",0.15,"unifrac_weighted_phyloseq",0.0998654419244006,200,87471.747346755
2,"abundance",0.2,"GLaD_0.5_unweighted",0.0249327209622003,200,87471.747346755
2,"abundance",0.2,"GLaD_0.5_weighted",0.150269116151199,200,87471.747346755
2,"abundance",0.2,"GLaD_1_unweighted",0.0398654419244006,200,87471.747346755
2,"abundance",0.2,"GLaD_1_weighted",0.175201837113399,200,87471.747346755
2,"abundance",0.2,"GUniFrac",0.150941906529196,200,87471.747346755
2,"abundance",0.2,"aitchison",0.0553363951889987,200,87471.747346755
2,"abundance",0.2,"bray",0.0856055113401976,200,87471.747346755
2,"abundance",0.2,"euclidean",0.0752018371133992,200,87471.747346755
2,"abundance",0.2,"jaccard",0.0854709532645982,200,87471.747346755
2,"abundance",0.2,"unifrac_unweighted",0.0402691161511989,200,87471.747346755
2,"abundance",0.2,"unifrac_weighted_phyloseq",0.155336395188999,200,87471.747346755
2,"abundance",0.25,"GLaD_0.5_unweighted",0.0547981628866009,200,87471.747346755
2,"abundance",0.25,"GLaD_0.5_weighted",0.229865441924401,200,87471.747346755
2,"abundance",0.25,"GLaD_1_unweighted",0.0197308838488011,200,87471.747346755
2,"abundance",0.25,"GLaD_1_weighted",0.27,200,87471.747346755
2,"abundance",0.25,"GUniFrac",0.2549327209622,200,87471.747346755
