"k","signal_mode","method","beta","power_smooth"
2,"abundance","GLaD_0.5_unweighted",0.05,0.0485797032798687
2,"abundance","GLaD_0.5_unweighted",0.0547738693467337,0.0480776070467487
2,"abundance","GLaD_0.5_unweighted",0.0595477386934673,0.0475867847068661
2,"abundance","GLaD_0.5_unweighted",0.064321608040201,0.047107361814104
2,"abundance","GLaD_0.5_unweighted",0.0690954773869347,0.0466394578997874
2,"abundance","GLaD_0.5_unweighted",0.0738693467336684,0.0461831862527327
2,"abundance","GLaD_0.5_unweighted",0.078643216080402,0.0457386536946917
2,"abundance","GLaD_0.5_unweighted",0.0834170854271357,0.0453059603505619
2,"abundance","GLaD_0.5_unweighted",0.0881909547738693,0.0448851994126183
2,"abundance","GLaD_0.5_unweighted",0.092964824120603,0.0444764568978705
2,"abundance","GLaD_0.5_unweighted",0.0977386934673367,0.044079811397494
2,"abundance","GLaD_0.5_unweighted",0.10251256281407,0.0436953308204439
2,"abundance","GLaD_0.5_unweighted",0.107286432160804,0.0433230146826372
2,"abundance","GLaD_0.5_unweighted",0.112060301507538,0.0429628006530429
2,"abundance","GLaD_0.5_unweighted",0.116834170854271,0.0426146204748349
2,"abundance","GLaD_0.5_unweighted",0.121608040201005,0.0422784021809035
2,"abundance","GLaD_0.5_unweighted",0.126381909547739,0.041954070102048
2,"abundance","GLaD_0.5_unweighted",0.131155778894472,0.0416415448723426
2,"abundance","GLaD_0.5_unweighted",0.135929648241206,0.0413407434326454
2,"abundance","GLaD_0.5_unweighted",0.14070351758794,0.0410515790335274
2,"abundance","GLaD_0.5_unweighted",0.145477386934673,0.0407739612392575
2,"abundance","GLaD_0.5_unweighted",0.150251256281407,0.0405077959361079
2,"abundance","GLaD_0.5_unweighted",0.155025125628141,0.0402529949177434
2,"abundance","GLaD_0.5_unweighted",0.159798994974874,0.0400094998726865
2,"abundance","GLaD_0.5_unweighted",0.164572864321608,0.0397772579741337
2,"abundance","GLaD_0.5_unweighted",0.169346733668342,0.0395562150864284
2,"abundance","GLaD_0.5_unweighted",0.174120603015075,0.0393463158058845
2,"abundance","GLaD_0.5_unweighted",0.178894472361809,0.0391475035189875
2,"abundance","GLaD_0.5_unweighted",0.183668341708543,0.0389597204816084
2,"abundance","GLaD_0.5_unweighted",0.188442211055276,0.038782907923524
2,"abundance","GLaD_0.5_unweighted",0.19321608040201,0.03861700618332
2,"abundance","GLaD_0.5_unweighted",0.197989949748744,0.038461954879679
2,"abundance","GLaD_0.5_unweighted",0.202763819095477,0.038317694815479
2,"abundance","GLaD_0.5_unweighted",0.207537688442211,0.0381841950108185
2,"abundance","GLaD_0.5_unweighted",0.212311557788945,0.0380614514423914
2,"abundance","GLaD_0.5_unweighted",0.217085427135678,0.0379494670950897
2,"abundance","GLaD_0.5_unweighted",0.221859296482412,0.0378482519252227
2,"abundance","GLaD_0.5_unweighted",0.226633165829146,0.037757823551255
2,"abundance","GLaD_0.5_unweighted",0.231407035175879,0.0376782080544569
2,"abundance","GLaD_0.5_unweighted",0.236180904522613,0.0376094409062539
2,"abundance","GLaD_0.5_unweighted",0.240954773869347,0.0375515680418382
2,"abundance","GLaD_0.5_unweighted",0.24572864321608,0.0375046471029096
2,"abundance","GLaD_0.5_unweighted",0.250502512562814,0.0374687488576399
2,"abundance","GLaD_0.5_unweighted",0.255276381909548,0.0374439365555932
2,"abundance","GLaD_0.5_unweighted",0.260050251256281,0.037430220021785
2,"abundance","GLaD_0.5_unweighted",0.264824120603015,0.0374276042665649
2,"abundance","GLaD_0.5_unweighted",0.269597989949749,0.0374361028363523
2,"abundance","GLaD_0.5_unweighted",0.274371859296482,0.0374557404475821
2,"abundance","GLaD_0.5_unweighted",0.279145728643216,0.0374865561585505
2,"abundance","GLaD_0.5_unweighted",0.28391959798995,0.0375286072014369
2,"abundance","GLaD_0.5_unweighted",0.288693467336683,0.0375819736295785
2,"abundance","GLaD_0.5_unweighted",0.293467336683417,0.0376467639777061
2,"abundance","GLaD_0.5_unweighted",0.298241206030151,0.0377231221883605
2,"abundance","GLaD_0.5_unweighted",0.303015075376884,0.0378112371742617
2,"abundance","GLaD_0.5_unweighted",0.307788944723618,0.037911366806256
2,"abundance","GLaD_0.5_unweighted",0.312562814070352,0.0380238493797274
2,"abundance","GLaD_0.5_unweighted",0.317336683417085,0.0381491115184094
2,"abundance","GLaD_0.5_unweighted",0.322110552763819,0.0382876889687624
2,"abundance","GLaD_0.5_unweighted",0.326884422110553,0.0384402529058026
2,"abundance","GLaD_0.5_unweighted",0.331658291457286,0.0386076428364229
2,"abundance","GLaD_0.5_unweighted",0.33643216080402,0.0387909074788381
2,"abundance","GLaD_0.5_unweighted",0.341206030150754,0.0389913548014496
2,"abundance","GLaD_0.5_unweighted",0.345979899497487,0.0392106115231784
2,"abundance","GLaD_0.5_unweighted",0.350753768844221,0.0394506900142411
2,"abundance","GLaD_0.5_unweighted",0.355527638190955,0.0397140539351997
2,"abundance","GLaD_0.5_unweighted",0.360301507537688,0.0400036661448036
2,"abundance","GLaD_0.5_unweighted",0.365075376884422,0.0403229855939765
2,"abundance","GLaD_0.5_unweighted",0.369849246231156,0.0406758300075685
2,"abundance","GLaD_0.5_unweighted",0.374623115577889,0.0410659785681055
2,"abundance","GLaD_0.5_unweighted",0.379396984924623,0.0414963303286777
2,"abundance","GLaD_0.5_unweighted",0.384170854271357,0.041967433902672
2,"abundance","GLaD_0.5_unweighted",0.38894472361809,0.0424754086569566
2,"abundance","GLaD_0.5_unweighted",0.393718592964824,0.043009891094996
2,"abundance","GLaD_0.5_unweighted",0.398492462311558,0.04355364164482
2,"abundance","GLaD_0.5_unweighted",0.403266331658291,0.0439975790021791
2,"abundance","GLaD_0.5_unweighted",0.408040201005025,0.0443634508188668
2,"abundance","GLaD_0.5_unweighted",0.412814070351759,0.0446913960999396
2,"abundance","GLaD_0.5_unweighted",0.417587939698492,0.0449887929987457
2,"abundance","GLaD_0.5_unweighted",0.422361809045226,0.045265254815816
2,"abundance","GLaD_0.5_unweighted",0.42713567839196,0.0456282778950432
2,"abundance","GLaD_0.5_unweighted",0.431909547738693,0.0460896743855572
2,"abundance","GLaD_0.5_unweighted",0.436683417085427,0.0465100184455193
2,"abundance","GLaD_0.5_unweighted",0.441457286432161,0.0468774046857724
2,"abundance","GLaD_0.5_unweighted",0.446231155778894,0.0471912470455879
2,"abundance","GLaD_0.5_unweighted",0.451005025125628,0.0474673369416975
2,"abundance","GLaD_0.5_unweighted",0.455778894472362,0.0477295274955319
2,"abundance","GLaD_0.5_unweighted",0.460552763819095,0.0480382189781102
2,"abundance","GLaD_0.5_unweighted",0.465326633165829,0.0484047062147813
2,"abundance","GLaD_0.5_unweighted",0.470100502512563,0.0488253558003996
2,"abundance","GLaD_0.5_unweighted",0.474874371859296,0.049289827063322
2,"abundance","GLaD_0.5_unweighted",0.47964824120603,0.0496403566567816
2,"abundance","GLaD_0.5_unweighted",0.484422110552764,0.0500115155154738
2,"abundance","GLaD_0.5_unweighted",0.489195979899497,0.0504153789394904
2,"abundance","GLaD_0.5_unweighted",0.493969849246231,0.0508595348690419
2,"abundance","GLaD_0.5_unweighted",0.498743718592965,0.0513487232936761
