"k","signal_mode","beta","method","weighted_power","n_nonmissing","total_weight"
2,"abundance",0.05,"GLaD_0.5_unweighted",0.0350899377459247,200,142.008250830433
2,"abundance",0.05,"GLaD_0.5_weighted",0.0647301867622262,200,142.008250830433
2,"abundance",0.05,"GLaD_1_unweighted",0.0449100622540754,200,142.008250830433
2,"abundance",0.05,"GLaD_1_weighted",0.0549100622540754,200,142.008250830433
2,"abundance",0.05,"GUniFrac",0.0296402490163016,200,142.008250830433
2,"abundance",0.05,"aitchison",0.05,200,142.008250830433
2,"abundance",0.05,"bray",0.044550311270377,200,142.008250830433
2,"abundance",0.05,"euclidean",0.0343704357785277,200,142.008250830433
2,"abundance",0.05,"jaccard",0.0494603735244524,200,142.008250830433
2,"abundance",0.05,"unifrac_unweighted",0.02,200,142.008250830433
2,"abundance",0.05,"unifrac_weighted_phyloseq",0.0498201245081508,200,142.008250830433
2,"abundance",0.1,"GLaD_0.5_unweighted",0.0750899377459247,200,142.008250830433
2,"abundance",0.1,"GLaD_0.5_weighted",0.100179875491849,200,142.008250830433
2,"abundance",0.1,"GLaD_1_unweighted",0.0398201245081508,200,142.008250830433
2,"abundance",0.1,"GLaD_1_weighted",0.0903597509836986,200,142.008250830433
2,"abundance",0.1,"GUniFrac",0.0700000000000001,200,142.008250830433
2,"abundance",0.1,"aitchison",0.0454496887296231,200,142.008250830433
2,"abundance",0.1,"bray",0.0698201245081509,200,142.008250830433
2,"abundance",0.1,"euclidean",0.0754496887296232,200,142.008250830433
2,"abundance",0.1,"jaccard",0.0649100622540755,200,142.008250830433
2,"abundance",0.1,"unifrac_unweighted",0.0600000000000001,200,142.008250830433
2,"abundance",0.1,"unifrac_weighted_phyloseq",0.104730186762226,200,142.008250830433
2,"abundance",0.15,"GLaD_0.5_unweighted",0.0252698132377739,200,142.008250830433
2,"abundance",0.15,"GLaD_0.5_weighted",0.110179875491849,200,142.008250830433
2,"abundance",0.15,"GLaD_1_unweighted",0.0349100622540754,200,142.008250830433
2,"abundance",0.15,"GLaD_1_weighted",0.120359750983699,200,142.008250830433
2,"abundance",0.15,"GUniFrac",0.085269813237774,200,142.008250830433
2,"abundance",0.15,"aitchison",0.04,200,142.008250830433
2,"abundance",0.15,"bray",0.0600000000000001,200,142.008250830433
2,"abundance",0.15,"euclidean",0.0792804980326031,200,142.008250830433
2,"abundance",0.15,"jaccard",0.0700000000000001,200,142.008250830433
2,"abundance",0.15,"unifrac_unweighted",0.0449100622540754,200,142.008250830433
2,"abundance",0.15,"unifrac_weighted_phyloseq",0.0998201245081509,200,142.008250830433
2,"abundance",0.2,"GLaD_0.5_unweighted",0.0249100622540754,200,142.008250830433
2,"abundance",0.2,"GLaD_0.5_weighted",0.150359750983699,200,142.008250830433
2,"abundance",0.2,"GLaD_1_unweighted",0.0398201245081508,200,142.008250830433
2,"abundance",0.2,"GLaD_1_weighted",0.175269813237774,200,142.008250830433
2,"abundance",0.2,"GUniFrac",0.151259128442945,200,142.008250830433
2,"abundance",0.2,"aitchison",0.0554496887296231,200,142.008250830433
2,"abundance",0.2,"bray",0.0858094397133216,200,142.008250830433
2,"abundance",0.2,"euclidean",0.0752698132377739,200,142.008250830433
2,"abundance",0.2,"jaccard",0.0856295642214724,200,142.008250830433
2,"abundance",0.2,"unifrac_unweighted",0.0403597509836985,200,142.008250830433
2,"abundance",0.2,"unifrac_weighted_phyloseq",0.155449688729623,200,142.008250830433
2,"abundance",0.25,"GLaD_0.5_unweighted",0.0547301867622262,200,142.008250830433
2,"abundance",0.25,"GLaD_0.5_weighted",0.229820124508151,200,142.008250830433
2,"abundance",0.25,"GLaD_1_unweighted",0.0196402490163016,200,142.008250830433
2,"abundance",0.25,"GLaD_1_weighted",0.27,200,142.008250830433
2,"abundance",0.25,"GUniFrac",0.254910062254076,200,142.008250830433
2,"abundance",0.25,"aitchison",0.0698201245081508,200,142.008250830433
2,"abundance",0.25,"bray",0.0947301867622262,200,142.008250830433
2,"abundance",0.25,"euclidean",0.0749100622540755,200,142.008250830433
2,"abundance",0.25,"jaccard",0.104730186762226,200,142.008250830433
2,"abundance",0.25,"unifrac_unweighted",0.0600000000000001,200,142.008250830433
2,"abundance",0.25,"unifrac_weighted_phyloseq",0.245089937745925,200,142.008250830433
2,"abundance",0.3,"GLaD_0.5_unweighted",0.0347301867622262,200,142.008250830433
2,"abundance",0.3,"GLaD_0.5_weighted",0.375629564221472,200,142.008250830433
2,"abundance",0.3,"GLaD_1_unweighted",0.0652698132377739,200,142.008250830433
2,"abundance",0.3,"GLaD_1_weighted",0.400719501967397,200,142.008250830433
2,"abundance",0.3,"GUniFrac",0.365449688729623,200,142.008250830433
2,"abundance",0.3,"aitchison",0.0849100622540755,200,142.008250830433
2,"abundance",0.3,"bray",0.180359750983699,200,142.008250830433
2,"abundance",0.3,"euclidean",0.0901798754918493,200,142.008250830433
2,"abundance",0.3,"jaccard",0.170359750983699,200,142.008250830433
2,"abundance",0.3,"unifrac_unweighted",0.0547301867622262,200,142.008250830433
2,"abundance",0.3,"unifrac_weighted_phyloseq",0.390539626475548,200,142.008250830433
2,"abundance",0.35,"GLaD_0.5_unweighted",0.0398201245081508,200,142.008250830433
2,"abundance",0.35,"GLaD_0.5_weighted",0.454730186762226,200,142.008250830433
2,"abundance",0.35,"GLaD_1_unweighted",0.05,200,142.008250830433
2,"abundance",0.35,"GLaD_1_weighted",0.479820124508151,200,142.008250830433
2,"abundance",0.35,"GUniFrac",0.488920747048904,200,142.008250830433
2,"abundance",0.35,"aitchison",0.054550311270377,200,142.008250830433
2,"abundance",0.35,"bray",0.224730186762227,200,142.008250830433
2,"abundance",0.35,"euclidean",0.154370435778528,200,142.008250830433
2,"abundance",0.35,"jaccard",0.234550311270377,200,142.008250830433
2,"abundance",0.35,"unifrac_unweighted",0.03,200,142.008250830433
2,"abundance",0.35,"unifrac_weighted_phyloseq",0.534370435778528,200,142.008250830433
2,"abundance",0.4,"GLaD_0.5_unweighted",0.0249100622540754,200,142.008250830433
2,"abundance",0.4,"GLaD_0.5_weighted",0.560719501967397,200,142.008250830433
2,"abundance",0.4,"GLaD_1_unweighted",0.0301798754918493,200,142.008250830433
2,"abundance",0.4,"GLaD_1_weighted",0.560539626475548,200,142.008250830433
2,"abundance",0.4,"GUniFrac",0.63,200,142.008250830433
2,"abundance",0.4,"aitchison",0.0854496887296232,200,142.008250830433
2,"abundance",0.4,"bray",0.280719501967397,200,142.008250830433
2,"abundance",0.4,"euclidean",0.140359750983699,200,142.008250830433
2,"abundance",0.4,"jaccard",0.265629564221473,200,142.008250830433
2,"abundance",0.4,"unifrac_unweighted",0.0600000000000001,200,142.008250830433
2,"abundance",0.4,"unifrac_weighted_phyloseq",0.625629564221472,200,142.008250830433
2,"abundance",0.45,"GLaD_0.5_unweighted",0.0452698132377739,200,142.008250830433
2,"abundance",0.45,"GLaD_0.5_weighted",0.64017987549185,200,142.008250830433
2,"abundance",0.45,"GLaD_1_unweighted",0.0647301867622262,200,142.008250830433
2,"abundance",0.45,"GLaD_1_weighted",0.650359750983699,200,142.008250830433
2,"abundance",0.45,"GUniFrac",0.775089937745925,200,142.008250830433
2,"abundance",0.45,"aitchison",0.129820124508151,200,142.008250830433
2,"abundance",0.45,"bray",0.38,200,142.008250830433
2,"abundance",0.45,"euclidean",0.195269813237774,200,142.008250830433
2,"abundance",0.45,"jaccard",0.374730186762226,200,142.008250830433
2,"abundance",0.45,"unifrac_unweighted",0.0401798754918493,200,142.008250830433
2,"abundance",0.45,"unifrac_weighted_phyloseq",0.745089937745925,200,142.008250830433
2,"abundance",0.5,"GLaD_0.5_unweighted",0.080719501967397,200,142.008250830433
2,"abundance",0.5,"GLaD_0.5_weighted",0.775089937745925,200,142.008250830433
2,"abundance",0.5,"GLaD_1_unweighted",0.00508993774592462,200,142.008250830433
2,"abundance",0.5,"GLaD_1_weighted",0.799820124508151,200,142.008250830433
2,"abundance",0.5,"GUniFrac",0.830359750983699,200,142.008250830433
2,"abundance",0.5,"aitchison",0.160899377459246,200,142.008250830433
2,"abundance",0.5,"bray",0.46616919069702,200,142.008250830433
2,"abundance",0.5,"euclidean",0.215809439713322,200,142.008250830433
2,"abundance",0.5,"jaccard",0.445809439713321,200,142.008250830433
