"rep_id","setting_id","k","signal_cluster","cluster_ordered","cluster_abund_sum_template","cluster_n_otus_template","signal_mode","beta","is_null","n_samples","y_mean","signal_mean_abs","signal_sd_abs","seed_sim","seed_test","runtime_sec","p_GLaD_0.5_weighted","p_GLaD_0.5_unweighted","p_GLaD_1_weighted","p_GLaD_1_unweighted","p_euclidean","p_bray","p_jaccard","p_aitchison","p_unifrac_unweighted","p_unifrac_weighted_phyloseq","p_GUniFrac","source_file"
1,1,2,1,1,563.222169142921,404,"abundance",0,1,100,0.48,561.140387591014,342.99302073764,12346,2012346,25.253,0.583,0.639,0.614,0.629,0.348,0.318,0.31,0.594,0.811,0.349,0.368,"beta_div_sparse12_rep001.csv"
1,3,2,1,1,563.222169142921,404,"abundance",0.6,0,100,0.55,828.013484570169,569.367974463164,12348,2012348,5.299,0.001,0.032,0.001,0.438,0.04,0.05,0.064,0.048,0.105,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,5,2,1,1,563.222169142921,404,"abundance",0.8,0,100,0.52,942.693130769576,909.868428551575,12350,2012350,5.39399999999999,0.01,0.009,0.008,0.764,0.07,0.037,0.027,0.053,0.084,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,7,2,1,1,563.222169142921,404,"abundance",1.2,0,100,0.54,1177.54038928461,1080.3887604336,12352,2012352,5.485,0.001,0.895,0.001,0.441,0.001,0.001,0.001,0.101,0.959,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,9,2,1,1,563.222169142921,404,"abundance",1.6,0,100,0.5,2055.89630189529,4143.20708405835,12354,2012354,5.99299999999999,0.001,0.514,0.001,0.114,0.001,0.001,0.001,0.003,0.826,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,11,2,1,1,563.222169142921,404,"abundance",2,0,100,0.48,2154.75817108959,2073.8272841678,12356,2012356,5.571,0.001,0.935,0.001,0.271,0.001,0.001,0.001,0.001,0.841,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,25,2,1,1,563.222169142921,404,"both",0,1,100,0.47,565.130068064079,269.717764342428,12370,2012370,7.65600000000001,0.65,0.903,0.661,0.517,0.654,0.583,0.624,0.606,0.911,0.435,0.317,"beta_div_sparse12_rep001.csv"
1,27,2,1,1,563.222169142921,404,"both",0.6,0,100,0.47,805.697663111084,502.515926593133,12372,2012372,6.03,0.002,0.001,0.002,0.001,0.352,0.063,0.06,0.001,0.001,0.005,0.001,"beta_div_sparse12_rep001.csv"
1,29,2,1,1,563.222169142921,404,"both",0.8,0,100,0.49,1012.60060163462,660.918602410074,12374,2012374,6.64100000000002,0.001,0.001,0.001,0.001,0.012,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,31,2,1,1,563.222169142921,404,"both",1.2,0,100,0.58,1911.72104555022,2655.19897318333,12376,2012376,7.22899999999998,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,33,2,1,1,563.222169142921,404,"both",1.6,0,100,0.48,2028.40154091014,1794.30317187813,12378,2012378,5.93200000000002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,35,2,1,1,563.222169142921,404,"both",2,0,100,0.56,3871.51523786045,3568.31514579395,12380,2012380,7.202,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,13,2,1,1,563.222169142921,404,"prevalence",0,1,100,0.55,595.559715670265,369.450353521823,12358,2012358,6.66600000000001,0.693,0.329,0.801,0.152,0.459,0.593,0.564,0.237,0.231,0.644,0.647,"beta_div_sparse12_rep001.csv"
1,15,2,1,1,563.222169142921,404,"prevalence",0.6,0,100,0.52,610.754512020501,443.44009778382,12360,2012360,6.44199999999999,0.78,0.001,0.866,0.001,0.828,0.677,0.754,0.003,0.001,0.663,0.055,"beta_div_sparse12_rep001.csv"
1,17,2,1,1,563.222169142921,404,"prevalence",0.8,0,100,0.45,550.802575954465,276.574327883928,12362,2012362,7.089,0.7,0.001,0.52,0.001,0.687,0.096,0.125,0.001,0.001,0.642,0.011,"beta_div_sparse12_rep001.csv"
1,19,2,1,1,563.222169142921,404,"prevalence",1.2,0,100,0.4,593.750735830192,417.533418374321,12364,2012364,6.52800000000002,0.014,0.001,0.029,0.001,0.2,0.001,0.001,0.001,0.001,0.002,0.001,"beta_div_sparse12_rep001.csv"
1,21,2,1,1,563.222169142921,404,"prevalence",1.6,0,100,0.47,695.436033853232,407.883670420718,12366,2012366,6.655,0.057,0.001,0.077,0.001,0.604,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,23,2,1,1,563.222169142921,404,"prevalence",2,0,100,0.54,690.907449660263,386.4965283775,12368,2012368,6.001,0.003,0.001,0.004,0.001,0.154,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,2,2,2,2,311.49530432463,212,"abundance",0,1,100,0.52,323.942999388062,238.712417791066,12347,2012347,4.981,0.448,0.057,0.334,0.208,0.517,0.438,0.463,0.17,0.079,0.461,0.409,"beta_div_sparse12_rep001.csv"
1,4,2,2,2,311.49530432463,212,"abundance",0.6,0,100,0.51,425.685178268946,270.000406755241,12349,2012349,4.989,0.001,0.663,0.001,0.981,0.006,0.002,0.002,0.205,0.675,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,6,2,2,2,311.49530432463,212,"abundance",0.8,0,100,0.41,539.606504405852,994.385685367493,12351,2012351,4.976,0.001,0.438,0.001,0.67,0.083,0.035,0.041,0.323,0.551,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,8,2,2,2,311.49530432463,212,"abundance",1.2,0,100,0.54,675.910238391648,600.318922472814,12353,2012353,5.47499999999999,0.001,0.786,0.001,0.667,0.004,0.001,0.001,0.017,0.949,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,10,2,2,2,311.49530432463,212,"abundance",1.6,0,100,0.55,1141.06299984232,1337.07671118279,12355,2012355,6.59100000000001,0.001,0.119,0.001,0.079,0.001,0.001,0.001,0.003,0.042,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,12,2,2,2,311.49530432463,212,"abundance",2,0,100,0.5,1247.62538258131,1255.05925177196,12357,2012357,6.622,0.001,0.316,0.001,0.833,0.001,0.001,0.001,0.001,0.245,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,26,2,2,2,311.49530432463,212,"both",0,1,100,0.45,334.18863591996,193.850926558178,12371,2012371,6.50799999999998,0.304,0.417,0.37,0.526,0.297,0.71,0.686,0.345,0.114,0.58,0.721,"beta_div_sparse12_rep001.csv"
1,28,2,2,2,311.49530432463,212,"both",0.6,0,100,0.52,568.976315264058,505.403904803833,12373,2012373,6.001,0.001,0.001,0.001,0.001,0.043,0.002,0.006,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,30,2,2,2,311.49530432463,212,"both",0.8,0,100,0.51,589.684758615672,433.967481640294,12375,2012375,6.477,0.001,0.001,0.001,0.001,0.076,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,32,2,2,2,311.49530432463,212,"both",1.2,0,100,0.54,978.130223162422,791.61321486927,12377,2012377,5.82499999999999,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,34,2,2,2,311.49530432463,212,"both",1.6,0,100,0.49,1201.57125346378,1167.02662143407,12379,2012379,6.517,0.001,0.001,0.001,0.001,0.008,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,36,2,2,2,311.49530432463,212,"both",2,0,100,0.5,1910.86606444364,1894.28467927952,12381,2012381,5.97899999999998,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,14,2,2,2,311.49530432463,212,"prevalence",0,1,100,0.47,288.425521875285,171.254367678967,12359,2012359,6.387,0.507,0.438,0.25,0.743,0.879,0.867,0.856,0.296,0.314,0.665,0.691,"beta_div_sparse12_rep001.csv"
1,16,2,2,2,311.49530432463,212,"prevalence",0.6,0,100,0.5,356.077443783646,236.995133042198,12361,2012361,6.42499999999998,0.4,0.001,0.746,0.001,0.218,0.295,0.306,0.001,0.001,0.484,0.083,"beta_div_sparse12_rep001.csv"
1,18,2,2,2,311.49530432463,212,"prevalence",0.8,0,100,0.5,357.422351128681,209.512633926824,12363,2012363,6.565,0.054,0.001,0.051,0.001,0.536,0.281,0.281,0.001,0.001,0.034,0.002,"beta_div_sparse12_rep001.csv"
1,20,2,2,2,311.49530432463,212,"prevalence",1.2,0,100,0.46,379.509357158604,262.382045231333,12365,2012365,6.554,0.458,0.001,0.653,0.001,0.677,0.014,0.011,0.001,0.001,0.063,0.001,"beta_div_sparse12_rep001.csv"
1,22,2,2,2,311.49530432463,212,"prevalence",1.6,0,100,0.53,425.093314242587,284.644517107228,12367,2012367,7.179,0.017,0.001,0.017,0.001,0.926,0.011,0.013,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,24,2,2,2,311.49530432463,212,"prevalence",2,0,100,0.53,430.843556244061,257.530605279953,12369,2012369,6.48099999999999,0.023,0.001,0.061,0.001,0.459,0.002,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,1,4,1,1,323.056731438697,257,"abundance",0,1,100,0.5,275.477019836333,127.708736230076,12382,2012382,7.11799999999999,0.436,0.85,0.446,0.606,0.08,0.369,0.324,0.947,0.854,0.758,0.906,"beta_div_sparse12_rep001.csv"
1,5,4,1,1,323.056731438697,257,"abundance",0.6,0,100,0.53,477.32517305076,390.99275748414,12386,2012386,6.42099999999999,0.004,0.399,0.004,0.444,0.219,0.003,0.004,0.072,0.301,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,9,4,1,1,323.056731438697,257,"abundance",0.8,0,100,0.45,541.494496346628,498.409329974115,12390,2012390,6.488,0.001,0.358,0.001,0.708,0.07,0.003,0.002,0.113,0.672,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,13,4,1,1,323.056731438697,257,"abundance",1.2,0,100,0.5,673.591060905359,605.615233633653,12394,2012394,6.52699999999999,0.001,0.612,0.001,0.713,0.007,0.001,0.001,0.011,0.58,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,17,4,1,1,323.056731438697,257,"abundance",1.6,0,100,0.59,979.866803277902,942.12201405433,12398,2012398,6.56900000000002,0.001,0.073,0.001,0.321,0.001,0.001,0.001,0.001,0.049,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,21,4,1,1,323.056731438697,257,"abundance",2,0,100,0.47,1301.19962072527,1349.98167439327,12402,2012402,6.49100000000004,0.001,0.191,0.001,0.574,0.001,0.001,0.001,0.001,0.182,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,49,4,1,1,323.056731438697,257,"both",0,1,100,0.57,337.668051362656,219.016700557687,12430,2012430,5.91800000000001,0.797,0.825,0.82,0.772,0.576,0.118,0.175,0.341,0.928,0.452,0.41,"beta_div_sparse12_rep001.csv"
1,53,4,1,1,323.056731438697,257,"both",0.6,0,100,0.42,502.366795888039,686.975326510547,12434,2012434,5.84199999999998,0.007,0.001,0.005,0.001,0.039,0.024,0.03,0.002,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,57,4,1,1,323.056731438697,257,"both",0.8,0,100,0.48,528.800296711895,354.204203621822,12438,2012438,5.96100000000001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,61,4,1,1,323.056731438697,257,"both",1.2,0,100,0.58,831.59640103224,633.875489679716,12442,2012442,6.51599999999996,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,65,4,1,1,323.056731438697,257,"both",1.6,0,100,0.47,1175.43163414235,1185.11944453082,12446,2012446,5.83900000000006,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,69,4,1,1,323.056731438697,257,"both",2,0,100,0.48,1815.79428317485,2051.97876096692,12450,2012450,5.98599999999999,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,25,4,1,1,323.056731438697,257,"prevalence",0,1,100,0.54,308.150852227973,158.447266241468,12406,2012406,7.01900000000001,0.238,0.428,0.11,0.995,0.204,0.449,0.49,0.282,0.34,0.326,0.568,"beta_div_sparse12_rep001.csv"
1,29,4,1,1,323.056731438697,257,"prevalence",0.6,0,100,0.58,369.405522602109,256.254849508076,12410,2012410,7.12600000000003,0.609,0.001,0.783,0.001,0.545,0.302,0.301,0.128,0.003,0.702,0.419,"beta_div_sparse12_rep001.csv"
1,33,4,1,1,323.056731438697,257,"prevalence",0.8,0,100,0.48,353.942778501804,183.783988123325,12414,2012414,6.50399999999996,0.338,0.001,0.308,0.001,0.642,0.377,0.372,0.001,0.001,0.123,0.002,"beta_div_sparse12_rep001.csv"
1,37,4,1,1,323.056731438697,257,"prevalence",1.2,0,100,0.47,372.697379553422,177.908686566549,12418,2012418,5.96000000000004,0.004,0.001,0.037,0.001,0.125,0.066,0.059,0.001,0.001,0.007,0.001,"beta_div_sparse12_rep001.csv"
1,41,4,1,1,323.056731438697,257,"prevalence",1.6,0,100,0.57,432.314431494723,367.15227984001,12422,2012422,6.52599999999995,0.004,0.001,0.019,0.001,0.023,0.004,0.007,0.001,0.001,0.003,0.001,"beta_div_sparse12_rep001.csv"
1,45,4,1,1,323.056731438697,257,"prevalence",2,0,100,0.5,378.769825686689,176.450286591955,12426,2012426,6.64400000000001,0.003,0.001,0.001,0.001,0.048,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,2,4,2,3,133.450353379313,93,"abundance",0,1,100,0.53,102.867694974972,91.0678138054125,12383,2012383,5.904,0.686,0.551,0.641,0.304,0.35,0.255,0.212,0.792,0.501,0.778,0.801,"beta_div_sparse12_rep001.csv"
1,6,4,2,3,133.450353379313,93,"abundance",0.6,0,100,0.42,164.291891546332,188.87657699453,12387,2012387,5.97699999999998,0.195,0.903,0.396,0.213,0.387,0.08,0.078,0.671,0.708,0.022,0.018,"beta_div_sparse12_rep001.csv"
1,10,4,2,3,133.450353379313,93,"abundance",0.8,0,100,0.46,190.702809022139,168.463850126685,12391,2012391,6.56900000000002,0.079,0.598,0.109,0.421,0.216,0.036,0.035,0.26,0.721,0.012,0.005,"beta_div_sparse12_rep001.csv"
1,14,4,2,3,133.450353379313,93,"abundance",1.2,0,100,0.51,251.416754835619,471.140307428902,12395,2012395,6.51800000000003,0.001,0.8,0.001,0.859,0.014,0.001,0.001,0.194,0.715,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,18,4,2,3,133.450353379313,93,"abundance",1.6,0,100,0.52,391.746562104146,775.520578959221,12399,2012399,6.48700000000002,0.001,0.287,0.001,0.048,0.002,0.001,0.001,0.28,0.232,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,22,4,2,3,133.450353379313,93,"abundance",2,0,100,0.45,418.61449386629,588.815070899906,12403,2012403,7.11099999999999,0.001,0.45,0.001,0.692,0.001,0.001,0.001,0.01,0.582,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,50,4,2,3,133.450353379313,93,"both",0,1,100,0.54,161.296666321472,453.690994078535,12431,2012431,6.55099999999993,0.772,0.081,0.629,0.336,0.658,0.686,0.657,0.424,0.212,0.741,0.569,"beta_div_sparse12_rep001.csv"
1,54,4,2,3,133.450353379313,93,"both",0.6,0,100,0.47,157.416520139309,136.313828839657,12435,2012435,5.89700000000005,0.135,0.002,0.187,0.245,0.597,0.051,0.073,0.004,0.01,0.021,0.001,"beta_div_sparse12_rep001.csv"
1,58,4,2,3,133.450353379313,93,"both",0.8,0,100,0.49,604.338306069835,2759.24888285027,12439,2012439,6.43600000000004,0.002,0.001,0.006,0.145,0.024,0.001,0.002,0.001,0.007,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,62,4,2,3,133.450353379313,93,"both",1.2,0,100,0.57,353.449820410117,463.033110636494,12443,2012443,5.98800000000006,0.001,0.001,0.001,0.007,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,66,4,2,3,133.450353379313,93,"both",1.6,0,100,0.5,558.068264934958,1167.15798406179,12447,2012447,5.93000000000006,0.001,0.001,0.001,0.312,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,70,4,2,3,133.450353379313,93,"both",2,0,100,0.57,872.082911908359,1088.98884910825,12451,2012451,5.94000000000005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,26,4,2,3,133.450353379313,93,"prevalence",0,1,100,0.46,133.16459353058,282.185217909009,12407,2012407,7.09799999999996,0.445,0.391,0.47,0.947,0.396,0.205,0.226,0.154,0.138,0.262,0.131,"beta_div_sparse12_rep001.csv"
1,30,4,2,3,133.450353379313,93,"prevalence",0.6,0,100,0.51,110.670776312488,103.464254559442,12411,2012411,6.54199999999997,0.901,0.01,0.856,0.017,0.979,0.653,0.691,0.083,0.094,0.697,0.562,"beta_div_sparse12_rep001.csv"
1,34,4,2,3,133.450353379313,93,"prevalence",0.8,0,100,0.51,151.19402620156,204.120897431793,12415,2012415,6.47199999999998,0.945,0.001,0.928,0.148,0.717,0.58,0.575,0.011,0.001,0.508,0.105,"beta_div_sparse12_rep001.csv"
1,38,4,2,3,133.450353379313,93,"prevalence",1.2,0,100,0.51,137.127428704833,174.119254359178,12419,2012419,7.22399999999993,0.012,0.001,0.085,0.071,0.047,0.009,0.013,0.001,0.001,0.002,0.001,"beta_div_sparse12_rep001.csv"
1,42,4,2,3,133.450353379313,93,"prevalence",1.6,0,100,0.46,284.224289468722,1188.99836695474,12423,2012423,6.52300000000002,0.077,0.001,0.132,0.001,0.229,0.021,0.028,0.001,0.001,0.01,0.001,"beta_div_sparse12_rep001.csv"
1,46,4,2,3,133.450353379313,93,"prevalence",2,0,100,0.45,174.621353913482,386.28392501281,12427,2012427,6.56100000000004,0.204,0.001,0.159,0.001,0.445,0.049,0.045,0.001,0.001,0.036,0.001,"beta_div_sparse12_rep001.csv"
1,3,4,3,2,311.49530432463,212,"abundance",0,1,100,0.52,306.202189158617,285.533042290005,12384,2012384,5.98899999999998,0.071,0.456,0.045,0.197,0.04,0.233,0.167,0.829,0.837,0.079,0.11,"beta_div_sparse12_rep001.csv"
1,7,4,3,2,311.49530432463,212,"abundance",0.6,0,100,0.49,487.028369762221,451.706258531495,12388,2012388,7.16800000000001,0.001,0.939,0.001,0.673,0.01,0.002,0.001,0.688,0.75,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,11,4,3,2,311.49530432463,212,"abundance",0.8,0,100,0.54,518.106327717279,351.25296846755,12392,2012392,5.94299999999998,0.001,0.801,0.001,0.198,0.002,0.002,0.003,0.632,0.867,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,15,4,3,2,311.49530432463,212,"abundance",1.2,0,100,0.58,750.73506382436,570.040180888768,12396,2012396,5.98599999999999,0.001,0.939,0.001,0.452,0.078,0.001,0.002,0.058,0.917,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,19,4,3,2,311.49530432463,212,"abundance",1.6,0,100,0.46,907.278459080197,941.489279448855,12400,2012400,6.512,0.001,0.365,0.001,0.022,0.013,0.001,0.001,0.004,0.138,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,23,4,3,2,311.49530432463,212,"abundance",2,0,100,0.43,1218.70396740838,1416.28203565912,12404,2012404,5.88799999999998,0.001,0.748,0.001,0.209,0.001,0.001,0.001,0.001,0.718,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,51,4,3,2,311.49530432463,212,"both",0,1,100,0.47,289.462771365726,161.405517919147,12432,2012432,6.452,0.545,0.071,0.384,0.683,0.721,0.571,0.575,0.148,0.106,0.506,0.526,"beta_div_sparse12_rep001.csv"
1,55,4,3,2,311.49530432463,212,"both",0.6,0,100,0.52,502.271615199309,355.655144754496,12436,2012436,6.08399999999995,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,59,4,3,2,311.49530432463,212,"both",0.8,0,100,0.53,564.93406323087,405.913428591959,12440,2012440,6.56200000000001,0.001,0.001,0.001,0.001,0.006,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,63,4,3,2,311.49530432463,212,"both",1.2,0,100,0.43,825.287555715146,710.771466321667,12444,2012444,6.50900000000001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,67,4,3,2,311.49530432463,212,"both",1.6,0,100,0.48,1172.40024190204,1166.89677139973,12448,2012448,6.62700000000007,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,71,4,3,2,311.49530432463,212,"both",2,0,100,0.51,2303.20121319981,2648.47120214381,12452,2012452,6.03899999999999,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,27,4,3,2,311.49530432463,212,"prevalence",0,1,100,0.48,298.832548459086,185.794153306091,12408,2012408,6.45499999999998,0.451,0.247,0.449,0.367,0.215,0.083,0.079,0.161,0.34,0.229,0.069,"beta_div_sparse12_rep001.csv"
1,31,4,3,2,311.49530432463,212,"prevalence",0.6,0,100,0.43,353.071729132046,201.48902021444,12412,2012412,6.64400000000001,0.139,0.001,0.234,0.001,0.279,0.27,0.282,0.021,0.001,0.13,0.044,"beta_div_sparse12_rep001.csv"
1,35,4,3,2,311.49530432463,212,"prevalence",0.8,0,100,0.45,363.062432506869,232.939301133412,12416,2012416,6.529,0.633,0.001,0.672,0.001,0.883,0.596,0.622,0.001,0.001,0.612,0.055,"beta_div_sparse12_rep001.csv"
1,39,4,3,2,311.49530432463,212,"prevalence",1.2,0,100,0.45,364.606099054669,225.286440066961,12420,2012420,6.55600000000004,0.023,0.001,0.021,0.001,0.831,0.07,0.075,0.001,0.001,0.006,0.001,"beta_div_sparse12_rep001.csv"
1,43,4,3,2,311.49530432463,212,"prevalence",1.6,0,100,0.51,417.607549957155,278.223398249645,12424,2012424,7.09100000000001,0.002,0.001,0.007,0.001,0.03,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,47,4,3,2,311.49530432463,212,"prevalence",2,0,100,0.53,408.257067325898,212.601311776209,12428,2012428,6.62,0.001,0.001,0.001,0.001,0.588,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,4,4,4,4,106.715084324911,54,"abundance",0,1,100,0.42,97.0660897530369,112.737378671454,12385,2012385,6.42400000000004,0.471,0.784,0.208,0.765,0.467,0.346,0.344,0.819,0.448,0.276,0.205,"beta_div_sparse12_rep001.csv"
1,8,4,4,4,106.715084324911,54,"abundance",0.6,0,100,0.55,200.625055479404,322.949162309814,12389,2012389,6.56400000000002,0.023,0.866,0.069,0.921,0.166,0.053,0.054,0.27,0.598,0.005,0.006,"beta_div_sparse12_rep001.csv"
1,12,4,4,4,106.715084324911,54,"abundance",0.8,0,100,0.54,157.829499605957,237.380060222259,12393,2012393,6.524,0.005,0.162,0.021,0.137,0.018,0.013,0.026,0.125,0.225,0.001,0.002,"beta_div_sparse12_rep001.csv"
1,16,4,4,4,106.715084324911,54,"abundance",1.2,0,100,0.62,264.452939095747,435.825463477578,12397,2012397,7.02200000000005,0.001,0.652,0.002,0.362,0.011,0.003,0.002,0.241,0.457,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,20,4,4,4,106.715084324911,54,"abundance",1.6,0,100,0.47,324.861994667374,614.034967973969,12401,2012401,6.48500000000001,0.001,0.091,0.001,0.003,0.001,0.001,0.001,0.128,0.261,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,24,4,4,4,106.715084324911,54,"abundance",2,0,100,0.51,410.476199314427,656.999909386028,12405,2012405,6.67400000000004,0.001,0.394,0.001,0.837,0.001,0.001,0.001,0.105,0.3,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,52,4,4,4,106.715084324911,54,"both",0,1,100,0.53,87.2748218007053,94.0751986823223,12433,2012433,7.08900000000006,0.68,0.914,0.719,0.202,0.743,0.706,0.709,0.967,0.951,0.773,0.923,"beta_div_sparse12_rep001.csv"
1,56,4,4,4,106.715084324911,54,"both",0.6,0,100,0.54,169.246299158634,233.97447946546,12437,2012437,6.56399999999996,0.013,0.115,0.055,0.275,0.073,0.017,0.022,0.023,0.283,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,60,4,4,4,106.715084324911,54,"both",0.8,0,100,0.51,208.597263852827,277.116437000526,12441,2012441,6.05799999999999,0.001,0.001,0.009,0.049,0.015,0.002,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,64,4,4,4,106.715084324911,54,"both",1.2,0,100,0.53,396.21317069871,720.835587624743,12445,2012445,6.46199999999999,0.001,0.001,0.001,0.233,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,68,4,4,4,106.715084324911,54,"both",1.6,0,100,0.53,529.048941256062,1012.06435959728,12449,2012449,5.88,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
