"rep_id","setting_id","k","signal_cluster","cluster_ordered","cluster_abund_sum_template","cluster_n_otus_template","signal_mode","beta","is_null","n_samples","y_mean","signal_mean_abs","signal_sd_abs","seed_sim","seed_test","runtime_sec","p_GLaD_0.5_weighted","p_GLaD_0.5_unweighted","p_GLaD_1_weighted","p_GLaD_1_unweighted","p_euclidean","p_bray","p_jaccard","p_aitchison","p_unifrac_unweighted","p_unifrac_weighted_phyloseq","p_GUniFrac","source_file"
1,1,2,1,1,443.243751729926,308,"abundance",0,1,100,0.48,471.90238659742,398.343823715454,12346,2012346,62.015,0.683,0.401,0.315,0.915,0.547,0.488,0.462,0.135,0.489,0.298,0.353,"beta_div_sparse12_rep001.csv"
1,3,2,1,1,443.243751729926,308,"abundance",0.05,0,100,0.55,437.749131742038,371.530296454549,12348,2012348,5.083,0.723,0.021,0.682,0.642,0.555,0.432,0.525,0.009,0.225,0.648,0.67,"beta_div_sparse12_rep001.csv"
1,5,2,1,1,443.243751729926,308,"abundance",0.1,0,100,0.52,401.638222096539,312.561198906826,12350,2012350,4.896,0.014,0.029,0.017,0.797,0.036,0.081,0.077,0.022,0.238,0.008,0.01,"beta_div_sparse12_rep001.csv"
1,7,2,1,1,443.243751729926,308,"abundance",0.15,0,100,0.54,458.691363952999,396.416110382687,12352,2012352,5.886,0.061,0.942,0.056,0.485,0.099,0.126,0.132,0.971,0.955,0.165,0.421,"beta_div_sparse12_rep001.csv"
1,9,2,1,1,443.243751729926,308,"abundance",0.2,0,100,0.5,579.540881793219,1045.86039145237,12354,2012354,5.55499999999999,0.357,0.895,0.218,0.804,0.831,0.656,0.716,0.656,0.988,0.582,0.73,"beta_div_sparse12_rep001.csv"
1,11,2,1,1,443.243751729926,308,"abundance",0.25,0,100,0.48,494.915557764681,328.388929972368,12356,2012356,7.559,0.219,0.936,0.302,0.707,0.589,0.304,0.329,0.909,0.9,0.226,0.523,"beta_div_sparse12_rep001.csv"
1,13,2,1,1,443.243751729926,308,"abundance",0.3,0,100,0.55,537.322306221331,421.983452144981,12358,2012358,6.52500000000001,0.008,0.789,0.008,0.497,0.168,0.093,0.117,0.639,0.612,0.009,0.046,"beta_div_sparse12_rep001.csv"
1,15,2,1,1,443.243751729926,308,"abundance",0.35,0,100,0.52,478.552653747951,280.049192059828,12360,2012360,5.99199999999999,0.122,0.502,0.093,0.873,0.45,0.324,0.354,0.231,0.619,0.119,0.111,"beta_div_sparse12_rep001.csv"
1,17,2,1,1,443.243751729926,308,"abundance",0.4,0,100,0.45,492.472424356564,230.200668603726,12362,2012362,5.87700000000001,0.057,0.728,0.036,0.278,0.197,0.11,0.141,0.628,0.637,0.027,0.009,"beta_div_sparse12_rep001.csv"
1,19,2,1,1,443.243751729926,308,"abundance",0.45,0,100,0.4,499.096805023361,355.65009352123,12364,2012364,6.55499999999998,0.001,0.573,0.001,0.61,0.01,0.002,0.002,0.172,0.819,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,21,2,1,1,443.243751729926,308,"abundance",0.5,0,100,0.47,511.740419394452,392.993698121135,12366,2012366,6.47399999999999,0.01,0.824,0.008,0.41,0.147,0.072,0.045,0.117,0.744,0.006,0.001,"beta_div_sparse12_rep001.csv"
1,23,2,1,1,443.243751729926,308,"abundance",0.55,0,100,0.54,602.600677860529,376.825439736567,12368,2012368,6.49299999999999,0.002,0.93,0.001,0.48,0.538,0.008,0.007,0.357,0.955,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,25,2,1,1,443.243751729926,308,"abundance",0.6,0,100,0.47,578.842874993753,479.476596204338,12370,2012370,6.369,0.006,0.516,0.006,0.138,0.385,0.009,0.019,0.01,0.505,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,53,2,1,1,443.243751729926,308,"both",0,1,100,0.59,414.543550257022,259.906410784743,12398,2012398,6.447,0.658,0.177,0.703,0.706,0.533,0.369,0.378,0.261,0.1,0.309,0.097,"beta_div_sparse12_rep001.csv"
1,55,2,1,1,443.243751729926,308,"both",0.05,0,100,0.46,441.304634740442,249.171664215831,12400,2012400,5.827,0.808,0.27,0.782,0.008,0.694,0.462,0.469,0.276,0.274,0.722,0.451,"beta_div_sparse12_rep001.csv"
1,57,2,1,1,443.243751729926,308,"both",0.1,0,100,0.47,459.957326644816,383.26144714498,12402,2012402,6.464,0.609,0.067,0.424,0.157,0.627,0.437,0.465,0.041,0.112,0.677,0.414,"beta_div_sparse12_rep001.csv"
1,59,2,1,1,443.243751729926,308,"both",0.15,0,100,0.43,445.598002650641,248.117619561765,12404,2012404,5.91799999999995,0.698,0.577,0.678,0.929,0.504,0.863,0.892,0.376,0.138,0.638,0.499,"beta_div_sparse12_rep001.csv"
1,61,2,1,1,443.243751729926,308,"both",0.2,0,100,0.54,491.434659328042,266.124751761123,12406,2012406,6.59800000000001,0.135,0.352,0.063,0.03,0.33,0.088,0.096,0.112,0.463,0.14,0.202,"beta_div_sparse12_rep001.csv"
1,63,2,1,1,443.243751729926,308,"both",0.25,0,100,0.48,1598.86442698814,11135.2019325973,12408,2012408,6.09000000000003,0.008,0.004,0.003,0.001,0.102,0.063,0.085,0.092,0.005,0.004,0.003,"beta_div_sparse12_rep001.csv"
1,65,2,1,1,443.243751729926,308,"both",0.3,0,100,0.58,563.830506795155,482.688648596447,12410,2012410,6.36099999999999,0.223,0.701,0.167,0.035,0.575,0.564,0.555,0.46,0.909,0.388,0.518,"beta_div_sparse12_rep001.csv"
1,67,2,1,1,443.243751729926,308,"both",0.35,0,100,0.43,541.37847372779,334.406106150743,12412,2012412,6.41699999999997,0.01,0.106,0.043,0.01,0.153,0.051,0.047,0.1,0.225,0.015,0.017,"beta_div_sparse12_rep001.csv"
1,69,2,1,1,443.243751729926,308,"both",0.4,0,100,0.48,538.448919133284,310.428981877252,12414,2012414,6.62300000000005,0.088,0.001,0.057,0.001,0.444,0.531,0.523,0.002,0.001,0.072,0.007,"beta_div_sparse12_rep001.csv"
1,71,2,1,1,443.243751729926,308,"both",0.45,0,100,0.45,569.921861978341,344.560719129873,12416,2012416,5.95699999999999,0.168,0.001,0.089,0.001,0.731,0.38,0.278,0.034,0.001,0.113,0.013,"beta_div_sparse12_rep001.csv"
1,73,2,1,1,443.243751729926,308,"both",0.5,0,100,0.47,551.256319673323,296.494811342547,12418,2012418,5.91399999999999,0.002,0.001,0.001,0.001,0.179,0.036,0.068,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,75,2,1,1,443.243751729926,308,"both",0.55,0,100,0.45,655.713302673306,493.16202701922,12420,2012420,6.59900000000005,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,77,2,1,1,443.243751729926,308,"both",0.6,0,100,0.57,710.888663429041,566.530170268663,12422,2012422,6.529,0.001,0.001,0.001,0.001,0.017,0.005,0.006,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,27,2,1,1,443.243751729926,308,"prevalence",0,1,100,0.47,408.169061071281,274.347160140315,12372,2012372,5.78,0.33,0.019,0.298,0.042,0.741,0.279,0.282,0.016,0.011,0.284,0.116,"beta_div_sparse12_rep001.csv"
1,29,2,1,1,443.243751729926,308,"prevalence",0.05,0,100,0.49,407.108300216777,278.123744813873,12374,2012374,6.45699999999999,0.949,0.752,0.77,0.861,0.826,0.816,0.846,0.873,0.359,0.871,0.701,"beta_div_sparse12_rep001.csv"
1,31,2,1,1,443.243751729926,308,"prevalence",0.1,0,100,0.58,432.987220873504,259.449594317399,12376,2012376,6.46200000000005,0.197,0.114,0.223,0.019,0.077,0.101,0.088,0.442,0.099,0.17,0.051,"beta_div_sparse12_rep001.csv"
1,33,2,1,1,443.243751729926,308,"prevalence",0.15,0,100,0.48,442.059513711521,266.329573679015,12378,2012378,6.40800000000002,0.285,0.326,0.201,0.008,0.091,0.248,0.209,0.457,0.63,0.292,0.328,"beta_div_sparse12_rep001.csv"
1,35,2,1,1,443.243751729926,308,"prevalence",0.2,0,100,0.56,415.138199376354,209.556717983531,12380,2012380,7.154,0.562,0.025,0.402,0.028,0.775,0.34,0.259,0.042,0.286,0.716,0.604,"beta_div_sparse12_rep001.csv"
1,37,2,1,1,443.243751729926,308,"prevalence",0.25,0,100,0.5,427.633306682995,194.724938713268,12382,2012382,5.89600000000002,0.093,0.088,0.278,0.014,0.035,0.034,0.043,0.124,0.255,0.114,0.131,"beta_div_sparse12_rep001.csv"
1,39,2,1,1,443.243751729926,308,"prevalence",0.3,0,100,0.52,467.763419873926,361.017806222014,12384,2012384,6.44,0.193,0.406,0.201,0.07,0.516,0.512,0.523,0.682,0.434,0.364,0.348,"beta_div_sparse12_rep001.csv"
1,41,2,1,1,443.243751729926,308,"prevalence",0.35,0,100,0.53,429.659234945164,206.638161892459,12386,2012386,7.04699999999997,0.439,0.002,0.541,0.001,0.381,0.094,0.097,0.049,0.016,0.229,0.041,"beta_div_sparse12_rep001.csv"
1,43,2,1,1,443.243751729926,308,"prevalence",0.4,0,100,0.49,440.672054033556,383.658613767019,12388,2012388,5.92599999999999,0.376,0.001,0.485,0.001,0.329,0.169,0.162,0.094,0.001,0.598,0.472,"beta_div_sparse12_rep001.csv"
1,45,2,1,1,443.243751729926,308,"prevalence",0.45,0,100,0.45,456.822014702322,308.437232179997,12390,2012390,6.51299999999998,0.441,0.001,0.371,0.001,0.467,0.714,0.709,0.016,0.002,0.553,0.19,"beta_div_sparse12_rep001.csv"
1,47,2,1,1,443.243751729926,308,"prevalence",0.5,0,100,0.54,417.162808594204,243.000359800004,12392,2012392,6.53499999999997,0.404,0.001,0.495,0.001,0.036,0.038,0.049,0.004,0.001,0.433,0.101,"beta_div_sparse12_rep001.csv"
1,49,2,1,1,443.243751729926,308,"prevalence",0.55,0,100,0.5,565.858876702794,719.779166942549,12394,2012394,6.56400000000002,0.647,0.001,0.971,0.001,0.181,0.314,0.382,0.003,0.001,0.435,0.077,"beta_div_sparse12_rep001.csv"
1,51,2,1,1,443.243751729926,308,"prevalence",0.6,0,100,0.58,478.664194270811,307.042446387477,12396,2012396,6.404,0.474,0.001,0.596,0.001,0.625,0.446,0.53,0.018,0.001,0.359,0.039,"beta_div_sparse12_rep001.csv"
