"k","cluster","cluster_ordered_by_abundance","n_otus","overall_abundance","overall_abundance_fraction","medoid_otu","within_cop_n_pair","within_cop_mean","within_cop_sd","within_cop_min","within_cop_q1","within_cop_median","within_cop_q3","within_cop_max","within_cop_iqr"
2,1,1,404,563.222169142921,0.643890383154457,"4877",81406,0.359325435881827,0.0586099109150055,0,0.340675686758025,0.3732014576188,0.387675572675,0.4151061077898,0.0469998859169748
2,2,2,212,311.49530432463,0.356109616845541,"2135",22366,0.371944092901698,0.159333417862278,0,0.234092389922,0.322253966029,0.553216142355,0.803552742596,0.319123752433
4,1,3,93,133.450353379313,0.152563950563705,"3227",4278,0.289544459427357,0.0775639033655306,0,0.242285655248,0.340675686717,0.355304135646,0.35530413569,0.113018480398
4,2,1,257,323.056731438697,0.36932694411378,"4877",32896,0.330469641823049,0.058091294998643,0.003074565912,0.315392314819,0.3380938371754,0.3549514525564,0.3876755727198,0.0395591377374
4,3,4,54,106.715084324911,0.121999488476973,"296",1431,0.242556037968005,0.0858385815742248,0.00315209675,0.205267429106,0.256987014137,0.25698701415,0.392157412578,0.051719585044
4,4,2,212,311.49530432463,0.356109616845541,"2135",22366,0.371944092901698,0.159333417862278,0,0.234092389922,0.322253966029,0.553216142355,0.803552742596,0.319123752433
6,1,2,93,133.450353379313,0.152563950563705,"3227",4278,0.289544459427357,0.0775639033655306,0,0.242285655248,0.340675686717,0.355304135646,0.35530413569,0.113018480398
6,2,6,82,76.6825682305164,0.0876655269346932,"4002",3321,0.311776031587024,0.0884579325492269,0.003074565912,0.239987852281,0.365352235253,0.3876755726598,0.3876755726888,0.1476877203788
6,3,4,109,113.329926416373,0.129561749769455,"336",5886,0.278741751850408,0.0547415626782155,0.003341846944,0.253793855798,0.307248761592,0.315392314815,0.315392314867,0.061598459017
6,4,3,66,133.044236791808,0.152099667409632,"4877",2145,0.246908593789908,0.0847795358324764,0.005994791916,0.180690065541,0.2881458636194,0.299845382435,0.33004266396,0.119155316894
6,5,5,54,106.715084324911,0.121999488476973,"296",1431,0.242556037968005,0.0858385815742248,0.00315209675,0.205267429106,0.256987014137,0.25698701415,0.392157412578,0.051719585044
6,6,1,212,311.49530432463,0.356109616845541,"2135",22366,0.371944092901698,0.159333417862278,0,0.234092389922,0.322253966029,0.553216142355,0.803552742596,0.319123752433
8,1,2,93,133.450353379313,0.152563950563705,"3227",4278,0.289544459427357,0.0775639033655306,0,0.242285655248,0.340675686717,0.355304135646,0.35530413569,0.113018480398
8,2,5,90,84.970399375539,0.0971403932731556,"1947",4005,0.477660138756957,0.158623643826856,0.003030312306,0.365352235262,0.5532161423558,0.5773720169358,0.803552742596,0.2120197816738
8,3,7,68,38.4045053101521,0.0439050395985679,"336",2278,0.25341461716321,0.0546973602085143,0.017707313774,0.22558009639,0.277860592919,0.299069955172,0.307639864207,0.073489858782
8,4,3,66,133.044236791808,0.152099667409632,"4877",2145,0.246908593789908,0.0847795358324764,0.005994791916,0.180690065541,0.2881458636194,0.299845382435,0.33004266396,0.119155316894
8,5,6,53,68.7845374439054,0.078636290608475,"4002",1378,0.242051459238403,0.0675751157122416,0.01832205182,0.208316118534,0.239987852282,0.305561063779,0.336517439161,0.097244945245
8,6,8,21,5.09634064688554,0.00582627054045537,"1417",210,0.194454341145867,0.0656743695852727,0.03331045796,0.160429030721,0.191448771507,0.23654060913,0.28319751283,0.076111578409
8,7,4,54,106.715084324911,0.121999488476973,"296",1431,0.242556037968005,0.0858385815742248,0.00315209675,0.205267429106,0.256987014137,0.25698701415,0.392157412578,0.051719585044
8,8,1,171,304.252016195037,0.347828899529035,"2135",14535,0.266097649995847,0.0686015085569194,0,0.214329970305,0.293449193026,0.322253966027,0.377714252893,0.107923995722
